window_index,time_s,window_start_s,window_end_s,channel_status_counts,original_roi_observed_fraction_min,original_roi_observed_fraction_max,waveform_proposal_status,waveform_generated,final_hr_status,final_hr_accepted,final_wave_observed_fraction,final_wave_interpolated_fraction
0,4.999995,0.0,9.99999,"{""gap_or_filter_edge"": 6}",0.9466666666666667,0.9466666666666667,insufficient_rois,False,gap_or_filter_edge,False,0.76,0.04
1,5.999994,0.999999,10.999989,"{""gap_or_filter_edge"": 6}",0.9533333333333334,0.9533333333333334,insufficient_rois,False,gap_or_filter_edge,False,0.8533333333333334,0.04666666666666667
2,6.999993,1.999998,11.999988,"{""usable"": 6}",0.9533333333333334,0.9533333333333334,accepted_consensus,True,candidate_only,True,0.9533333333333334,0.04666666666666667
3,7.999992,2.999997,12.999986999999999,"{""usable"": 6}",0.94,0.94,accepted_consensus,True,candidate_only,True,0.94,0.06
4,8.999991,3.999996,13.999986,"{""usable"": 6}",0.9533333333333334,0.9533333333333334,ambiguous_consensus,False,candidate_only,True,0.9533333333333334,0.04666666666666667
5,9.99999,4.999995,14.999984999999999,"{""usable"": 6}",0.94,0.94,ambiguous_consensus,False,candidate_only,True,0.94,0.06
6,10.999989,5.999994,15.999984,"{""usable"": 6}",0.9333333333333333,0.9333333333333333,accepted_consensus,True,candidate_only,True,0.9333333333333333,0.06666666666666667
7,11.999988,6.999993,16.999983,"{""usable"": 6}",0.93,0.93,accepted_consensus,True,candidate_only,True,0.93,0.07
8,12.999986999999999,7.999992,17.999982,"{""usable"": 6}",0.94,0.94,accepted_consensus,True,candidate_only,True,0.94,0.06
9,13.999986,8.999991,18.999981,"{""usable"": 6}",0.93,0.93,ambiguous_consensus,False,candidate_only,True,0.93,0.07
10,14.999984999999999,9.99999,19.99998,"{""usable"": 6}",0.9233333333333333,0.9233333333333333,ambiguous_consensus,False,candidate_only,True,0.9233333333333333,0.07666666666666666
11,15.999984,10.999989,20.999979,"{""usable"": 6}",0.9166666666666666,0.9166666666666666,ambiguous_consensus,False,candidate_only,True,0.9166666666666666,0.08333333333333333
12,16.999983,11.999988,21.999978,"{""insufficient_observed_roi"": 6}",0.8966666666666666,0.8966666666666666,insufficient_rois,False,insufficient_observed_rgb,False,0.8966666666666666,0.10333333333333333
13,17.999982,12.999986999999999,22.999976999999998,"{""usable"": 6}",0.9,0.9,ambiguous_consensus,False,candidate_only,True,0.9,0.1
14,18.999981,13.999986,23.999976,"{""insufficient_observed_roi"": 6}",0.8833333333333333,0.8833333333333333,insufficient_rois,False,insufficient_observed_rgb,False,0.8833333333333333,0.11666666666666667
15,19.99998,14.999984999999999,24.999975,"{""insufficient_observed_roi"": 6}",0.8866666666666667,0.8866666666666667,insufficient_rois,False,insufficient_observed_rgb,False,0.8866666666666667,0.11333333333333333
16,20.999979,15.999984,25.999973999999998,"{""usable"": 6}",0.9,0.9,ambiguous_consensus,False,candidate_only,True,0.9,0.1
17,21.999978,16.999983,26.999972999999997,"{""usable"": 6}",0.9066666666666666,0.9066666666666666,accepted_consensus,True,candidate_only,True,0.9066666666666666,0.09333333333333334
18,22.999976999999998,17.999982,27.999972,"{""insufficient_observed_roi"": 6}",0.8933333333333333,0.8933333333333333,insufficient_rois,False,insufficient_observed_rgb,False,0.8933333333333333,0.10666666666666667
19,23.999976,18.999981,28.999971,"{""insufficient_observed_roi"": 6}",0.8833333333333333,0.8833333333333333,insufficient_rois,False,insufficient_observed_rgb,False,0.8833333333333333,0.11666666666666667
20,24.999975,19.99998,29.999969999999998,"{""insufficient_observed_roi"": 6}",0.8666666666666667,0.8666666666666667,insufficient_rois,False,insufficient_observed_rgb,False,0.8666666666666667,0.13333333333333333
21,25.999973999999998,20.999979,30.999969,"{""insufficient_observed_roi"": 6}",0.8766666666666667,0.8766666666666667,insufficient_rois,False,insufficient_observed_rgb,False,0.8766666666666667,0.12333333333333334
22,26.999972999999997,21.999978,31.999968,"{""insufficient_observed_roi"": 6}",0.8966666666666666,0.8966666666666666,insufficient_rois,False,insufficient_observed_rgb,False,0.8966666666666666,0.10333333333333333
23,27.999972,22.999976999999998,32.999967,"{""usable"": 6}",0.9133333333333333,0.9133333333333333,accepted_consensus,True,candidate_only,True,0.9133333333333333,0.08666666666666667
24,28.999971,23.999976,33.999966,"{""usable"": 6}",0.91,0.91,accepted_consensus,True,candidate_only,True,0.91,0.09
25,29.999969999999998,24.999975,34.999964999999996,"{""usable"": 6}",0.91,0.91,accepted_consensus,True,candidate_only,True,0.91,0.09
26,30.999969,25.999973999999998,35.999964,"{""usable"": 6}",0.91,0.91,accepted_consensus,True,candidate_only,True,0.91,0.09
27,31.999968,26.999972999999997,36.999963,"{""usable"": 6}",0.91,0.91,accepted_consensus,True,candidate_only,True,0.91,0.09
28,32.999967,27.999972,37.999962,"{""usable"": 6}",0.9133333333333333,0.9133333333333333,accepted_consensus,True,candidate_only,True,0.9133333333333333,0.08666666666666667
29,33.999966,28.999971,38.999961,"{""usable"": 6}",0.9166666666666666,0.9166666666666666,accepted_consensus,True,candidate_only,True,0.9166666666666666,0.08333333333333333
30,34.999964999999996,29.999969999999998,39.99996,"{""usable"": 6}",0.93,0.93,accepted_consensus,True,candidate_only,True,0.93,0.07
31,35.999964,30.999969,40.999959,"{""usable"": 6}",0.92,0.92,accepted_consensus,True,candidate_only,True,0.92,0.08
32,36.999963,31.999968,41.999958,"{""usable"": 6}",0.9133333333333333,0.9133333333333333,accepted_consensus,True,candidate_only,True,0.9133333333333333,0.08666666666666667
33,37.999962,32.999967,42.999956999999995,"{""usable"": 6}",0.9033333333333333,0.9033333333333333,accepted_consensus,True,candidate_only,True,0.9033333333333333,0.09666666666666666
34,38.999961,33.999966,43.999956,"{""usable"": 6}",0.9033333333333333,0.9033333333333333,accepted_consensus,True,candidate_only,True,0.9033333333333333,0.09666666666666666
35,39.99996,34.999964999999996,44.999955,"{""insufficient_observed_roi"": 6}",0.8833333333333333,0.8833333333333333,insufficient_rois,False,gap_or_filter_edge,False,0.8133333333333334,0.08666666666666667
36,40.999959,35.999964,45.999953999999995,"{""insufficient_observed_roi"": 6}",0.8666666666666667,0.8666666666666667,insufficient_rois,False,gap_or_filter_edge,False,0.7133333333333334,0.08666666666666667
37,41.999958,36.999963,46.999953,"{""insufficient_observed_roi"": 6}",0.85,0.85,insufficient_rois,False,gap_or_filter_edge,False,0.6133333333333333,0.08666666666666667
38,42.999956999999995,37.999962,47.999952,"{""insufficient_observed_roi"": 6}",0.85,0.85,insufficient_rois,False,gap_or_filter_edge,False,0.5233333333333333,0.07666666666666666
39,43.999956,38.999961,48.999950999999996,"{""insufficient_observed_roi"": 6}",0.8566666666666667,0.8566666666666667,insufficient_rois,False,gap_or_filter_edge,False,0.44,0.06
40,44.999955,39.99996,49.99995,"{""insufficient_observed_roi"": 6}",0.8666666666666667,0.8666666666666667,insufficient_rois,False,gap_or_filter_edge,False,0.35,0.05
41,45.999953999999995,40.999959,50.999949,"{""insufficient_observed_roi"": 6}",0.8733333333333333,0.8733333333333333,insufficient_rois,False,gap_or_filter_edge,False,0.2633333333333333,0.03666666666666667
