case,branch,system,role,estimator,reference_kind,shift_s,scope,Ncommon_output,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
user0904,v21/fusion/local_peak,v21/fusion,baseline,local_peak,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,v21/fusion/local_peak,v21/fusion,baseline,local_peak,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,cpace/local_peak,cpace,primary,local_peak,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,cpace/local_peak,cpace,primary,local_peak,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,cpace/offline_ridge,cpace,primary,offline_ridge,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,cpace/offline_ridge,cpace,primary,offline_ridge,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,rhythm/local_peak,rhythm,primary,local_peak,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,rhythm/local_peak,rhythm,primary,local_peak,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,rhythm/offline_ridge,rhythm,primary,offline_ridge,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,rhythm/offline_ridge,rhythm,primary,offline_ridge,none,0,strict_common_primary10,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0904,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,none,0,strict_common_all12,35,39,35,0,0,89.74358974358974,,,,,,,,,,0,0,,,,
user0907,v21/fusion/local_peak,v21/fusion,baseline,local_peak,none,0,strict_common_all12,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,v21/fusion/local_peak,v21/fusion,baseline,local_peak,none,0,strict_common_primary10,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,none,0,strict_common_all12,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,none,0,strict_common_primary10,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
