case,comparison,before,after,estimator,comparison_role,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,common_delta_MAE_bpm,own_delta_MAE_bpm,delta_C_out_pct,delta_R5_all_reference_pct,added_Nwithin5,lost_Nwithin5,common_Nwithin5_delta
user0904,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,v21/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,v21/fusion/local_peak->cpace/local_peak,v21/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,v21/fusion/offline_ridge->cpace/offline_ridge,v21/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,v21/fusion/local_peak->rhythm/local_peak,v21/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,35,0,1,,,-2.564102564102569,,0,0,0
user0904,v21/fusion/offline_ridge->rhythm/offline_ridge,v21/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,35,0,1,,,-2.564102564102569,,0,0,0
user0904,v21/fusion/local_peak->cpace_no_homodyne/local_peak,v21/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,36,0,0,,,0.0,,0,0,0
user0904,v21/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,v21/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap10/fusion/local_peak->cpace/local_peak,trimmed_gap10/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap10/fusion/offline_ridge->cpace/offline_ridge,trimmed_gap10/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap10/fusion/local_peak->rhythm/local_peak,trimmed_gap10/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,35,0,1,,,-2.564102564102569,,0,0,0
user0904,trimmed_gap10/fusion/offline_ridge->rhythm/offline_ridge,trimmed_gap10/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,35,0,1,,,-2.564102564102569,,0,0,0
user0904,trimmed_gap10/fusion/local_peak->cpace_no_homodyne/local_peak,trimmed_gap10/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap10/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,trimmed_gap10/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap15/fusion/local_peak->cpace/local_peak,trimmed_gap15/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap15/fusion/offline_ridge->cpace/offline_ridge,trimmed_gap15/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap15/fusion/local_peak->rhythm/local_peak,trimmed_gap15/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,35,0,1,,,-2.564102564102569,,0,0,0
user0904,trimmed_gap15/fusion/offline_ridge->rhythm/offline_ridge,trimmed_gap15/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,35,0,1,,,-2.564102564102569,,0,0,0
user0904,trimmed_gap15/fusion/local_peak->cpace_no_homodyne/local_peak,trimmed_gap15/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,36,0,0,,,0.0,,0,0,0
user0904,trimmed_gap15/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,trimmed_gap15/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,36,0,0,,,0.0,,0,0,0
user0904,cpace/local_peak->rhythm/local_peak,cpace/local_peak,rhythm/local_peak,local_peak,primary,none,0,35,0,1,,,-2.564102564102569,,0,0,0
user0904,cpace/offline_ridge->rhythm/offline_ridge,cpace/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,35,0,1,,,-2.564102564102569,,0,0,0
user0904,cpace/local_peak->cpace_no_homodyne/local_peak,cpace/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,36,0,0,,,0.0,,0,0,0
user0904,cpace/offline_ridge->cpace_no_homodyne/offline_ridge,cpace/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,36,0,0,,,0.0,,0,0,0
user0904,rhythm/local_peak->cpace_no_homodyne/local_peak,rhythm/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,35,1,0,,,2.564102564102569,,0,0,0
user0904,rhythm/offline_ridge->cpace_no_homodyne/offline_ridge,rhythm/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,35,1,0,,,2.564102564102569,,0,0,0
user0907,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,none,0,12,1,0,,,2.3809523809523796,,0,0,0
user0907,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,primary,none,0,12,1,0,,,2.3809523809523796,,0,0,0
user0907,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,none,0,12,13,0,,,30.952380952380953,,0,0,0
user0907,v21/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,primary,none,0,12,13,0,,,30.952380952380953,,0,0,0
user0907,v21/fusion/local_peak->cpace/local_peak,v21/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,12,2,0,,,4.761904761904763,,0,0,0
user0907,v21/fusion/offline_ridge->cpace/offline_ridge,v21/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,12,2,0,,,4.761904761904763,,0,0,0
user0907,v21/fusion/local_peak->rhythm/local_peak,v21/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,11,2,1,,,2.3809523809523796,,0,0,0
user0907,v21/fusion/offline_ridge->rhythm/offline_ridge,v21/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,11,2,1,,,2.3809523809523796,,0,0,0
user0907,v21/fusion/local_peak->cpace_no_homodyne/local_peak,v21/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,12,2,0,,,4.761904761904763,,0,0,0
user0907,v21/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,v21/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,12,2,0,,,4.761904761904763,,0,0,0
user0907,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,none,0,13,12,0,,,28.571428571428573,,0,0,0
user0907,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,primary,none,0,13,12,0,,,28.571428571428573,,0,0,0
user0907,trimmed_gap10/fusion/local_peak->cpace/local_peak,trimmed_gap10/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,13,1,0,,,2.380952380952383,,0,0,0
user0907,trimmed_gap10/fusion/offline_ridge->cpace/offline_ridge,trimmed_gap10/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,13,1,0,,,2.380952380952383,,0,0,0
user0907,trimmed_gap10/fusion/local_peak->rhythm/local_peak,trimmed_gap10/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,12,1,1,,,0.0,,0,0,0
user0907,trimmed_gap10/fusion/offline_ridge->rhythm/offline_ridge,trimmed_gap10/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,12,1,1,,,0.0,,0,0,0
user0907,trimmed_gap10/fusion/local_peak->cpace_no_homodyne/local_peak,trimmed_gap10/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,13,1,0,,,2.380952380952383,,0,0,0
user0907,trimmed_gap10/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,trimmed_gap10/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,13,1,0,,,2.380952380952383,,0,0,0
user0907,trimmed_gap15/fusion/local_peak->cpace/local_peak,trimmed_gap15/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,14,0,11,,,-26.19047619047619,,0,0,0
user0907,trimmed_gap15/fusion/offline_ridge->cpace/offline_ridge,trimmed_gap15/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,14,0,11,,,-26.19047619047619,,0,0,0
user0907,trimmed_gap15/fusion/local_peak->rhythm/local_peak,trimmed_gap15/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,13,0,12,,,-28.571428571428573,,0,0,0
user0907,trimmed_gap15/fusion/offline_ridge->rhythm/offline_ridge,trimmed_gap15/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,13,0,12,,,-28.571428571428573,,0,0,0
user0907,trimmed_gap15/fusion/local_peak->cpace_no_homodyne/local_peak,trimmed_gap15/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,14,0,11,,,-26.19047619047619,,0,0,0
user0907,trimmed_gap15/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,trimmed_gap15/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,14,0,11,,,-26.19047619047619,,0,0,0
user0907,cpace/local_peak->rhythm/local_peak,cpace/local_peak,rhythm/local_peak,local_peak,primary,none,0,13,0,1,,,-2.380952380952383,,0,0,0
user0907,cpace/offline_ridge->rhythm/offline_ridge,cpace/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,13,0,1,,,-2.380952380952383,,0,0,0
user0907,cpace/local_peak->cpace_no_homodyne/local_peak,cpace/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,14,0,0,,,0.0,,0,0,0
user0907,cpace/offline_ridge->cpace_no_homodyne/offline_ridge,cpace/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,14,0,0,,,0.0,,0,0,0
user0907,rhythm/local_peak->cpace_no_homodyne/local_peak,rhythm/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,13,1,0,,,2.380952380952383,,0,0,0
user0907,rhythm/offline_ridge->cpace_no_homodyne/offline_ridge,rhythm/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,13,1,0,,,2.380952380952383,,0,0,0
ubfc,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,paired_UBFC_device_HR,0,40,0,0,0.12130602594247142,0.12130602594247142,0.0,2.2727272727272663,0,0,1
ubfc,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,40,0,0,0.0667372013651879,0.0667372013651879,0.0,-6.818181818181827,0,0,-3
ubfc,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,paired_UBFC_device_HR,0,40,0,0,0.12130602594247142,0.12130602594247142,0.0,2.2727272727272663,0,0,1
ubfc,v21/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,40,0,0,0.0667372013651879,0.0667372013651879,0.0,-6.818181818181827,0,0,-3
ubfc,v21/fusion/local_peak->cpace/local_peak,v21/fusion/local_peak,cpace/local_peak,local_peak,primary,paired_UBFC_device_HR,0,40,0,0,0.1178994515480083,0.1178994515480083,0.0,6.818181818181813,0,0,3
ubfc,v21/fusion/offline_ridge->cpace/offline_ridge,v21/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,40,0,0,0.04289945154800856,0.04289945154800856,0.0,-6.818181818181827,0,0,-3
ubfc,v21/fusion/local_peak->rhythm/local_peak,v21/fusion/local_peak,rhythm/local_peak,local_peak,primary,paired_UBFC_device_HR,0,36,0,4,-0.25173946492417665,-0.2717213622080674,-9.090909090909093,6.818181818181813,0,3,6
ubfc,v21/fusion/offline_ridge->rhythm/offline_ridge,v21/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,36,0,4,-0.3143999149466574,-0.2955296465055013,-9.090909090909093,-6.818181818181827,0,4,1
ubfc,v21/fusion/local_peak->cpace_no_homodyne/local_peak,v21/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.16789945154800856,0.16789945154800856,0.0,4.545454545454547,0,0,2
ubfc,v21/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,v21/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.19505554046553408,0.19505554046553408,0.0,-11.363636363636374,0,0,-5
ubfc,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,paired_UBFC_device_HR,0,40,0,0,0.0,0.0,0.0,0.0,0,0,0
