case,comparison,before,after,estimator,comparison_role,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,scope,branch,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
user0904,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,none,0,36,0,0,common_before,v21/fusion/local_peak,39,36,0,0,92.3076923076923,,,,,,,,,,0,0,,,,
user0904,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,none,0,36,0,0,common_after,trimmed_gap10/fusion/local_peak,39,36,0,0,92.3076923076923,,,,,,,,,,0,0,,,,
user0904,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,none,0,36,0,0,added_after,trimmed_gap10/fusion/local_peak,39,0,0,0,0.0,,,,,,,,,,0,0,,,,
user0904,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,none,0,36,0,0,lost_before,v21/fusion/local_peak,39,0,0,0,0.0,,,,,,,,,,0,0,,,,
user0904,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,primary,none,0,36,0,0,common_before,v21/fusion/offline_ridge,39,36,0,0,92.3076923076923,,,,,,,,,,0,0,,,,
user0904,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,primary,none,0,36,0,0,common_after,trimmed_gap10/fusion/offline_ridge,39,36,0,0,92.3076923076923,,,,,,,,,,0,0,,,,
user0904,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,primary,none,0,36,0,0,added_after,trimmed_gap10/fusion/offline_ridge,39,0,0,0,0.0,,,,,,,,,,0,0,,,,
user0904,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,primary,none,0,36,0,0,lost_before,v21/fusion/offline_ridge,39,0,0,0,0.0,,,,,,,,,,0,0,,,,
user0904,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,none,0,36,0,0,common_before,v21/fusion/local_peak,39,36,0,0,92.3076923076923,,,,,,,,,,0,0,,,,
user0904,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,none,0,36,0,0,common_after,trimmed_gap15/fusion/local_peak,39,36,0,0,92.3076923076923,,,,,,,,,,0,0,,,,
