case,wave,system,role,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,observed_samples,interpolated_samples,interpolated_all_samples_pct,snr_mean_db,snr_median_db,r_wave,waveform_generated_count,neighbor_covered_count,proposal_accepted_count,generation_applicability
user0904,v21/fusion,v21/fusion,baseline,own,0,none,39,0,36,36,0,1350,92.40246406570843,44.999955,1350,44.999955,1350,0,0.0,,,,31.0,5.0,31.0,fusion proposal provenance
user0904,v21/fusion,v21/fusion,baseline,strict_common_all6,0,none,39,0,36,36,0,1350,92.40246406570843,44.999955,1350,44.999955,1350,0,0.0,,,,31.0,5.0,31.0,fusion proposal provenance
user0904,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,0,none,39,0,36,36,0,1350,92.40246406570843,44.999955,1350,44.999955,1350,0,0.0,,,,36.0,0.0,36.0,fusion proposal provenance
user0904,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,0,none,39,0,36,36,0,1350,92.40246406570843,44.999955,1350,44.999955,1350,0,0.0,,,,36.0,0.0,36.0,fusion proposal provenance
user0904,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,0,none,39,0,36,36,0,1350,92.40246406570843,44.999955,1350,44.999955,1350,0,0.0,,,,36.0,0.0,36.0,fusion proposal provenance
user0904,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,0,none,39,0,36,36,0,1350,92.40246406570843,44.999955,1350,44.999955,1350,0,0.0,,,,36.0,0.0,36.0,fusion proposal provenance
user0904,cpace,cpace,primary,own,0,none,39,0,36,36,0,1365,93.42915811088297,45.4999545,1365,45.4999545,1365,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0904,cpace,cpace,primary,strict_common_all6,0,none,39,0,36,36,0,1365,93.42915811088297,45.4999545,1365,45.4999545,1365,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0904,rhythm,rhythm,primary,own,0,none,39,0,35,35,0,1344,91.9917864476386,44.7999552,1344,44.7999552,1344,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0904,rhythm,rhythm,primary,strict_common_all6,0,none,39,0,35,35,0,1344,91.9917864476386,44.7999552,1344,44.7999552,1344,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0904,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,0,none,39,0,36,36,0,1365,93.42915811088297,45.4999545,1365,45.4999545,1365,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0904,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,0,none,39,0,36,36,0,1365,93.42915811088297,45.4999545,1365,45.4999545,1365,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0907,v21/fusion,v21/fusion,baseline,own,0,none,42,0,12,12,0,900,57.80346820809249,29.999969999999998,570,18.999981,826,74,4.752729608220937,,,,10.0,2.0,12.0,fusion proposal provenance
user0907,v21/fusion,v21/fusion,baseline,strict_common_all6,0,none,42,0,12,12,0,900,57.80346820809249,29.999969999999998,570,18.999981,826,74,4.752729608220937,,,,10.0,2.0,12.0,fusion proposal provenance
user0907,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,0,none,42,0,13,13,0,930,59.73025048169557,30.999969,570,18.999981,855,75,4.8169556840077075,,,,13.0,0.0,13.0,fusion proposal provenance
user0907,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,0,none,42,0,13,13,0,930,59.73025048169557,30.999969,570,18.999981,855,75,4.8169556840077075,,,,13.0,0.0,13.0,fusion proposal provenance
user0907,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,0,none,42,0,25,33,0,1260,80.92485549132948,41.999958,1260,41.999958,1149,111,7.129094412331407,,,,18.0,15.0,18.0,fusion proposal provenance
user0907,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,0,none,42,0,25,33,0,1260,80.92485549132948,41.999958,1260,41.999958,1149,111,7.129094412331407,,,,18.0,15.0,18.0,fusion proposal provenance
user0907,cpace,cpace,primary,own,0,none,42,0,14,20,0,1184,76.043673731535,39.4666272,762,25.3999746,1078,106,6.8079640333975595,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0907,cpace,cpace,primary,strict_common_all6,0,none,42,0,14,20,0,1184,76.043673731535,39.4666272,762,25.3999746,1078,106,6.8079640333975595,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0907,rhythm,rhythm,primary,own,0,none,42,0,13,17,0,1088,69.87797045600513,36.2666304,704,23.4666432,986,102,6.551059730250482,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
user0907,rhythm,rhythm,primary,strict_common_all6,0,none,42,0,13,17,0,1088,69.87797045600513,36.2666304,704,23.4666432,986,102,6.551059730250482,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
