case,wave,system,role,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,observed_samples,interpolated_samples,interpolated_all_samples_pct,snr_mean_db,snr_median_db,r_wave,waveform_generated_count,neighbor_covered_count,proposal_accepted_count,generation_applicability
data1,v21/fusion,v21/fusion,baseline,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-11.42080656535038,-11.168477230167088,,31.0,7.0,35.0,fusion proposal provenance
data1,v21/fusion,v21/fusion,baseline,strict_common_all6,-5,estimated_alignment_Polar_device_HR,42,42,38,38,33,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-11.383360113393465,-10.855556627785344,,31.0,7.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,-5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-11.320265631592783,-11.576154032029397,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,-5,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-11.184503344071995,-11.54623701047264,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,-5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-11.320265631592735,-11.576154032029352,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,-5,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-11.18450334407195,-11.546237010472604,,34.0,2.0,35.0,fusion proposal provenance
data1,cpace,cpace,primary,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-43.4989150557287,-41.72275147841506,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace,cpace,primary,strict_common_all6,-5,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-42.49273672513283,-41.70942430238768,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,own,-5,estimated_alignment_Polar_device_HR,42,42,35,35,35,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-11.68798244220811,-11.513044140589876,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,strict_common_all6,-5,estimated_alignment_Polar_device_HR,42,42,35,35,33,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-11.831163705124123,-11.513611381432003,,,,,not a comparable multi-ROI overlap-fusion generation metric
