window_index,time_s,window_start_s,window_end_s,accepted,estimated_bpm,local_spectral_bpm,output_status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,reference_frequency_snr_db
0,4.999995,0.0,9.99999,False,,,gap_or_filter_edge,103.4,True,ok,10,1.0262080999999998,,,
1,5.999994,0.999999,10.999989,False,,,gap_or_filter_edge,103.1,True,ok,10,1.0262080999999998,,,
2,6.999993,1.999998,11.999988,False,,,gap_or_filter_edge,102.7,True,ok,10,1.0262080999999998,,,
3,7.999992,2.999997,12.999986999999999,False,,,gap_or_filter_edge,102.2,True,ok,10,1.0262080999999998,,,
4,8.999991,3.999996,13.999986,True,55.0,109.0,candidate_only,101.6,True,ok,10,1.0262080999999998,-46.599999999999994,46.599999999999994,-6.900519486818293
5,9.99999,4.999995,14.999984999999999,True,54.0,112.0,candidate_only,101.1,True,ok,10,1.0262080999999998,-47.099999999999994,47.099999999999994,-10.934156029405685
6,10.999989,5.999994,15.999984,True,53.0,114.0,candidate_only,100.7,True,ok,10,1.0262080999999998,-47.7,47.7,-16.74044850289929
7,11.999988,6.999993,16.999983,True,53.0,114.0,candidate_only,100.4,True,ok,10,1.050764299999999,-47.400000000000006,47.400000000000006,-12.150656899896282
8,12.999986999999999,7.999992,17.999982,True,53.0,53.0,candidate_only,100.1,True,ok,10,1.050764299999999,-47.099999999999994,47.099999999999994,-9.6484420229386
9,13.999986,8.999991,18.999981,True,53.0,54.0,candidate_only,100.0,True,ok,10,1.050764299999999,-47.0,47.0,-8.79772918207884
10,14.999984999999999,9.99999,19.99998,True,53.0,53.0,candidate_only,100.0,True,ok,10,1.050764299999999,-47.0,47.0,-8.901366554135281
11,15.999984,10.999989,20.999979,True,52.0,51.0,candidate_only,100.2,True,ok,10,1.050764299999999,-48.2,48.2,-9.80814531312799
12,16.999983,11.999988,21.999978,True,52.0,51.0,candidate_only,100.4,True,ok,10,1.050764299999999,-48.400000000000006,48.400000000000006,-11.754964208833382
13,17.999982,12.999986999999999,22.999976999999998,True,52.0,50.0,candidate_only,100.7,True,ok,10,1.050764299999999,-48.7,48.7,-13.753485649131703
14,18.999981,13.999986,23.999976,True,54.0,50.0,candidate_only,101.1,True,ok,10,1.050764299999999,-47.099999999999994,47.099999999999994,-13.204959790972383
15,19.99998,14.999984999999999,24.999975,True,57.0,47.0,candidate_only,101.6,True,ok,10,1.050764299999999,-44.599999999999994,44.599999999999994,-11.655325230769314
16,20.999979,15.999984,25.999973999999998,True,59.0,60.0,candidate_only,102.2,True,ok,10,1.0200361000000022,-43.2,43.2,-10.873777694657608
17,21.999978,16.999983,26.999972999999997,True,61.0,61.0,candidate_only,103.0,True,ok,10,1.0200361000000022,-42.0,42.0,-12.356530363411588
18,22.999976999999998,17.999982,27.999972,True,62.0,62.0,candidate_only,104.0,True,ok,10,1.0200361000000022,-42.0,42.0,-15.681303435458663
19,23.999976,18.999981,28.999971,True,63.0,63.0,candidate_only,104.9,True,ok,10,1.0204017000000007,-41.900000000000006,41.900000000000006,-18.665921285859817
20,24.999975,19.99998,29.999969999999998,True,64.0,65.0,candidate_only,105.8,True,ok,10,1.0204017000000007,-41.8,41.8,-16.68101304584208
21,25.999973999999998,20.999979,30.999969,True,64.0,65.0,candidate_only,106.6,True,ok,10,1.0204017000000007,-42.599999999999994,42.599999999999994,-14.109114743234318
22,26.999972999999997,21.999978,31.999968,True,62.0,64.0,candidate_only,107.4,True,ok,10,1.0502719999999997,-45.400000000000006,45.400000000000006,-15.884650923205408
23,27.999972,22.999976999999998,32.999967,True,59.0,52.0,candidate_only,108.1,True,ok,10,1.0502719999999997,-49.099999999999994,49.099999999999994,-18.396041777671485
24,28.999971,23.999976,33.999966,True,56.0,53.0,candidate_only,108.7,True,ok,10,1.0502719999999997,-52.7,52.7,-18.421221186871733
25,29.999969999999998,24.999975,34.999964999999996,True,54.0,53.0,candidate_only,109.2,True,ok,10,1.0502719999999997,-55.2,55.2,-17.9189092091833
26,30.999969,25.999973999999998,35.999964,True,52.0,52.0,candidate_only,109.6,True,ok,10,1.0502719999999997,-57.599999999999994,57.599999999999994,-17.80813488371798
27,31.999968,26.999972999999997,36.999963,True,50.0,50.0,candidate_only,109.8,True,ok,10,1.0502719999999997,-59.8,59.8,-18.421438554259456
28,32.999967,27.999972,37.999962,True,49.0,48.0,candidate_only,109.8,True,ok,10,1.0502719999999997,-60.8,60.8,-18.95435026705521
29,33.999966,28.999971,38.999961,True,48.0,48.0,candidate_only,109.7,True,ok,10,1.0502719999999997,-61.7,61.7,-14.88516201792476
30,34.999964999999996,29.999969999999998,39.99996,True,49.0,48.0,candidate_only,109.5,True,ok,10,1.0502719999999997,-60.5,60.5,-12.328870903773911
31,35.999964,30.999969,40.999959,True,51.0,50.0,candidate_only,109.2,True,ok,10,1.0491724999999974,-58.2,58.2,-12.112748184587216
32,36.999963,31.999968,41.999958,True,53.0,53.0,candidate_only,108.9,True,ok,10,1.0491724999999974,-55.900000000000006,55.900000000000006,-11.814070734261431
33,37.999962,32.999967,42.999956999999995,True,54.0,55.0,candidate_only,108.5,True,ok,10,1.0491724999999974,-54.5,54.5,-10.239884688110976
34,38.999961,33.999966,43.999956,True,55.0,56.0,candidate_only,108.1,True,ok,10,1.020106400000003,-53.099999999999994,53.099999999999994,-8.03178669257284
35,39.99996,34.999964999999996,44.999955,True,56.0,57.0,candidate_only,107.7,True,ok,10,1.020106400000003,-51.7,51.7,-6.121934030886522
36,40.999959,35.999964,45.999953999999995,True,57.0,108.0,candidate_only,107.3,True,ok,10,1.020106400000003,-50.3,50.3,-5.44369178756436
37,41.999958,36.999963,46.999953,True,58.0,110.0,candidate_only,106.9,True,ok,10,1.020106400000003,-48.900000000000006,48.900000000000006,-6.36923969833442
