window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,4.999995,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9633333333333334,0.9933333333333333,0.0033333333333333335,0.0,0.0
1,5.999994,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.96,0.9966666666666667,0.0,0.0,0.0
2,6.999993,tracked,baseline_unavailable,,182.0,0.2605691644009501,0.4176599558775322,False,True,True,0.95,0.9966666666666667,0.0,0.0,0.0
3,7.999992,tracked,baseline_unavailable,,181.0,0.2670190616864464,0.5584505324013253,False,True,True,0.9533333333333334,0.9966666666666667,0.0,0.0,0.0
4,8.999991,tracked,baseline_unavailable,,180.0,0.2846539625080774,0.4416263200182161,False,True,True,0.9533333333333334,0.9966666666666667,0.0,0.0,0.0
5,9.99999,tracked,baseline_unavailable,,181.0,0.31648559199230336,0.4428021343694131,False,True,True,0.9466666666666667,0.9966666666666667,0.0,0.0,0.0
6,10.999989,tracked,baseline_unavailable,,181.0,0.3410857707692814,0.431381705242485,False,True,True,0.9433333333333334,0.9966666666666667,0.0,0.0,0.0
7,11.999988,baseline,baseline_evidence_retained,182.0,182.0,0.3653186473817163,0.3844163956011279,True,True,True,0.9433333333333334,0.9966666666666667,0.0,0.0,0.0
8,12.999986999999999,baseline,tracking_quality_fallback,183.0,,0.28851560522486874,0.17796141757820058,True,False,False,0.9433333333333334,0.9966666666666667,0.0,1.0,0.0007943176401866469
9,13.999986,baseline,tracking_quality_fallback,183.0,,0.38637228476716196,0.3227198145373043,True,False,False,0.9533333333333334,1.0,0.0,0.0,0.0
10,14.999984999999999,baseline,baseline_evidence_retained,183.0,183.0,0.47910397471609417,0.37479768723210544,True,True,True,0.96,1.0,0.0,0.0,0.0
11,15.999984,baseline,tracking_quality_fallback,183.0,,0.4572598792978428,0.284574209450529,True,False,False,0.9666666666666667,1.0,0.0,0.0,0.0
12,16.999983,baseline,baseline_evidence_retained,182.0,182.0,0.48344405631635956,0.404040480842174,True,True,True,0.9766666666666667,1.0,0.0,0.0,0.0
13,17.999982,baseline,tracking_quality_fallback,182.0,,0.496321468855562,0.32299097048306613,True,False,False,0.98,0.9966666666666667,0.0,0.0,0.0
14,18.999981,baseline,tracking_quality_fallback,181.0,,0.4199313510385167,0.23613563121217343,True,False,False,0.9833333333333333,0.9933333333333333,0.0,0.0,0.0
15,19.99998,none,no_qualified_branch,,,0.30123379289666363,0.23250985940571653,False,False,False,0.99,0.9933333333333333,0.0,0.0,0.0
16,20.999979,tracked,baseline_unavailable,,182.0,0.21922907577830414,0.30320583399432177,False,True,True,0.9933333333333333,0.9966666666666667,0.0,0.0,0.0
17,21.999978,none,no_qualified_branch,95.0,,0.40116767684886623,0.28151537186923264,False,False,False,0.9933333333333333,0.9966666666666667,0.0,0.0,0.0
18,22.999976999999998,none,no_qualified_branch,,,0.3100086768120365,0.2683002059615031,False,False,False,0.9933333333333333,1.0,0.0,0.0,0.0
19,23.999976,tracked,baseline_unavailable,,98.0,0.26448685405304323,0.3112382675191053,False,True,True,0.9933333333333333,1.0,0.0,0.0,0.0
20,24.999975,tracked,baseline_unavailable,,98.0,0.35670210994051477,0.29783630503700737,False,True,True,0.9933333333333333,0.9966666666666667,0.0,0.0,0.0
21,25.999973999999998,none,no_qualified_branch,,,0.4278510262828124,0.2614344368036179,False,False,False,0.9933333333333333,0.9966666666666667,0.0,0.0,0.0
22,26.999972999999997,baseline,tracking_quality_fallback,185.0,,0.5269662788399911,0.40666350555430153,True,False,False,0.9933333333333333,0.9966666666666667,0.0,0.0,0.0
23,27.999972,baseline,baseline_evidence_retained,185.0,185.0,0.4665708414809518,0.42947988771689155,True,True,True,0.9966666666666667,0.9966666666666667,0.0,0.9858984025645162,0.9860045946449653
24,28.999971,baseline,baseline_evidence_retained,185.0,185.0,0.4557896070993284,0.4470371650603143,True,True,True,0.9966666666666667,1.0,0.0,1.0,0.988671774974033
25,29.999969999999998,baseline,baseline_evidence_retained,185.0,185.0,0.449584815848278,0.4477474358380911,True,True,True,0.9966666666666667,1.0,0.0,0.9957848377389945,0.9858233924872594
26,30.999969,baseline,baseline_evidence_retained,186.0,185.0,0.6062221059381003,0.5789311397656279,True,True,True,0.9966666666666667,1.0,0.0,1.0,0.9928953453520057
27,31.999968,baseline,baseline_evidence_retained,186.0,186.0,0.6062879281355025,0.5837409892395627,True,True,True,0.9933333333333333,1.0,0.0,1.0,1.0
28,32.999967,baseline,baseline_evidence_retained,186.0,186.0,0.6055411065303107,0.5929274592918362,True,True,True,0.9933333333333333,1.0,0.0,1.0,0.9972983355886174
29,33.999966,baseline,baseline_evidence_retained,186.0,186.0,0.6007793361559601,0.5986245858292215,True,True,True,0.9933333333333333,1.0,0.0,1.0,1.0
30,34.999964999999996,baseline,baseline_evidence_retained,185.0,185.0,0.5921287374280972,0.6005042433905268,True,True,True,0.9966666666666667,1.0,0.0,1.0,1.0
31,35.999964,baseline,baseline_evidence_retained,185.0,185.0,0.5970576014797121,0.5954423450404258,True,True,True,0.9933333333333333,1.0,0.0,0.9933784796283421,1.0
32,36.999963,baseline,baseline_evidence_retained,184.0,184.0,0.6095483005209436,0.4717958884361386,True,True,True,0.9866666666666667,1.0,0.0,0.9921625123955892,0.994348210472322
33,37.999962,baseline,baseline_evidence_retained,184.0,184.0,0.609400992179608,0.3670834908201043,True,True,True,0.9833333333333333,1.0,0.0,1.0,0.9996770548822654
34,38.999961,baseline,baseline_evidence_retained,184.0,184.0,0.6000856870625262,0.3700584019676302,True,True,True,0.9833333333333333,1.0,0.0,1.0,1.0
35,39.99996,baseline,baseline_evidence_retained,184.0,184.0,0.5925106465693459,0.45377815035268143,True,True,True,0.9833333333333333,1.0,0.0,1.0,1.0
36,40.999959,baseline,baseline_evidence_retained,184.0,184.0,0.5928627260329253,0.5957744597427261,True,True,True,0.9766666666666667,1.0,0.0,1.0,1.0
37,41.999958,baseline,baseline_evidence_retained,184.0,184.0,0.5966829822343552,0.5895170217779215,True,True,True,0.9766666666666667,1.0,0.0,1.0,1.0
38,42.999956999999995,baseline,baseline_evidence_retained,184.0,184.0,0.5926430989297808,0.5782643524501585,True,True,True,0.9733333333333334,1.0,0.0,1.0,1.0
39,43.999956,baseline,baseline_evidence_retained,184.0,185.0,0.5818376143711512,0.573453887199857,True,True,True,0.97,1.0,0.0,1.0,0.9824613584011477
40,44.999955,baseline,baseline_evidence_retained,184.0,184.0,0.579503546717449,0.35293486577595157,True,True,True,0.97,1.0,0.0,1.0,0.9918349944370747
41,45.999953999999995,baseline,baseline_evidence_retained,184.0,184.0,0.44820640125984873,0.35997397563274663,True,True,True,0.97,1.0,0.0,0.9891666244805064,0.9983727621196445
42,46.999953,baseline,baseline_evidence_retained,185.0,185.0,0.4641334708905277,0.47661608898706176,True,True,True,0.9766666666666667,1.0,0.0,0.9944310962065874,0.9462844669443575
43,47.999952,baseline,baseline_evidence_retained,185.0,185.0,0.6246347438075114,0.5046748399242829,True,True,True,0.9733333333333334,1.0,0.0,0.9922014861768763,0.9714766833929454
44,48.999950999999996,baseline,baseline_evidence_retained,186.0,186.0,0.6306359175167939,0.44106549454372085,True,True,True,0.9666666666666667,1.0,0.0,1.0,0.9971964966589003
45,49.99995,baseline,baseline_evidence_retained,186.0,186.0,0.4921993584075849,0.5053712002338431,True,True,True,0.9666666666666667,1.0,0.0,1.0,0.979061526827597
46,50.999949,baseline,baseline_evidence_retained,186.0,185.0,0.4729303369126761,0.48007099407398884,True,True,True,0.97,1.0,0.0,0.9995329490617184,0.9893630617477964
47,51.999947999999996,baseline,baseline_evidence_retained,185.0,185.0,0.599191925245369,0.4642204658770756,True,True,True,0.9733333333333334,1.0,0.0,1.0,1.0
48,52.999947,baseline,baseline_evidence_retained,184.0,184.0,0.596428177821135,0.44785138405115454,True,True,True,0.9766666666666667,1.0,0.0,1.0,0.9964594136726542
49,53.999945999999994,baseline,baseline_evidence_retained,184.0,184.0,0.5944413339427923,0.43041165681822735,True,True,True,0.9766666666666667,1.0,0.0,0.9927949861407777,0.9901372851580375
50,54.999945,baseline,baseline_evidence_retained,184.0,183.0,0.5910056870997681,0.45106045607636386,True,True,True,0.97,1.0,0.0,0.9985762566334986,0.9982797718052308
51,55.999944,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9733333333333334,1.0,0.0,0.0,0.0
52,56.999942999999995,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9666666666666667,1.0,0.0,0.0,0.0
