window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,4.999995,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9966666666666667,0.9966666666666667,0.0033333333333333335,0.0,0.0
1,5.999994,none,no_qualified_branch,,,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0
2,6.999993,baseline,tracking_quality_fallback,162.0,68.0,0.34869956125194873,0.2616624586044456,True,False,False,1.0,1.0,0.0,0.004714302829745478,0.004509987808958446
3,7.999992,none,no_qualified_branch,,68.0,0.18720332248580743,0.31736284667599673,False,False,False,1.0,1.0,0.0,0.007024812947894088,0.005257482275751341
4,8.999991,none,no_qualified_branch,,,0.3713859164952883,0.27164916283748214,False,False,False,1.0,1.0,0.0,0.004134091754933897,0.002586873394825507
5,9.99999,none,no_qualified_branch,75.0,,0.2792886592746924,0.20214866869302667,False,False,False,1.0,1.0,0.0,0.009312839473032256,0.0031496273869266148
6,10.999989,none,no_qualified_branch,,101.0,0.0,0.3418037289024535,False,False,False,1.0,1.0,0.0,0.0,0.004129108318874512
7,11.999988,none,no_qualified_branch,,,0.0,0.20764233427874976,False,False,False,1.0,1.0,0.0,0.0,0.0019939855896664773
8,12.999986999999999,none,no_qualified_branch,75.0,,0.25849179731412125,0.31445614690144114,False,False,False,1.0,1.0,0.0,0.004166957324703132,0.02084535328715766
9,13.999986,none,no_qualified_branch,78.0,,0.320914992768689,0.0,False,False,False,1.0,1.0,0.0,0.003467398843530121,0.0
10,14.999984999999999,baseline,tracking_quality_fallback,75.0,77.0,0.2721409529344591,0.27742898640783337,True,False,False,1.0,1.0,0.0,0.00589983841106946,0.005740085471559444
11,15.999984,baseline,tracking_quality_fallback,77.0,74.0,0.4354591977517785,0.27544660979219526,True,False,False,1.0,1.0,0.0,0.011365161081775474,0.011564857464371718
12,16.999983,baseline,frequency_disagreement_fallback,80.0,66.0,0.3832396221387319,0.31959849903947407,True,True,True,1.0,1.0,0.0,0.017208202762175093,0.02105291712603704
