window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,4.99995,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9994444444444445,0.9994444444444445,0.0005555555555555556,0.0,0.0
1,5.99994,none,no_qualified_branch,,,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0
2,6.99993,baseline,tracking_quality_fallback,76.0,75.0,0.8477035247295196,0.4259569881411077,True,False,False,1.0,1.0,0.0,0.01827892552336913,0.017859029614304946
3,7.9999199999999995,baseline,baseline_evidence_retained,76.0,75.0,0.8337102195966731,0.5754340339042353,True,True,True,1.0,1.0,0.0,0.02634971840567065,0.025804787184917924
4,8.99991,baseline,baseline_evidence_retained,75.0,75.0,0.815197985349348,0.6344077256583651,True,True,True,1.0,1.0,0.0,0.036765467532582995,0.03529136469045886
5,9.9999,baseline,baseline_evidence_retained,74.0,76.0,0.8152391070614838,0.6326554173926988,True,True,True,1.0,1.0,0.0,0.042216925070753517,0.03436853318614491
6,10.99989,baseline,baseline_evidence_retained,73.0,75.0,0.8337886300998373,0.6112631041447115,True,True,True,1.0,1.0,0.0,0.04910023987303036,0.03892327877706464
7,11.99988,baseline,baseline_evidence_retained,72.0,74.0,0.8466809652842004,0.7036978888246177,True,True,True,1.0,1.0,0.0,0.05038374980662873,0.04813107711250287
8,12.99987,baseline,baseline_evidence_retained,72.0,74.0,0.8474377449042045,0.6222150874436266,True,True,True,1.0,1.0,0.0,0.04600939410644718,0.04429674281330964
9,13.99986,baseline,baseline_evidence_retained,74.0,74.0,0.8340948725985454,0.4997418628336226,True,True,True,1.0,1.0,0.0,0.04631645862538937,0.04658980244368229
10,14.99985,baseline,baseline_evidence_retained,75.0,75.0,0.8110443631578202,0.44479939600877133,True,True,True,1.0,1.0,0.0,0.04985933095536021,0.04837037545370802
11,15.999839999999999,baseline,baseline_evidence_retained,78.0,76.0,0.8046798077635281,0.34888998521541925,True,True,True,1.0,1.0,0.0,0.05145767619824298,0.05132767038329577
12,16.99983,baseline,tracking_quality_fallback,79.0,,0.8175834732726822,0.21799274004886046,True,False,False,1.0,1.0,0.0,0.033139826711489635,0.03714915531378665
13,17.99982,baseline,tracking_quality_fallback,81.0,57.0,0.8265302974071234,0.25238076788559083,True,False,False,1.0,1.0,0.0,0.006568520085954864,0.00667109055332526
14,18.99981,baseline,tracking_quality_fallback,82.0,61.0,0.8340765848702201,0.33750216976691255,True,False,False,1.0,1.0,0.0,0.004962451189587572,0.007628453846499995
15,19.9998,baseline,tracking_quality_fallback,81.0,63.0,0.8276683252636032,0.4097036708936241,True,False,False,1.0,1.0,0.0,0.01097640371956439,0.007100569032356086
16,20.99979,baseline,tracking_quality_fallback,79.0,64.0,0.8149784107529261,0.4788611263792854,True,False,False,1.0,1.0,0.0,0.01563529053665602,0.009294773346124883
17,21.99978,baseline,tracking_quality_fallback,78.0,62.0,0.8253475158147607,0.6615784848607649,True,False,False,1.0,1.0,0.0,0.02191859793619873,0.012913238507843254
