window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,accepted,estimated_bpm,error_bpm,abs_error_bpm,baseline_accepted,baseline_bpm,common,new,lost,status
0,4.999995,0.0,9.99999,115.9,True,False,,,,False,,False,False,False,gap_or_filter_edge
1,5.999994,0.999999,10.999989,116.5,True,False,,,,False,,False,False,False,gap_or_filter_edge
2,6.999993,1.999998,11.999988,116.9,True,False,,,,False,,False,False,False,gap_or_filter_edge
3,7.999992,2.999997,12.999987,117.1,True,False,,,,False,,False,False,False,gap_or_filter_edge
4,8.999991,3.999996,13.999986,117.1,True,False,,,,False,,False,False,False,gap_or_filter_edge
5,9.99999,4.999995,14.999985,116.8,True,False,,,,False,,False,False,False,gap_or_filter_edge
6,10.999989,5.999994,15.999984,116.2,True,False,,,,False,,False,False,False,gap_or_filter_edge
7,11.999988,6.999993,16.999983,115.5,True,False,,,,False,,False,False,False,gap_or_filter_edge
8,12.999987,7.999992,17.999982,114.6,True,False,,,,False,,False,False,False,gap_or_filter_edge
9,13.999986,8.999991,18.999981,113.6,True,True,93.0,-20.599999999999994,20.599999999999994,True,189.0,True,False,False,candidate_only
10,14.999985,9.99999,19.99998,112.5,True,True,93.0,-19.5,19.5,True,189.0,True,False,False,candidate_only
11,15.999984,10.999989,20.999979,111.5,True,True,93.0,-18.5,18.5,True,189.0,True,False,False,candidate_only
12,16.999983,11.999988,21.999978,110.5,True,True,93.0,-17.5,17.5,True,189.0,True,False,False,candidate_only
13,17.999982,12.999987,22.999977,109.6,True,True,92.0,-17.599999999999994,17.599999999999994,True,188.0,True,False,False,candidate_only
14,18.999981,13.999986,23.999976,108.7,True,True,91.0,-17.700000000000003,17.700000000000003,True,187.0,True,False,False,candidate_only
15,19.99998,14.999985,24.999975,107.9,True,True,90.0,-17.900000000000006,17.900000000000006,True,186.0,True,False,False,candidate_only
16,20.999979,15.999984,25.999974,107.3,True,True,88.0,-19.299999999999997,19.299999999999997,True,185.0,True,False,False,candidate_only
17,21.999978,16.999983,26.999973,106.7,True,True,86.0,-20.700000000000003,20.700000000000003,True,185.0,True,False,False,candidate_only
18,22.999977,17.999982,27.999972,106.4,True,True,84.0,-22.400000000000006,22.400000000000006,True,185.0,True,False,False,candidate_only
19,23.999976,18.999981,28.999971,106.3,True,True,90.0,-16.299999999999997,16.299999999999997,True,186.0,True,False,False,candidate_only
20,24.999975,19.99998,29.99997,106.4,True,True,92.0,-14.400000000000006,14.400000000000006,True,187.0,True,False,False,candidate_only
21,25.999974,20.999979,30.999969,106.6,True,True,92.0,-14.599999999999994,14.599999999999994,True,188.0,True,False,False,candidate_only
22,26.999973,21.999978,31.999968,107.0,True,True,91.0,-16.0,16.0,True,189.0,True,False,False,candidate_only
23,27.999972,22.999977,32.999967,107.7,True,True,90.0,-17.700000000000003,17.700000000000003,True,189.0,True,False,False,candidate_only
24,28.999971,23.999976,33.999966,108.6,True,True,89.0,-19.599999999999994,19.599999999999994,True,189.0,True,False,False,candidate_only
25,29.99997,24.999975,34.999965,109.7,True,True,77.0,-32.7,32.7,True,188.0,True,False,False,candidate_only
26,30.999969,25.999974,35.999964,110.8,True,True,79.0,-31.799999999999997,31.799999999999997,True,187.0,True,False,False,candidate_only
27,31.999968,26.999973,36.999963,112.0,True,True,81.0,-31.0,31.0,True,186.0,True,False,False,candidate_only
28,32.999967,27.999972,37.999962,113.1,True,True,83.0,-30.099999999999994,30.099999999999994,True,185.0,True,False,False,candidate_only
29,33.999966,28.999971,38.999961,114.1,True,True,86.0,-28.099999999999994,28.099999999999994,True,185.0,True,False,False,candidate_only
30,34.999965,29.99997,39.99996,115.1,True,True,89.0,-26.099999999999994,26.099999999999994,True,186.0,True,False,False,candidate_only
31,35.999964,30.999969,40.999959,116.0,True,True,91.0,-25.0,25.0,True,187.0,True,False,False,candidate_only
32,36.999963,31.999968,41.999958,116.9,True,True,93.0,-23.900000000000006,23.900000000000006,True,188.0,True,False,False,candidate_only
33,37.999962,32.999967,42.999957,117.6,True,True,94.0,-23.599999999999994,23.599999999999994,True,188.0,True,False,False,candidate_only
34,38.999961,33.999966,43.999956,118.3,True,True,94.0,-24.299999999999997,24.299999999999997,True,188.0,True,False,False,candidate_only
35,39.99996,34.999965,44.999955,118.9,True,True,94.0,-24.900000000000006,24.900000000000006,True,187.0,True,False,False,candidate_only
36,40.999959,35.999964,45.999954,119.5,True,True,94.0,-25.5,25.5,True,186.0,True,False,False,candidate_only
37,41.999958,36.999963,46.999953,120.0,True,True,93.0,-27.0,27.0,True,185.0,True,False,False,candidate_only
38,42.999957,37.999962,47.999952,120.4,True,True,93.0,-27.400000000000006,27.400000000000006,True,185.0,True,False,False,candidate_only
39,43.999956,38.999961,48.999951,120.9,True,True,93.0,-27.900000000000006,27.900000000000006,True,185.0,True,False,False,candidate_only
40,44.999955,39.99996,49.99995,121.3,True,False,,,,False,,False,False,False,gap_or_filter_edge
41,45.999954,40.999959,50.999949,121.7,True,False,,,,False,,False,False,False,gap_or_filter_edge
42,46.999953,41.999958,51.999948,122.0,True,False,,,,False,,False,False,False,gap_or_filter_edge
43,47.999952,42.999957,52.999947,122.3,True,False,,,,False,,False,False,False,gap_or_filter_edge
44,48.999951,43.999956,53.999946,122.5,True,False,,,,False,,False,False,False,gap_or_filter_edge
45,49.99995,44.999955,54.999945,122.7,True,False,,,,False,,False,False,False,gap_or_filter_edge
46,50.999949,45.999954,55.999944,122.8,True,False,,,,False,,False,False,False,gap_or_filter_edge
47,51.999948,46.999953,56.999943,122.9,True,False,,,,False,,False,False,False,gap_or_filter_edge
48,52.999947,47.999952,57.999942,123.0,True,False,,,,False,,False,False,False,gap_or_filter_edge
49,53.999946,48.999951,58.999941,123.0,True,False,,,,False,,False,False,False,gap_or_filter_edge
50,54.999945,49.99995,59.99994,123.1,True,False,,,,False,,False,False,False,gap_or_filter_edge
51,55.999944,50.999949,60.999939,123.3,True,False,,,,False,,False,False,False,gap_or_filter_edge
52,56.999943,51.999948,61.999938,123.6,True,False,,,,False,,False,False,False,gap_or_filter_edge
53,57.999942,52.999947,62.999937,123.9,True,False,,,,False,,False,False,False,gap_or_filter_edge
54,58.999941,53.999946,63.999936,124.4,True,False,,,,False,,False,False,False,gap_or_filter_edge
55,59.99994,54.999945,64.999935,124.9,True,False,,,,True,192.0,False,False,True,gap_or_filter_edge
56,60.999939,55.999944,65.999934,125.6,True,False,,,,True,192.0,False,False,True,gap_or_filter_edge
57,61.999938,56.999943,66.999933,126.4,True,False,,,,True,192.0,False,False,True,gap_or_filter_edge
58,62.999937,57.999942,67.999932,127.3,True,False,,,,True,192.0,False,False,True,gap_or_filter_edge
59,63.999936,58.999941,68.99993099999999,128.3,True,False,,,,True,192.0,False,False,True,gap_or_filter_edge
60,64.999935,59.99994,69.99992999999999,129.3,True,False,,,,False,,False,False,False,gap_or_filter_edge
61,65.999934,60.999939,70.999929,130.3,True,False,,,,False,,False,False,False,gap_or_filter_edge
