window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap,routing_mode,baseline_pulse_support,tracked_pulse_support,baseline_motion_risk,tracked_motion_risk,baseline_ambiguity,tracked_ambiguity,baseline_contributing_roi_count,tracked_contributing_roi_count,motion_available,motion_status,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability
0,4.999995,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.64,0.64,0.0033333333333333335,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,True,observed_motion,0.9,2.7918228604842907,0.9920450819935401,0.9
1,5.999994,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.7266666666666667,0.7366666666666667,0.0,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,True,observed_motion,1.0,2.823595181438333,0.9922217144889995,1.0
2,6.999993,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.7233333333333334,0.7333333333333333,0.0,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,True,observed_motion,1.0,2.9670905116867647,0.9929506980542512,1.0
3,7.999992,baseline,only_baseline_qualified_evidence,92.0,68.0,0.48181557113000534,0.0,True,False,False,0.7266666666666667,0.73,0.0,0.07711248193522958,0.0008854847313563328,evidence,0.6106596293072624,0.0,0.07852806850599536,0.0008157637930225324,0.364177114197761,0.593557880358963,2,0,True,observed_motion,1.0,3.1124460246358536,0.9935896254128586,1.0
4,8.999991,baseline,only_baseline_qualified_evidence,92.0,,0.4193588376146587,0.0,True,False,False,0.7366666666666667,0.7433333333333333,0.0,0.08178630251899147,0.9517262513111775,evidence,0.5559886547444186,0.0,0.08778071342229875,,0.4294452018461559,0.0,2,0,True,observed_motion,1.0,3.1378747648920657,0.9936924486654357,1.0
5,9.99999,baseline,only_baseline_qualified_evidence,92.0,,0.4339297643557609,0.0,True,False,False,0.7866666666666666,0.79,0.0,0.08600909167573484,0.9867384129261288,evidence,0.5628667209075228,0.0,0.09342393501844354,,0.39047829298967396,0.0,2,0,True,observed_motion,1.0,3.1509678057593393,0.993744431363445,1.0
6,10.999989,baseline,disagreement_resolved_baseline_evidence,92.0,182.0,0.4775133168040143,0.3462893818868833,True,True,True,0.8366666666666667,0.8666666666666667,0.0,0.09823454760963028,0.986887108325813,evidence,0.6225895825265848,0.6229337700289476,0.09909744493831235,0.986887108325813,0.39444346988598405,0.0,2,2,True,observed_motion,1.0,3.1012612472721734,0.9935436027473458,1.0
7,11.999988,baseline,only_baseline_qualified_evidence,93.0,,0.4767898023827443,0.0,True,False,False,0.88,0.9166666666666666,0.0,0.09682413528967292,0.09387811335133449,evidence,0.6102295857618192,0.0,0.0991191955822013,,0.36438866791885166,0.5182487572593563,2,0,True,observed_motion,1.0,3.141418798341089,0.9937065830168121,1.0
8,12.999986999999999,baseline,only_baseline_qualified_evidence,94.0,,0.571888508889307,0.0,True,False,False,0.88,0.91,0.0,0.09125561498874454,0.08845418960588837,evidence,0.6807531449872413,0.0,0.0948273389786064,,0.24494356773529208,0.2671000047358985,2,0,True,observed_motion,1.0,3.1845935181082883,0.9938750325591422,1.0
9,13.999986,baseline,baseline_evidence_retained,95.0,94.0,0.5646439072704807,0.4645062201727377,True,True,True,0.8766666666666667,0.9066666666666666,0.0,0.07537546438956243,0.08479360269786285,evidence,0.6446961677070278,0.520744326620057,0.08351745441275442,0.09467087027737486,0.17993791797701408,0.13660718120402437,3,2,True,observed_motion,1.0,3.170688299760924,0.9938215246834504,1.0
10,14.999984999999999,baseline,baseline_evidence_retained,94.0,96.0,0.5915284245243628,0.49603485687972243,True,True,True,0.85,0.8833333333333333,0.0,0.0776657941494066,0.07621991123194204,evidence,0.6737080369631292,0.5481899231080057,0.0925589095568262,0.06916965342172804,0.16764160332966901,0.1321414010241954,3,2,True,observed_motion,1.0,3.187189134645413,0.9938849437470311,1.0
11,15.999984,baseline,only_baseline_qualified_evidence,94.0,,0.549130587604527,0.0,True,False,False,0.8,0.8466666666666667,0.0,0.07888571061013792,0.07938999390654831,evidence,0.669378140166554,0.0,0.09093179073762551,,0.2892799060377585,0.857100847027295,2,0,True,observed_motion,1.0,3.2243753225904386,0.9940243402795236,1.0
12,16.999983,baseline,only_baseline_qualified_evidence,93.0,,0.6214295317438004,0.0,True,False,False,0.79,0.8533333333333334,0.0,0.09104643816793016,0.0038182077219098614,evidence,0.7018951145843328,0.0,0.09170283722058106,,0.1530647920625649,0.8989412348878575,2,0,True,observed_motion,1.0,3.2604676260273027,0.9941551362297912,1.0
13,17.999982,baseline,disagreement_resolved_baseline_evidence,93.0,49.0,0.6664923977864967,0.4777020031050087,True,True,True,0.78,0.8533333333333334,0.0,0.08833953515369829,0.004980944211583318,evidence,0.6945219805852362,0.5079749338571357,0.0896846514814258,0.006103820620529164,0.0,0.11401036384700498,2,2,True,observed_motion,1.0,3.285678317970274,0.9942439719699707,1.0
14,18.999981,baseline,only_baseline_qualified_evidence,92.0,46.0,0.6001771817529931,0.0,True,False,False,0.7666666666666667,0.8433333333333334,0.0,0.07273138569647343,0.0055578087599165524,evidence,0.6238978002807007,0.0,0.08448897494655704,0.0054454581890010165,0.0,0.2076350671213864,2,0,True,observed_motion,1.0,3.307008748746348,0.9943175654622186,1.0
