window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,4.999995,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.64,0.64,0.0033333333333333335,0.0,0.0
1,5.999994,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.7266666666666667,0.7366666666666667,0.0,0.0,0.0
2,6.999993,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.7233333333333334,0.7333333333333333,0.0,0.0,0.0
3,7.999992,none,no_qualified_branch,,,0.23163417858594423,0.1560891755044668,False,False,False,0.7266666666666667,0.73,0.0,0.921322284878627,0.008730588976820657
4,8.999991,tracked,baseline_unavailable,184.0,184.0,0.273936088917454,0.46331601823548596,False,True,True,0.7366666666666667,0.7433333333333333,0.0,0.9541556450873521,0.9624913317972437
5,9.99999,tracked,stronger_qualified_evidence,183.0,183.0,0.27216055283688123,0.4682815231899003,True,True,True,0.7866666666666666,0.79,0.0,0.9825144431929886,0.9943270440872582
6,10.999989,tracked,stronger_qualified_evidence,182.0,182.0,0.2473678211657676,0.4062123751048188,True,True,True,0.8366666666666667,0.8666666666666667,0.0,0.9959687107213175,0.9935829431590103
7,11.999988,tracked,stronger_qualified_evidence,183.0,183.0,0.2125816218092975,0.28040220171932945,True,True,True,0.88,0.9166666666666666,0.0,0.9954899996428108,0.977642219171296
8,12.999986999999999,none,no_qualified_branch,,,0.28339590402781184,0.15279185312500232,False,False,False,0.88,0.91,0.0,0.8543244843584501,0.8316153925265256
9,13.999986,none,no_qualified_branch,,,0.3178651772289537,0.2886622201452882,False,False,False,0.8766666666666667,0.9066666666666666,0.0,0.7571737944363826,0.8474627356659217
10,14.999984999999999,baseline,baseline_evidence_retained,94.0,96.0,0.3720758316270384,0.3112043532069096,True,True,True,0.85,0.8833333333333333,0.0,0.813442290106218,0.7891210057885345
11,15.999984,baseline,tracking_quality_fallback,94.0,,0.3401473447268521,0.17811897714717984,True,False,False,0.8,0.8466666666666667,0.0,0.8433425224178623,0.029384776851337564
12,16.999983,baseline,tracking_quality_fallback,93.0,,0.39281254134026306,0.2513226746958002,True,False,False,0.79,0.8533333333333334,0.0,0.9920732982046048,0.04721544668818275
13,17.999982,baseline,frequency_disagreement_fallback,93.0,49.0,0.5002865098276901,0.2810183968383311,True,True,True,0.78,0.8533333333333334,0.0,0.9860230206053898,0.062392632106311435
14,18.999981,baseline,tracking_quality_fallback,92.0,46.0,0.421273019548043,0.24145080487305814,True,False,False,0.7666666666666667,0.8433333333333334,0.0,0.8195568041629772,0.06870695518113873
15,19.99998,baseline,tracking_quality_fallback,90.0,,0.5779219763982514,0.1820541212475751,True,False,False,0.74,0.8166666666666667,0.0,0.0,0.0
16,20.999979,baseline,tracking_quality_fallback,91.0,,0.4465727383769224,0.2160260829412178,True,False,False,0.7233333333333334,0.8033333333333333,0.0,0.0,0.0
17,21.999978,baseline,tracking_quality_fallback,92.0,,0.4167227307713886,0.24394514041582865,True,False,False,0.7233333333333334,0.8066666666666666,0.0,0.0,0.0
18,22.999976999999998,baseline,frequency_disagreement_fallback,92.0,69.0,0.47637727255976153,0.4365273370960317,True,True,True,0.7166666666666667,0.8,0.0,0.0,0.0
19,23.999976,baseline,frequency_disagreement_fallback,92.0,68.0,0.33750785374792375,0.5226249339471593,True,True,True,0.7166666666666667,0.8066666666666666,0.0,0.0,0.0
20,24.999975,baseline,tracking_quality_fallback,93.0,66.0,0.4173750550845223,0.6642160341404255,True,False,False,0.7133333333333334,0.81,0.0033333333333333335,0.0,0.0
21,25.999973999999998,baseline,tracking_quality_fallback,94.0,66.0,0.41932948939497855,0.6625725436409498,True,False,False,0.7366666666666667,0.8233333333333334,0.0033333333333333335,0.0,0.0
22,26.999972999999997,baseline,frequency_disagreement_fallback,94.0,67.0,0.35530035170524965,0.39493188002229346,True,True,True,0.7366666666666667,0.81,0.01,0.0,0.0
23,27.999972,baseline,tracking_quality_fallback,94.0,,0.38549033436894553,0.14696499732881743,True,False,False,0.7266666666666667,0.7866666666666666,0.01,0.0,0.0
24,28.999971,baseline,tracking_quality_fallback,93.0,,0.29484325089593727,0.2549136367597455,True,False,False,0.7366666666666667,0.7933333333333333,0.013333333333333334,0.0,0.0
25,29.999969999999998,baseline,tracking_quality_fallback,93.0,,0.30115903892020807,0.1861468353137261,True,False,False,0.7666666666666667,0.82,0.013333333333333334,0.0,0.0
26,30.999969,baseline,frequency_disagreement_fallback,94.0,62.0,0.439701006056961,0.29480663397387863,True,True,True,0.76,0.8233333333333334,0.016666666666666666,0.0,0.0
27,31.999968,baseline,frequency_disagreement_fallback,94.0,60.0,0.49670837401482926,0.28410599381778817,True,True,True,0.7533333333333333,0.82,0.016666666666666666,0.0,0.0
28,32.999967,baseline,frequency_disagreement_fallback,95.0,61.0,0.494095074703246,0.2963703266502428,True,True,True,0.77,0.8366666666666667,0.016666666666666666,0.0,0.0
29,33.999966,baseline,frequency_disagreement_fallback,95.0,62.0,0.49140239138673375,0.350983176636363,True,True,True,0.76,0.8233333333333334,0.02,0.0,0.0
30,34.999964999999996,baseline,tracking_quality_fallback,96.0,,0.5830123701365292,0.22125788668461,True,False,False,0.77,0.83,0.016666666666666666,0.0,0.0
31,35.999964,baseline,tracking_quality_fallback,96.0,,0.46536899011001764,0.29039012521114915,True,False,False,0.7566666666666667,0.8366666666666667,0.016666666666666666,0.0,0.0
