window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,4.999995,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.2633333333333333,0.27666666666666667,0.006666666666666667,0.0,0.0
1,5.999994,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.36,0.37666666666666665,0.006666666666666667,0.0,0.0
2,6.999993,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.44,0.45666666666666667,0.0033333333333333335,0.0,0.0
3,7.999992,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.5333333333333333,0.5566666666666666,0.0033333333333333335,0.0,0.0
4,8.999991,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.6333333333333333,0.6566666666666666,0.0033333333333333335,0.0,0.0
5,9.99999,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.7333333333333333,0.7566666666666667,0.0033333333333333335,0.0,0.0
6,10.999989,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.8333333333333334,0.8566666666666667,0.0033333333333333335,0.0,0.0
7,11.999988,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9,0.9333333333333333,0.0,0.0,0.0
8,12.999986999999999,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9666666666666667,0.9866666666666667,0.0,0.0,0.0
9,13.999986,tracked,stronger_qualified_evidence,187.0,189.0,0.34409847766133445,0.5618476591334056,True,True,True,0.9766666666666667,0.99,0.0,0.0,0.0
10,14.999984999999999,tracked,stronger_qualified_evidence,189.0,189.0,0.4026315341415023,0.7335088391663419,True,True,True,0.9833333333333333,0.9866666666666667,0.0,0.0,0.0
11,15.999984,tracked,stronger_qualified_evidence,189.0,189.0,0.4152685255603242,0.742651269260951,True,True,True,0.98,0.9866666666666667,0.0,0.0,0.0
12,16.999983,tracked,stronger_qualified_evidence,189.0,189.0,0.5251110368847492,0.7175405560963342,True,True,True,0.9766666666666667,0.9866666666666667,0.0,0.0,0.0
13,17.999982,baseline,baseline_evidence_retained,189.0,188.0,0.5103340018480905,0.4478253021403761,True,True,True,0.9733333333333334,0.99,0.0,0.8909299999550407,0.9860259655019027
14,18.999981,tracked,baseline_unavailable,187.0,187.0,0.5096496227864996,0.5284694313727486,False,True,True,0.9733333333333334,0.99,0.0,0.7870557771770744,0.9171714679496219
15,19.99998,tracked,baseline_unavailable,183.0,184.0,0.4032535628939135,0.5234061863333412,False,True,True,0.9733333333333334,0.9833333333333333,0.0,0.8980325384116465,0.9071373460016385
16,20.999979,tracked,baseline_unavailable,183.0,183.0,0.26894963190207816,0.35935788300266364,False,True,True,0.9733333333333334,0.98,0.0,0.822722580453527,0.9269157794568023
17,21.999978,tracked,baseline_unavailable,,184.0,0.2282151384448148,0.2991436165073504,False,True,True,0.9766666666666667,0.98,0.0,0.8804996265084896,0.8943112672581398
18,22.999976999999998,tracked,baseline_unavailable,,184.0,0.2747390788542665,0.23432343223784655,False,True,True,0.9766666666666667,0.9833333333333333,0.0,0.9718409113769115,0.9754647310545632
19,23.999976,tracked,baseline_unavailable,93.0,186.0,0.31044952658672686,0.2947810857736814,False,True,True,0.98,0.9833333333333333,0.0,1.0,0.8998554303030208
20,24.999975,tracked,baseline_unavailable,,187.0,0.2037784829392658,0.41026264324744505,False,True,True,0.98,0.9866666666666667,0.0,0.7079582361114348,0.7963964577339284
21,25.999973999999998,tracked,baseline_unavailable,,188.0,0.26365512761546606,0.4846460539926035,False,True,True,0.9833333333333333,0.9866666666666667,0.0,0.6569115199583004,0.7879176193311028
22,26.999972999999997,tracked,stronger_qualified_evidence,188.0,189.0,0.31752180700735966,0.48436060136833864,True,True,True,0.98,0.9833333333333333,0.0,0.7458486027835712,0.7884739503211212
23,27.999972,tracked,stronger_qualified_evidence,189.0,189.0,0.3078116193907086,0.5483080861057998,True,True,True,0.9833333333333333,0.9833333333333333,0.0,0.895706673370812,0.9842090600884242
24,28.999971,tracked,stronger_qualified_evidence,189.0,189.0,0.2989888954307933,0.5615334863160478,True,True,True,0.98,0.98,0.0,0.9563644699411017,0.9871004109537859
25,29.999969999999998,tracked,stronger_qualified_evidence,188.0,188.0,0.2772536664980118,0.5375781404653374,True,True,True,0.9733333333333334,0.99,0.0,0.9860880311530102,1.0
26,30.999969,tracked,baseline_unavailable,,187.0,0.21233945277438174,0.5284265390398774,False,True,True,0.96,0.9833333333333333,0.0,0.9933617639367823,0.9919699299999273
27,31.999968,tracked,baseline_unavailable,,185.0,0.19315540025683223,0.5477368959543373,False,True,True,0.94,0.9766666666666667,0.0,0.8564490397494849,0.9966958062331006
28,32.999967,tracked,baseline_unavailable,,184.0,0.2652034294049178,0.5639297734824024,False,True,True,0.9233333333333333,0.9666666666666667,0.0,0.8401137203909254,0.9919674498345523
