window_index,time_s,channel,roi,method,channel_status,observed_fraction,roi_quality,signal_std,candidate_rank,candidate_bpm,relative_power,peak_concentration,prominence_ratio,candidate_weight,motion_overlap,motion_weight,selected_consensus,output_accepted,waveform_weight,motion_available,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability,motion_spectral_coverage,motion_evidence_status
0,4.99995,forehead_logpos,forehead,logpos,gap_or_filter_edge,1.0,0.999998206858501,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
0,4.99995,forehead_logchrom,forehead,logchrom,gap_or_filter_edge,1.0,0.999998206858501,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
0,4.99995,left_cheek_logpos,left_cheek,logpos,gap_or_filter_edge,1.0,0.9999993250826584,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
0,4.99995,left_cheek_logchrom,left_cheek,logchrom,gap_or_filter_edge,1.0,0.9999993250826584,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
0,4.99995,right_cheek_logpos,right_cheek,logpos,gap_or_filter_edge,1.0,1.0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
0,4.99995,right_cheek_logchrom,right_cheek,logchrom,gap_or_filter_edge,1.0,1.0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
1,5.99994,forehead_logpos,forehead,logpos,gap_or_filter_edge,1.0,0.9999991087344029,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
1,5.99994,forehead_logchrom,forehead,logchrom,gap_or_filter_edge,1.0,0.9999991087344029,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
1,5.99994,left_cheek_logpos,left_cheek,logpos,gap_or_filter_edge,1.0,0.9999989838323171,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
1,5.99994,left_cheek_logchrom,left_cheek,logchrom,gap_or_filter_edge,1.0,0.9999989838323171,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
1,5.99994,right_cheek_logpos,right_cheek,logpos,gap_or_filter_edge,1.0,1.0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
1,5.99994,right_cheek_logchrom,right_cheek,logchrom,gap_or_filter_edge,1.0,1.0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed
2,6.99993,forehead_logpos,forehead,logpos,usable,1.0,1.0,0.894048608652544,1,76.0,1.0,0.6982732539507742,1.0,0.8356274612234654,0.36649181938883546,0.9083770451527912,True,True,0.42412487296663676,False,,,,,,legacy_not_assessed
2,6.99993,forehead_logchrom,forehead,logchrom,usable,1.0,1.0,0.8906162274294899,1,77.0,1.0,0.6573294114362663,1.0,0.8107585407729396,0.3403225647490011,0.9149193588127498,True,True,0.4115025882568287,False,,,,,,legacy_not_assessed
2,6.99993,left_cheek_logpos,left_cheek,logpos,usable,1.0,0.9999989838323171,0.9837877788745382,1,76.0,1.0,0.7386598621963811,1.0,0.8594523610954726,0.36649181938883546,0.9083770451527912,True,True,0.4298864168785355,False,,,,,,legacy_not_assessed
2,6.99993,left_cheek_logchrom,left_cheek,logchrom,usable,1.0,0.9999989838323171,0.972937003172206,1,76.0,1.0,0.7375589571787582,1.0,0.858811654678933,0.36649181938883546,0.9083770451527912,True,True,0.4295659442169371,False,,,,,,legacy_not_assessed
2,6.99993,right_cheek_logpos,right_cheek,logpos,usable,1.0,1.0,0.9668689743657778,1,76.0,1.0,0.7130203805302424,1.0,0.8444053413676648,0.36649181938883546,0.9083770451527912,True,True,0.43391032799501106,False,,,,,,legacy_not_assessed
2,6.99993,right_cheek_logchrom,right_cheek,logchrom,usable,1.0,1.0,0.9616506296286498,1,75.0,1.0,0.6381426042464023,1.0,0.7988382841641996,0.38038036043279927,0.9049049098918002,True,True,0.4104950133726537,False,,,,,,legacy_not_assessed
3,7.9999199999999995,forehead_logpos,forehead,logpos,usable,1.0,1.0,0.9310234228346325,1,76.0,1.0,0.6788722392114395,1.0,0.8239370359508301,0.5370560002446042,0.865735999938849,True,True,0.41679007554433684,False,,,,,,legacy_not_assessed
3,7.9999199999999995,forehead_logchrom,forehead,logchrom,usable,1.0,1.0,0.9336250526421678,1,77.0,1.0,0.6478220187276327,1.0,0.8048739148013387,0.5027330434600146,0.8743167391349964,True,True,0.4071469604064933,False,,,,,,legacy_not_assessed
3,7.9999199999999995,left_cheek_logpos,left_cheek,logpos,usable,1.0,0.9999996587496588,1.0096062336075842,1,76.0,1.0,0.7284592821687637,1.0,0.8534979701176163,0.5370560002446042,0.865735999938849,True,True,0.4279536926930445,False,,,,,,legacy_not_assessed
3,7.9999199999999995,left_cheek_logchrom,left_cheek,logchrom,usable,1.0,0.9999996587496588,1.016599637214109,1,76.0,1.0,0.7202797987571647,1.0,0.848692704791195,0.5370560002446042,0.865735999938849,True,True,0.4255442774245718,False,,,,,,legacy_not_assessed
3,7.9999199999999995,right_cheek_logpos,right_cheek,logpos,usable,1.0,1.0,1.0097877087774318,1,75.0,1.0,0.6908030079454709,1.0,0.8311455997269497,0.5580023868778013,0.8604994032805496,True,True,0.424936114740272,False,,,,,,legacy_not_assessed
3,7.9999199999999995,right_cheek_logchrom,right_cheek,logchrom,usable,1.0,1.0,1.0176032634164884,1,75.0,1.0,0.6312582315826064,1.0,0.7945176093596708,0.5580023868778013,0.8604994032805496,True,True,0.40620948498667775,False,,,,,,legacy_not_assessed
4,8.99991,forehead_logpos,forehead,logpos,usable,1.0,1.0,0.897989844682796,1,75.0,1.0,0.6414477971846863,1.0,0.8009043620712065,0.7584009878712202,0.8103997530321949,True,True,0.4093893436276492,False,,,,,,legacy_not_assessed
4,8.99991,forehead_logchrom,forehead,logchrom,usable,1.0,1.0,0.9183916270129641,1,76.0,1.0,0.5866581423914913,1.0,0.7659361216129523,0.7001908970577194,0.8249522757355702,True,True,0.39151501844355724,False,,,,,,legacy_not_assessed
4,8.99991,left_cheek_logpos,left_cheek,logpos,usable,1.0,0.9999993250826584,1.0466615195456224,1,75.0,1.0,0.7048291657820186,1.0,0.8395404781066164,0.7584009878712202,0.8103997530321949,True,True,0.4231834564920338,False,,,,,,legacy_not_assessed
4,8.99991,left_cheek_logchrom,left_cheek,logchrom,usable,1.0,0.9999993250826584,1.0334479185454326,1,75.0,1.0,0.6822731652736038,1.0,0.8259977265815764,0.7584009878712202,0.8103997530321949,True,True,0.4163570216145825,False,,,,,,legacy_not_assessed
4,8.99991,right_cheek_logpos,right_cheek,logpos,usable,1.0,1.0,0.9612928160044311,1,75.0,1.0,0.6697350962660452,1.0,0.8183734454795348,0.7584009878712202,0.8103997530321949,True,True,0.4166290208144081,False,,,,,,legacy_not_assessed
4,8.99991,right_cheek_logchrom,right_cheek,logchrom,usable,1.0,1.0,0.9968621222671032,1,75.0,1.0,0.6227356645521875,1.0,0.7891360241125654,0.7584009878712202,0.8103997530321949,True,True,0.4017444246651268,False,,,,,,legacy_not_assessed
5,9.9999,forehead_logpos,forehead,logpos,usable,1.0,1.0,0.8755245182709316,1,74.0,1.0,0.6330893753095217,1.0,0.7956691368335972,0.820438079761601,0.7948904800595997,True,True,0.4123125102122848,False,,,,,,legacy_not_assessed
5,9.9999,forehead_logchrom,forehead,logchrom,usable,1.0,1.0,0.9019489571005581,1,74.0,1.0,0.547290551292379,1.0,0.7397908834882861,0.820438079761601,0.7948904800595997,True,True,0.38335662662131237,False,,,,,,legacy_not_assessed
5,9.9999,left_cheek_logpos,left_cheek,logpos,usable,1.0,0.9999986577486577,1.1102573002929201,1,74.0,1.0,0.7171164287269819,1.0,0.8468261354181835,0.820438079761601,0.7948904800595997,True,True,0.4311292376155255,False,,,,,,legacy_not_assessed
