window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,V25_bpm,V25_accepted,error_bpm,abs_error_bpm,status,common,new,lost
0,4.999995,0.0,9.99999,89.8,True,,False,,False,,,gap_or_filter_edge,False,False,False
1,5.999994,0.999999,10.999989,89.3,True,,False,,False,,,gap_or_filter_edge,False,False,False
2,6.999993,1.999998,11.999988,88.7,True,182.0,True,182.0,True,93.3,93.3,candidate_only,True,False,False
3,7.999992,2.999997,12.999987,88.1,True,182.0,True,182.0,True,93.9,93.9,candidate_only,True,False,False
4,8.999991,3.999996,13.999986,87.5,True,182.0,True,182.0,True,94.5,94.5,candidate_only,True,False,False
5,9.99999,4.999995,14.999985,86.9,True,182.0,True,182.0,True,95.1,95.1,candidate_only,True,False,False
6,10.999989,5.999994,15.999984,86.5,True,182.0,True,182.0,True,95.5,95.5,candidate_only,True,False,False
7,11.999988,6.999993,16.999983,86.2,True,182.0,True,182.0,True,95.8,95.8,candidate_only,True,False,False
8,12.999987,7.999992,17.999982,86.2,True,182.0,True,182.0,True,95.8,95.8,candidate_only,True,False,False
9,13.999986,8.999991,18.999981,86.5,True,182.0,True,182.0,True,95.5,95.5,candidate_only,True,False,False
10,14.999985,9.99999,19.99998,86.9,True,182.0,True,97.0,True,95.1,95.1,candidate_only,True,False,False
11,15.999984,10.999989,20.999979,87.5,True,182.0,True,97.0,True,94.5,94.5,candidate_only,True,False,False
12,16.999983,11.999988,21.999978,88.3,True,182.0,True,98.0,True,93.7,93.7,candidate_only,True,False,False
13,17.999982,12.999987,22.999977,89.2,True,182.0,True,98.0,True,92.8,92.8,candidate_only,True,False,False
14,18.999981,13.999986,23.999976,90.2,True,182.0,True,98.0,True,91.8,91.8,candidate_only,True,False,False
15,19.99998,14.999985,24.999975,91.3,True,182.0,True,98.0,True,90.7,90.7,candidate_only,True,False,False
16,20.999979,15.999984,25.999974,92.5,True,182.0,True,98.0,True,89.5,89.5,candidate_only,True,False,False
17,21.999978,16.999983,26.999973,93.7,True,182.0,True,98.0,True,88.3,88.3,candidate_only,True,False,False
18,22.999977,17.999982,27.999972,94.7,True,182.0,True,99.0,True,87.3,87.3,candidate_only,True,False,False
19,23.999976,18.999981,28.999971,95.6,True,183.0,True,100.0,True,87.4,87.4,candidate_only,True,False,False
20,24.999975,19.99998,29.99997,96.4,True,183.0,True,101.0,True,86.6,86.6,candidate_only,True,False,False
21,25.999974,20.999979,30.999969,97.1,True,184.0,True,102.0,True,86.9,86.9,candidate_only,True,False,False
22,26.999973,21.999978,31.999968,97.7,True,185.0,True,102.0,True,87.3,87.3,candidate_only,True,False,False
23,27.999972,22.999977,32.999967,98.2,True,185.0,True,102.0,True,86.8,86.8,candidate_only,True,False,False
24,28.999971,23.999976,33.999966,98.6,True,186.0,True,102.0,True,87.4,87.4,candidate_only,True,False,False
