window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,4.999995,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9966666666666667,0.9966666666666667,0.0033333333333333335,0.0,0.0
1,5.999994,none,no_qualified_branch,,,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0
2,6.999993,tracked,baseline_unavailable,,79.0,0.17627020293639487,0.24536946240835192,False,True,True,1.0,1.0,0.0,0.49130954262362053,0.5233554389827162
3,7.999992,tracked,baseline_unavailable,,78.0,0.18401306970826886,0.2699565912728622,False,True,True,1.0,1.0,0.0,0.3224366983365716,0.5007888328927722
4,8.999991,tracked,baseline_unavailable,,79.0,0.20040160336746463,0.21063883867383265,False,True,True,1.0,1.0,0.0,0.730007587950506,0.36855489972899114
5,9.99999,baseline,frequency_disagreement_fallback,111.0,80.0,0.30465302514677484,0.5205653538315315,True,True,True,1.0,1.0,0.0,0.9998938844861185,0.2754453676471795
6,10.999989,none,no_qualified_branch,,,0.19954861885922573,0.22780973902899523,False,False,False,0.9966666666666667,1.0,0.0,0.6054750654391273,0.5055859366509365
7,11.999988,tracked,baseline_unavailable,,62.0,0.22512721364473703,0.26830428456783706,False,True,True,0.9966666666666667,1.0,0.0,0.9111491349848841,0.5367273274809821
8,12.999986999999999,baseline,baseline_evidence_retained,51.0,62.0,0.27350401881957875,0.31085196912000485,True,True,True,0.9966666666666667,1.0,0.0,0.9717539978877334,0.36141084312857447
9,13.999986,tracked,stronger_qualified_evidence,51.0,58.0,0.30756060214765873,0.4146285439712265,True,True,True,0.9966666666666667,1.0,0.0,0.9009958034124179,0.49897282875687415
10,14.999984999999999,baseline,baseline_evidence_retained,51.0,51.0,0.43958349531794483,0.19743249104496122,True,True,True,0.9966666666666667,1.0,0.0,0.8974238108014136,0.7122271841056952
11,15.999984,baseline,tracking_quality_fallback,51.0,,0.37535461345389426,0.25514017718245485,True,False,False,0.9966666666666667,1.0,0.0,0.9418723561256485,0.5232727017068107
