window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
0,4.999995,0.0,9.99999,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,psd_cluster,0,0,0,0,False,[],{},False,,
1,5.999994,0.999999,10.999989,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,psd_cluster,0,0,0,0,False,[],{},False,,
2,6.999993,1.999998,11.999988,True,50.5,50.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,12,3,2,2,True,"[""baseline/left_cheek_0/pos"", ""tracked/right_cheek_3/chrom""]","{""left_cheek"": 51.0, ""right_cheek"": 50.0}",True,1.0,0.14181731870087874
3,7.999992,2.999997,12.999986999999999,True,54.5,54.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,12,3,2,2,True,"[""tracked/left_cheek_1/pos"", ""tracked/right_cheek_2/pos""]","{""left_cheek"": 55.0, ""right_cheek"": 54.0}",True,1.0,0.14274479111379226
4,8.999991,3.999996,13.999986,True,75.75,75.75,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,12,3,3,2,True,"[""tracked/forehead_1/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_3/pos""]","{""forehead"": 76.5, ""left_cheek"": 75.0}",True,1.5,0.1286822030083901
5,9.99999,4.999995,14.999984999999999,True,75.5,75.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,12,3,2,2,True,"[""tracked/forehead_1/pos"", ""baseline/left_cheek_3/pos""]","{""forehead"": 76.0, ""left_cheek"": 75.0}",True,1.0,0.14002610123864498
6,10.999989,5.999994,15.999984,True,48.0,48.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,12,3,2,2,True,"[""tracked/forehead_1/chrom"", ""tracked/right_cheek_2/chrom""]","{""forehead"": 48.0, ""right_cheek"": 48.0}",True,0.0,0.11660873128743621
7,11.999988,6.999993,16.999983,True,47.5,47.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,12,3,2,2,True,"[""tracked/forehead_1/chrom"", ""tracked/right_cheek_2/chrom""]","{""forehead"": 47.0, ""right_cheek"": 48.0}",True,1.0,0.12798432518949643
8,12.999986999999999,7.999992,17.999982,True,58.5,58.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,12,3,3,2,True,"[""baseline/forehead_0/pos"", ""baseline/right_cheek_1/pos"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 58.0, ""right_cheek"": 59.0}",True,1.0,0.10236263112767542
9,13.999986,8.999991,18.999981,True,54.5,54.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,12,3,2,2,True,"[""baseline/forehead_0/pos"", ""tracked/left_cheek_1/chrom""]","{""forehead"": 57.0, ""left_cheek"": 52.0}",True,5.0,0.11162233008089052
