window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
0,4.99995,0.0,9.9999,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
1,5.99994,0.9999899999999999,10.99989,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
2,6.99993,1.9999799999999999,11.99988,True,76.0,76.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 77.0, ""left_cheek"": 75.0, ""right_cheek"": 76.0}",True,2.0,
3,7.9999199999999995,2.99997,12.99987,True,75.0,75.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 77.0, ""left_cheek"": 75.0, ""right_cheek"": 75.0}",True,2.0,
4,8.99991,3.9999599999999997,13.99986,True,75.0,75.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 76.0, ""left_cheek"": 75.0, ""right_cheek"": 75.0}",True,1.0,
5,9.9999,4.99995,14.99985,True,74.0,74.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 74.0, ""left_cheek"": 74.0, ""right_cheek"": 74.0}",True,0.0,
6,10.99989,5.99994,15.999839999999999,True,73.0,73.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 72.0, ""left_cheek"": 73.0, ""right_cheek"": 73.0}",True,1.0,
7,11.99988,6.99993,16.99983,True,72.0,72.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 72.0, ""left_cheek"": 72.0, ""right_cheek"": 73.0}",True,1.0,
8,12.99987,7.9999199999999995,17.99982,True,73.0,73.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 73.0, ""left_cheek"": 72.0, ""right_cheek"": 73.0}",True,1.0,
9,13.99986,8.99991,18.99981,True,73.0,73.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 74.0, ""left_cheek"": 73.0, ""right_cheek"": 73.0}",True,1.0,
