record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,cluster_index,patch_ids_json,regions_json,patch_count,region_count,qualified,cluster_score,selected,coefficient,polarity,medoid_channel
channel,0,baseline/forehead/chrom,forehead,forehead,baseline,chrom,nonfinite_bvp,0.9066666666666666,0.9066666570455182,0.05,0.0033333333333333335,False,,,,,,,,,,,,,,,
channel,0,baseline/forehead/pos,forehead,forehead,baseline,pos,nonfinite_bvp,0.9066666666666666,0.9066666570455182,0.05,0.0033333333333333335,False,,,,,,,,,,,,,,,
channel,0,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,nonfinite_bvp,0.9066666666666666,0.9066666567808164,0.0,0.0033333333333333335,False,,,,,,,,,,,,,,,
channel,0,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,nonfinite_bvp,0.9066666666666666,0.9066666567808164,0.0,0.0033333333333333335,False,,,,,,,,,,,,,,,
channel,0,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,nonfinite_bvp,0.9066666666666666,0.7748698809433527,0.0,0.06333333333333334,False,,,,,,,,,,,,,,,
channel,0,baseline/right_cheek/pos,right_cheek,right_cheek,baseline,pos,nonfinite_bvp,0.9066666666666666,0.7748698809433527,0.0,0.06333333333333334,False,,,,,,,,,,,,,,,
channel,0,tracked/forehead/chrom,forehead,forehead,tracked,chrom,nonfinite_bvp,0.9066666666666666,0.9066666570455182,0.05,0.0033333333333333335,False,,,,,,,,,,,,,,,
channel,0,tracked/forehead/pos,forehead,forehead,tracked,pos,nonfinite_bvp,0.9066666666666666,0.9066666570455182,0.05,0.0033333333333333335,False,,,,,,,,,,,,,,,
channel,0,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,nonfinite_bvp,0.9066666666666666,0.9066666567808164,0.0,0.0033333333333333335,False,,,,,,,,,,,,,,,
channel,0,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,nonfinite_bvp,0.9066666666666666,0.9066666567808164,0.0,0.0033333333333333335,False,,,,,,,,,,,,,,,
channel,0,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,nonfinite_bvp,0.9066666666666666,0.7748698809433527,0.0,0.06333333333333334,False,,,,,,,,,,,,,,,
channel,0,tracked/right_cheek/pos,right_cheek,right_cheek,tracked,pos,nonfinite_bvp,0.9066666666666666,0.7748698809433527,0.0,0.06333333333333334,False,,,,,,,,,,,,,,,
channel,1,baseline/forehead/chrom,forehead,forehead,baseline,chrom,nonfinite_bvp,1.0,0.9999999894155004,0.06,0.0,False,,,,,,,,,,,,,,,
channel,1,baseline/forehead/pos,forehead,forehead,baseline,pos,nonfinite_bvp,1.0,0.9999999894155004,0.06,0.0,False,,,,,,,,,,,,,,,
channel,1,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,nonfinite_bvp,1.0,0.9999999890321682,0.0,0.0,False,,,,,,,,,,,,,,,
channel,1,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,nonfinite_bvp,1.0,0.9999999890321682,0.0,0.0,False,,,,,,,,,,,,,,,
channel,1,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,nonfinite_bvp,1.0,0.8457032135325296,0.0,0.07,False,,,,,,,,,,,,,,,
channel,1,baseline/right_cheek/pos,right_cheek,right_cheek,baseline,pos,nonfinite_bvp,1.0,0.8457032135325296,0.0,0.07,False,,,,,,,,,,,,,,,
channel,1,tracked/forehead/chrom,forehead,forehead,tracked,chrom,nonfinite_bvp,1.0,0.9999999894155004,0.06,0.0,False,,,,,,,,,,,,,,,
channel,1,tracked/forehead/pos,forehead,forehead,tracked,pos,nonfinite_bvp,1.0,0.9999999894155004,0.06,0.0,False,,,,,,,,,,,,,,,
channel,1,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,nonfinite_bvp,1.0,0.9999999890321682,0.0,0.0,False,,,,,,,,,,,,,,,
channel,1,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,nonfinite_bvp,1.0,0.9999999890321682,0.0,0.0,False,,,,,,,,,,,,,,,
channel,1,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,nonfinite_bvp,1.0,0.8457032135325296,0.0,0.07,False,,,,,,,,,,,,,,,
channel,1,tracked/right_cheek/pos,right_cheek,right_cheek,tracked,pos,nonfinite_bvp,1.0,0.8457032135325296,0.0,0.07,False,,,,,,,,,,,,,,,
channel,2,baseline/forehead/chrom,forehead,forehead,baseline,chrom,nonfinite_bvp,1.0,0.9999999891620799,0.03333333333333333,0.0,False,,,,,,,,,,,,,,,
channel,2,baseline/forehead/pos,forehead,forehead,baseline,pos,nonfinite_bvp,1.0,0.9999999891620799,0.03333333333333333,0.0,False,,,,,,,,,,,,,,,
channel,2,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,nonfinite_bvp,1.0,0.999999989056754,0.0,0.0,False,,,,,,,,,,,,,,,
channel,2,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,nonfinite_bvp,1.0,0.999999989056754,0.0,0.0,False,,,,,,,,,,,,,,,
channel,2,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,nonfinite_bvp,1.0,0.8311420239793641,0.0,0.08333333333333333,False,,,,,,,,,,,,,,,
channel,2,baseline/right_cheek/pos,right_cheek,right_cheek,baseline,pos,nonfinite_bvp,1.0,0.8311420239793641,0.0,0.08333333333333333,False,,,,,,,,,,,,,,,
channel,2,tracked/forehead/chrom,forehead,forehead,tracked,chrom,nonfinite_bvp,1.0,0.9999999891620799,0.03333333333333333,0.0,False,,,,,,,,,,,,,,,
channel,2,tracked/forehead/pos,forehead,forehead,tracked,pos,nonfinite_bvp,1.0,0.9999999891620799,0.03333333333333333,0.0,False,,,,,,,,,,,,,,,
channel,2,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,nonfinite_bvp,1.0,0.999999989056754,0.0,0.0,False,,,,,,,,,,,,,,,
channel,2,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,nonfinite_bvp,1.0,0.999999989056754,0.0,0.0,False,,,,,,,,,,,,,,,
channel,2,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,nonfinite_bvp,1.0,0.8311420239793641,0.0,0.08333333333333333,False,,,,,,,,,,,,,,,
channel,2,tracked/right_cheek/pos,right_cheek,right_cheek,tracked,pos,nonfinite_bvp,1.0,0.8311420239793641,0.0,0.08333333333333333,False,,,,,,,,,,,,,,,
channel,3,baseline/forehead/chrom,forehead,forehead,baseline,chrom,eligible,1.0,0.9999999890797789,0.02666666666666667,0.0,False,185.0,0.5111895209152164,10.235772077473968,0.27587412884110946,,,,,,,,,,,
channel,3,baseline/forehead/pos,forehead,forehead,baseline,pos,eligible,1.0,0.9999999890797789,0.02666666666666667,0.0,True,185.0,0.6514701422784377,9.48801762187091,0.36381400299040656,,,,,,,,,,,
channel,3,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,eligible,1.0,0.9999999891712753,0.0,0.0,False,186.0,0.3212030316478834,10.072488358657381,0.17462627308455664,,,,,,,,,,,
channel,3,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,eligible,1.0,0.9999999891712753,0.0,0.0,True,186.0,0.41482056763362185,9.587876089242428,0.23058529662786048,,,,,,,,,,,
channel,3,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,eligible,1.0,0.8157269072343469,0.0,0.09333333333333334,False,49.0,0.22948326857449475,37.444292729854666,0.05569498663758177,,,,,,,,,,,
