variant,case,Nplanned,Nref,Noutput,Nvalid,Nwithin5,MAE_bpm,RMSE_bpm,Bias_bpm,P5_valid_pct,R5_all_reference_pct,HR_coverage_pct,common_primary_secondary_windows,primary_secondary_mean_abs_difference_bpm
early_median,data1,42,42,38,38,0,11.786842105263156,12.099206150557327,-11.786842105263156,0.0,0.0,90.47619047619048,38,31.789473684210527
early_median,data2,37,37,33,33,30,3.3121212121212107,4.572480263224298,1.251515151515151,90.9090909090909,81.08108108108108,89.1891891891892,33,16.21212121212121
early_median,data3,65,65,61,61,0,43.85409836065573,45.64667405692354,-43.85409836065573,0.0,0.0,93.84615384615384,61,16.737704918032787
early_median,data4,50,50,46,46,45,2.556521739130435,2.891742366298125,-0.09130434782608701,97.82608695652173,90.0,92.0,46,0.8260869565217391
early_median,data5,53,53,49,49,11,47.37959183673469,62.37428826635775,42.171428571428564,22.448979591836736,20.754716981132077,92.45283018867924,49,39.224489795918366
early_median,data6,62,62,38,38,0,22.684210526315784,24.445955429111486,-19.310526315789474,0.0,0.0,61.29032258064516,38,79.23684210526316
early_psd_cluster,data1,42,42,23,23,0,24.686956521739127,32.84957811918892,-18.278260869565216,0.0,0.0,54.761904761904766,17,47.0
early_psd_cluster,data2,37,37,29,29,25,4.344827586206895,6.363419163333171,2.241379310344827,86.20689655172414,67.56756756756756,78.37837837837837,13,5.269230769230769
early_psd_cluster,data3,65,65,53,53,6,30.892452830188674,37.47684316461174,-30.892452830188674,11.320754716981131,9.23076923076923,81.53846153846153,21,16.214285714285715
early_psd_cluster,data4,50,50,46,46,45,2.556521739130435,2.891742366298125,-0.09130434782608701,97.82608695652173,90.0,92.0,46,0.8260869565217391
early_psd_cluster,data5,53,53,49,49,2,73.57959183673469,78.75524472331078,73.57959183673469,4.081632653061225,3.7735849056603774,92.45283018867924,48,18.1875
early_psd_cluster,data6,62,62,33,33,0,37.47878787878788,45.658481903113795,8.509090909090908,0.0,0.0,53.2258064516129,29,74.5
late_median,data1,42,42,38,38,0,24.071052631578947,35.21410079409727,6.976315789473682,0.0,0.0,90.47619047619048,38,32.19736842105263
late_median,data2,37,37,33,33,0,24.506060606060608,25.04235805529697,-24.506060606060608,0.0,0.0,89.1891891891892,33,17.12121212121212
late_median,data3,65,65,61,61,0,43.2672131147541,44.22934824188165,-40.001639344262294,0.0,0.0,93.84615384615384,61,19.87704918032787
late_median,data4,50,50,46,46,45,2.491304347826087,2.812472222085047,-0.15652173913043485,97.82608695652173,90.0,92.0,46,0.9347826086956522
late_median,data5,53,53,49,49,8,65.89387755102041,75.02908823671426,65.00816326530611,16.3265306122449,15.09433962264151,92.45283018867924,49,16.428571428571427
late_median,data6,62,62,38,38,0,24.73157894736842,28.310394222840337,-24.73157894736842,0.0,0.0,61.29032258064516,38,81.03947368421052
late_psd_cluster,data1,42,42,38,38,0,44.939473684210526,56.3903803853104,33.84473684210526,0.0,0.0,90.47619047619048,36,41.11805555555556
late_psd_cluster,data2,37,37,33,33,0,21.051515151515154,21.817806183635117,-21.051515151515154,0.0,0.0,89.1891891891892,32,10.59375
late_psd_cluster,data3,65,65,61,61,0,38.64098360655738,42.14104926063049,-38.64098360655738,0.0,0.0,93.84615384615384,58,12.012931034482758
late_psd_cluster,data4,50,50,46,46,45,2.491304347826087,2.812472222085047,-0.15652173913043485,97.82608695652173,90.0,92.0,46,0.8641304347826086
late_psd_cluster,data5,53,53,49,49,5,77.13061224489795,81.16868804143225,77.13061224489795,10.204081632653061,9.433962264150944,92.45283018867924,49,9.423469387755102
late_psd_cluster,data6,62,62,37,37,0,44.670270270270265,51.95637983352386,22.043243243243246,0.0,0.0,59.67741935483871,37,51.0
fusion_nomotion_local,data1,42,42,38,38,0,44.939473684210526,56.3903803853104,33.84473684210526,0.0,0.0,90.47619047619048,38,26.710526315789473
fusion_nomotion_local,data2,37,37,33,33,0,21.051515151515154,21.817806183635117,-21.051515151515154,0.0,0.0,89.1891891891892,33,0.5757575757575758
fusion_nomotion_local,data3,65,65,61,61,0,38.64098360655738,42.14104926063049,-38.64098360655738,0.0,0.0,93.84615384615384,61,4.770491803278689
fusion_nomotion_local,data4,50,50,46,46,45,2.491304347826087,2.812472222085047,-0.15652173913043485,97.82608695652173,90.0,92.0,46,0.8913043478260869
fusion_nomotion_local,data5,53,53,49,49,5,77.13061224489795,81.16868804143225,77.13061224489795,10.204081632653061,9.433962264150944,92.45283018867924,49,7.489795918367347
fusion_nomotion_local,data6,62,62,37,37,0,44.670270270270265,51.95637983352386,22.043243243243246,0.0,0.0,59.67741935483871,37,38.08108108108108
fusion_motion_local,data1,42,42,38,38,0,44.939473684210526,56.3903803853104,33.84473684210526,0.0,0.0,90.47619047619048,38,4.052631578947368
