variant,scope,common_windows,new_windows,lost_windows,common_A_MAE_bpm,common_B_MAE_bpm,common_delta_MAE_bpm,common_A_RMSE_bpm,common_B_RMSE_bpm,common_A_within5,common_B_within5,common_correct_to_wrong,common_wrong_to_correct,new_B_MAE_bpm,lost_A_MAE_bpm,new_B_within5,lost_A_within5
early_median,pooled,260,5,0,25.202307692307695,38.746153846153845,13.54384615384615,37.98560253569766,51.275971280603066,93,66,34,7,48.74,,0,0
early_median,data1,37,1,0,13.097297297297297,27.502702702702706,14.405405405405409,13.722106843200729,42.17555331346937,0,6,0,6,83.7,,0,0
early_median,data2,33,0,0,3.0151515151515142,17.766666666666666,14.751515151515152,3.8112671876631223,26.038753170354887,29,13,16,0,,,0,0
early_median,data3,59,2,0,32.87118644067797,31.976271186440677,-0.89491525423729,39.71790784255675,35.298057756141944,11,3,8,0,34.95,,0,0
early_median,data4,46,0,0,2.556521739130435,2.943478260869565,0.38695652173912976,2.891742366298125,3.4238930296171444,45,41,4,0,,,0,0
early_median,data5,49,0,0,60.72244897959183,80.81224489795918,20.089795918367344,70.9219231526717,83.49215287580465,8,3,6,1,,,0,0
early_median,data6,36,2,0,26.002777777777776,69.11944444444444,43.11666666666666,27.781553632261502,70.66798937441352,0,0,0,0,45.05,,0,0
early_psd_cluster,pooled,172,2,88,28.096511627906978,44.43488372093023,16.338372093023253,42.513007585367184,57.92458509251089,67,54,13,0,72.44999999999999,19.545454545454547,0,26
early_psd_cluster,data1,16,1,21,10.218750000000002,44.6125,34.39375,10.665452404844345,57.48650928696228,0,0,0,0,84.2,15.290476190476191,0,0
early_psd_cluster,data2,13,0,20,2.715384615384614,7.230769230769231,4.515384615384617,3.6804054960540156,13.397301680103062,12,10,2,0,,3.2099999999999995,0,17
early_psd_cluster,data3,21,0,38,41.25238095238095,33.32380952380953,-7.9285714285714235,45.82413067785304,38.26668325866572,3,2,1,0,,28.23947368421053,0,8
early_psd_cluster,data4,46,0,0,2.556521739130435,2.943478260869565,0.38695652173912976,2.891742366298125,3.4238930296171444,45,41,4,0,,,0,0
early_psd_cluster,data5,48,0,1,61.897916666666674,82.02291666666666,20.124999999999986,71.65419707409562,83.87693738448013,7,1,6,0,,4.299999999999997,0,1
early_psd_cluster,data6,28,1,8,24.24285714285714,73.66785714285713,49.42499999999999,25.31233465554463,73.89883287305693,0,0,0,0,60.69999999999999,32.162499999999994,0,0
late_median,pooled,260,5,0,25.202307692307695,36.03846153846154,10.836153846153845,37.98560253569766,48.52803155037144,93,59,42,8,28.479999999999997,,0,0
late_median,data1,37,1,0,13.097297297297297,33.75405405405405,20.656756756756756,13.722106843200729,45.08292959137128,0,4,0,4,38.7,,0,0
late_median,data2,33,0,0,3.0151515151515142,10.093939393939394,7.07878787878788,3.8112671876631223,12.233647093656137,29,10,21,2,,,0,0
late_median,data3,59,2,0,32.87118644067797,26.961016949152544,-5.910169491525423,39.71790784255675,30.171338402811188,11,2,11,2,35.95,,0,0
late_median,data4,46,0,0,2.556521739130435,2.882608695652173,0.3260869565217379,2.891742366298125,3.3491076033968263,45,42,3,0,,,0,0
late_median,data5,49,0,0,60.72244897959183,80.75102040816327,20.02857142857144,70.9219231526717,82.92035027540537,8,1,7,0,,,0,0
late_median,data6,36,2,0,26.002777777777776,58.55277777777777,32.55,27.781553632261502,62.5864357863942,0,0,0,0,15.899999999999991,,0,0
late_psd_cluster,pooled,254,4,6,25.552755905511813,47.859842519685046,22.307086614173233,38.392248233327635,58.057704969273566,92,48,46,2,55.075,10.366666666666665,0,1
late_psd_cluster,data1,35,1,2,13.120000000000001,66.71571428571428,53.59571428571428,13.777476443197324,71.65594332841982,0,0,0,0,83.7,12.699999999999996,0,0
late_psd_cluster,data2,32,0,1,2.8093749999999993,21.63125,18.821875000000002,3.478460507178426,23.638349403035736,29,3,26,0,,9.599999999999994,0,0
late_psd_cluster,data3,56,2,3,34.14642857142857,38.00803571428571,3.861607142857139,40.69050433279419,41.34365936444012,10,1,10,1,38.2,9.066666666666668,0,1
late_psd_cluster,data4,46,0,0,2.556521739130435,2.775,0.2184782608695648,2.891742366298125,3.2119765687596273,45,44,2,1,,,0,0
late_psd_cluster,data5,49,0,0,60.72244897959183,86.46224489795918,25.73979591836735,70.9219231526717,86.66089230501865,8,0,8,0,,,0,0
late_psd_cluster,data6,36,1,0,26.002777777777776,73.23333333333332,47.23055555555554,27.781553632261502,73.48008139020473,0,0,0,0,60.19999999999999,,0,0
fusion_nomotion_local,pooled,260,4,0,25.202307692307695,46.97923076923077,21.776923076923072,37.98560253569766,56.999735491963875,93,45,49,1,59.075,,0,0
fusion_nomotion_local,data1,37,1,0,13.097297297297297,65.90270270270271,52.805405405405416,13.722106843200729,71.27782718804389,0,0,0,0,83.7,,0,0
fusion_nomotion_local,data2,33,0,0,3.0151515151515142,21.142424242424244,18.12727272727273,3.8112671876631223,21.98866788033134,29,0,29,0,,,0,0
fusion_nomotion_local,data3,59,2,0,32.87118644067797,40.545762711864406,7.674576271186439,39.71790784255675,43.257138139271305,11,0,11,0,45.95,,0,0
fusion_nomotion_local,data4,46,0,0,2.556521739130435,3.295652173913044,0.7391304347826089,2.891742366298125,3.5023594531587467,45,44,1,0,,,0,0
fusion_nomotion_local,data5,49,0,0,60.72244897959183,84.6204081632653,23.897959183673464,70.9219231526717,85.61053721144759,8,1,8,1,,,0,0
fusion_nomotion_local,data6,36,1,0,26.002777777777776,66.34166666666664,40.33888888888886,27.781553632261502,68.860593875517,0,0,0,0,60.69999999999999,,0,0
