window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,V25_bpm,V25_accepted,error_bpm,abs_error_bpm,status,common,new,lost,fusion_readout_bpm,fusion_readout_accepted
0,4.999995,0.0,9.99999,76.5,True,,False,,False,,,insufficient_regions,False,False,False,,False
1,5.999994,0.999999,10.999989,77.1,True,,False,,False,,,insufficient_regions,False,False,False,,False
2,6.999993,1.999998,11.999988,77.8,True,64.5,True,75.0,True,-13.299999999999997,13.299999999999997,accepted,True,False,False,61.0,True
3,7.999992,2.999997,12.999987,78.4,True,67.5,True,76.0,True,-10.900000000000006,10.900000000000006,accepted,True,False,False,62.0,True
4,8.999991,3.999996,13.999986,79.0,True,69.0,True,77.0,True,-10.0,10.0,accepted,True,False,False,64.0,True
5,9.99999,4.999995,14.999985,79.5,True,71.5,True,77.0,True,-8.0,8.0,accepted,True,False,False,65.0,True
6,10.999989,5.999994,15.999984,79.8,True,60.0,True,77.0,True,-19.799999999999997,19.799999999999997,accepted,True,False,False,60.0,True
7,11.999988,6.999993,16.999983,80.1,True,70.5,True,76.0,True,-9.599999999999994,9.599999999999994,accepted,True,False,False,56.0,True
8,12.999987,7.999992,17.999982,80.2,True,59.0,True,76.0,True,-21.200000000000003,21.200000000000003,accepted,True,False,False,56.0,True
9,13.999986,8.999991,18.999981,80.1,True,78.5,True,76.0,True,-1.5999999999999943,1.5999999999999943,accepted,True,False,False,56.0,True
10,14.999985,9.99999,19.99998,79.9,True,77.5,True,77.0,True,-2.4000000000000057,2.4000000000000057,accepted,True,False,False,56.0,True
11,15.999984,10.999989,20.999979,79.6,True,57.0,True,78.0,True,-22.599999999999994,22.599999999999994,accepted,True,False,False,56.0,True
12,16.999983,11.999988,21.999978,79.2,True,62.0,True,79.0,True,-17.200000000000003,17.200000000000003,accepted,True,False,False,55.0,True
13,17.999982,12.999987,22.999977,78.8,True,61.0,True,80.0,True,-17.799999999999997,17.799999999999997,accepted,True,False,False,55.0,True
14,18.999981,13.999986,23.999976,78.4,True,73.0,True,80.0,True,-5.400000000000006,5.400000000000006,accepted,True,False,False,55.0,True
15,19.99998,14.999985,24.999975,78.0,True,80.5,True,80.0,True,2.5,2.5,accepted,True,False,False,55.0,True
16,20.999979,15.999984,25.999974,77.7,True,104.0,True,79.0,True,26.299999999999997,26.299999999999997,accepted,True,False,False,56.0,True
17,21.999978,16.999983,26.999973,77.5,True,73.5,True,78.0,True,-4.0,4.0,accepted,True,False,False,57.0,True
18,22.999977,17.999982,27.999972,77.4,True,75.5,True,78.0,True,-1.9000000000000057,1.9000000000000057,accepted,True,False,False,57.0,True
19,23.999976,18.999981,28.999971,77.5,True,70.5,True,78.0,True,-7.0,7.0,accepted,True,False,False,57.0,True
20,24.999975,19.99998,29.99997,77.5,True,70.5,True,79.0,True,-7.0,7.0,accepted,True,False,False,56.0,True
21,25.999974,20.999979,30.999969,77.6,True,77.0,True,80.0,True,-0.5999999999999943,0.5999999999999943,accepted,True,False,False,55.0,True
22,26.999973,21.999978,31.999968,77.7,True,77.0,True,81.0,True,-0.7000000000000028,0.7000000000000028,accepted,True,False,False,54.0,True
23,27.999972,22.999977,32.999967,77.9,True,68.5,True,81.0,True,-9.400000000000006,9.400000000000006,accepted,True,False,False,53.0,True
24,28.999971,23.999976,33.999966,78.1,True,68.0,True,81.0,True,-10.099999999999994,10.099999999999994,accepted,True,False,False,52.0,True
25,29.99997,24.999975,34.999965,78.4,True,59.5,True,81.0,True,-18.900000000000006,18.900000000000006,accepted,True,False,False,51.0,True
26,30.999969,25.999974,35.999964,78.7,True,67.0,True,81.0,True,-11.700000000000003,11.700000000000003,accepted,True,False,False,50.0,True
27,31.999968,26.999973,36.999963,79.0,True,68.0,True,81.0,True,-11.0,11.0,accepted,True,False,False,49.0,True
28,32.999967,27.999972,37.999962,79.3,True,75.0,True,81.0,True,-4.299999999999997,4.299999999999997,accepted,True,False,False,49.0,True
29,33.999966,28.999971,38.999961,79.5,True,68.5,True,82.0,True,-11.0,11.0,accepted,True,False,False,49.0,True
30,34.999965,29.99997,39.99996,79.8,True,59.5,True,84.0,True,-20.299999999999997,20.299999999999997,accepted,True,False,False,49.0,True
31,35.999964,30.999969,40.999959,80.0,True,74.0,True,86.0,True,-6.0,6.0,accepted,True,False,False,48.0,True
32,36.999963,31.999968,41.999958,80.2,True,84.5,True,88.0,True,4.299999999999997,4.299999999999997,accepted,True,False,False,47.0,True
33,37.999962,32.999967,42.999957,80.4,True,92.0,True,90.0,True,11.599999999999994,11.599999999999994,accepted,True,False,False,47.0,True
34,38.999961,33.999966,43.999956,80.7,True,76.0,True,91.0,True,-4.700000000000003,4.700000000000003,accepted,True,False,False,47.0,True
35,39.99996,34.999965,44.999955,81.0,True,,False,,False,,,insufficient_regions,False,False,False,,False
36,40.999959,35.999964,45.999954,81.2,True,,False,,False,,,insufficient_regions,False,False,False,,False
