window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
0,4.999995,0.0,9.99999,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
1,5.999994,0.999999,10.999989,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
2,6.999993,1.999998,11.999988,True,64.5,64.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""baseline/forehead_1/chrom"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/pos"", ""tracked/left_cheek_3/chrom"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/pos"", ""tracked/right_cheek_2/pos"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 64.5, ""left_cheek"": 56.5, ""right_cheek"": 85.5}",False,29.0,
3,7.999992,2.999997,12.999986999999999,True,67.5,67.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""baseline/forehead_1/chrom"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/chrom"", ""tracked/left_cheek_3/chrom"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/pos"", ""tracked/right_cheek_2/pos"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 67.5, ""left_cheek"": 58.0, ""right_cheek"": 84.5}",False,26.5,
4,8.999991,3.999996,13.999986,True,69.0,69.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/pos"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""tracked/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""tracked/right_cheek_2/pos"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 69.5, ""left_cheek"": 69.0, ""right_cheek"": 58.5}",True,11.0,
5,9.99999,4.999995,14.999984999999999,True,71.5,71.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/pos"", ""tracked/forehead_2/chrom"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""tracked/right_cheek_0/chrom"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 71.5, ""left_cheek"": 69.0, ""right_cheek"": 78.5}",False,9.5,
6,10.999989,5.999994,15.999984,True,60.0,60.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/chrom"", ""tracked/forehead_2/chrom"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""baseline/left_cheek_1/pos"", ""tracked/left_cheek_2/chrom"", ""baseline/left_cheek_3/pos"", ""tracked/right_cheek_0/chrom"", ""baseline/right_cheek_1/chrom"", ""tracked/right_cheek_2/chrom"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 60.0, ""left_cheek"": 79.5, ""right_cheek"": 56.0}",True,23.5,
7,11.999988,6.999993,16.999983,True,70.5,70.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/chrom"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/chrom"", ""tracked/left_cheek_2/chrom"", ""tracked/left_cheek_3/chrom"", ""tracked/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""tracked/right_cheek_2/chrom"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 61.5, ""left_cheek"": 76.5, ""right_cheek"": 70.5}",True,15.0,
8,12.999986999999999,7.999992,17.999982,True,59.0,59.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""tracked/forehead_1/chrom"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/chrom"", ""baseline/left_cheek_2/pos"", ""tracked/left_cheek_3/chrom"", ""tracked/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""tracked/right_cheek_2/chrom"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 54.0, ""left_cheek"": 88.5, ""right_cheek"": 59.0}",True,34.5,
9,13.999986,8.999991,18.999981,True,78.5,78.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""tracked/forehead_1/chrom"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/chrom"", ""tracked/left_cheek_2/chrom"", ""tracked/left_cheek_3/chrom"", ""tracked/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/pos"", ""tracked/right_cheek_3/chrom""]","{""forehead"": 53.0, ""left_cheek"": 89.0, ""right_cheek"": 78.5}",False,36.0,
