time_s,observed_fraction,interpolated_fraction,spectral_peak_bpm,peak_concentration,accepted,status,ridge_bpm,legacy_ridge_bpm,evidence_local_bpm,evidence_score,evidence_runner_up_margin,evidence_selected_relative_power,evidence_selected_peak_bpm,evidence_selected_periodic_support,evidence_selected_motion_overlap,evidence_candidate_count,evidence_candidates_json,evidence_reacquired,evidence_tracker_state,evidence_motion_available,raw_spectral_peak_bpm,window_start_s,window_end_s,hr_source
4.999995,0.8,0.0,,,False,gap_or_filter_edge,,,,,,,,,,0,[],False,unavailable,False,,0.0,9.99999,saved_fused_wave_motion_dp
5.999994,0.9,0.0,,,False,gap_or_filter_edge,,,,,,,,,,0,[],False,unavailable,False,,0.999999,10.999989,saved_fused_wave_motion_dp
6.999993,1.0,0.0,182.0,0.6748180254985449,True,candidate_only,92.0,181.0,93.0,0.6272509551929207,0.8531679211528648,0.19619004550201008,93.0,0.868498155768105,0.06907946016781148,2,"[{""bpm"":93.0,""relative_power"":0.20303215090940296,""peak_concentration"":0.14378275920947678,""prominence"":0.20294475562000075,""period_correlation"":0.8690595190211615,""split_period_correlation"":0.8668140660089355,""periodic_support"":0.868498155768105,""harmonic2_relative_power"":0.5721222685658265,""harmonic3_relative_power"":8.79696486945069e-06,""harmonic_support"":0.3412891358236859,""motion_profile"":0.06907946016781148,""motion_strength"":0.9850130591848902,""motion_reliability"":0.7333333333333333,""motion_overlap"":0.06907946016781148,""motion_available"":true,""evidence_score"":0.6522509551929208,""supported_bpm"":[90.0,91.0,92.0,93.0,94.0,95.0,96.0],""supported_relative_power"":[0.15445169346804277,0.17925657103461828,0.19619004550201008,0.20303215090940296,0.19910467271990034,0.1848749639793902,0.1634652212615903]},{""bpm"":182.0,""relative_power"":1.0,""peak_concentration"":0.6748180254985449,""prominence"":1.0,""period_correlation"":0.6337760012045981,""split_period_correlation"":0.6291510812654393,""periodic_support"":0.6326197712198084,""harmonic2_relative_power"":2.516120603214462e-06,""harmonic3_relative_power"":1.7570575679322524e-11,""harmonic_support"":0.0015876955253504433,""motion_profile"":0.718709127861667,""motion_strength"":0.9850130591848902,""motion_reliability"":0.7333333333333333,""motion_overlap"":0.718709127861667,""motion_available"":true,""evidence_score"":-0.20091696595994402,""supported_bpm"":[179.0,180.0,181.0,182.0,183.0,184.0,185.0],""supported_relative_power"":[0.774696539245849,0.893133155165941,0.9744011347106534,1.0,0.9626944270905545,0.8690416710051252,0.7322505744334288]}]",False,acquired,True,182.0,1.999998,11.999988,saved_fused_wave_motion_dp
7.999992,1.0,0.0,181.0,0.7240794840092288,True,candidate_only,92.0,181.0,92.0,0.6877548376307145,0.5823604955229743,0.1765603370667942,92.0,0.9027929517307272,0.04622275295344316,2,"[{""bpm"":92.0,""relative_power"":0.1765603370667942,""peak_concentration"":0.13204638351313328,""prominence"":0.1764625965382757,""period_correlation"":0.8975064227945522,""split_period_correlation"":0.9186525385392519,""periodic_support"":0.9027929517307272,""harmonic2_relative_power"":0.7283651895182703,""harmonic3_relative_power"":2.8452026522381376e-05,""harmonic_support"":0.3593934447038707,""motion_profile"":0.04622275295344316,""motion_strength"":0.9850030188111968,""motion_reliability"":0.52,""motion_overlap"":0.04622275295344316,""motion_available"":true,""evidence_score"":0.6877548376307145,""supported_bpm"":[89.0,90.0,91.0,92.0,93.0,94.0,95.0],""supported_relative_power"":[0.13343534624449752,0.15533973994903041,0.1705457789239517,0.1765603370667942,0.17216927800116108,0.15777477207178744,0.1350542758058185]},{""bpm"":181.0,""relative_power"":1.0,""peak_concentration"":0.7240794840092288,""prominence"":1.0,""period_correlation"":0.6784204934545097,""split_period_correlation"":0.6705636971706169,""periodic_support"":0.6764562943835365,""harmonic2_relative_power"":2.3785395056155463e-06,""harmonic3_relative_power"":3.700367677581026e-11,""harmonic_support"":0.0015443805131278988,""motion_profile"":0.5122015697818223,""motion_strength"":0.9850030188111968,""motion_reliability"":0.52,""motion_overlap"":0.5122015697818223,""motion_available"":true,""evidence_score"":0.10539434210774024,""supported_bpm"":[178.0,179.0,180.0,181.0,182.0,183.0,184.0],""supported_relative_power"":[0.749021519318694,0.8760973134058538,0.9652981340346778,1.0,0.9673441952769365,0.8709758617130766,0.7283651895182703]}]",False,tracked,True,181.0,2.999997,12.999986999999999,saved_fused_wave_motion_dp
8.999991,1.0,0.0,181.0,0.7562672255880348,True,candidate_only,91.0,181.0,91.0,0.6327013092307632,0.623441520768878,0.1483280798099706,91.0,0.9032513736983957,0.05558488714866742,2,"[{""bpm"":91.0,""relative_power"":0.1483280798099706,""peak_concentration"":0.11697777565582129,""prominence"":0.14761263644812236,""period_correlation"":0.9029360089063913,""split_period_correlation"":0.904197468074409,""periodic_support"":0.9032513736983957,""harmonic2_relative_power"":0.952350630596897,""harmonic3_relative_power"":2.5059618901549467e-05,""harmonic_support"":0.3765209531912853,""motion_profile"":0.05558488714866742,""motion_strength"":0.9848210445708543,""motion_reliability"":0.62,""motion_overlap"":0.05558488714866742,""motion_available"":true,""evidence_score"":0.6327013092307632,""supported_bpm"":[88.0,89.0,90.0,91.0,92.0,93.0,94.0],""supported_relative_power"":[0.11011254557068054,0.12862187576515355,0.1420621814975153,0.1483280798099706,0.1461448172532917,0.13539859878027252,0.11724843027953841]},{""bpm"":181.0,""relative_power"":1.0,""peak_concentration"":0.7562672255880348,""prominence"":1.0,""period_correlation"":0.6933782388378247,""split_period_correlation"":0.6894182310872423,""periodic_support"":0.692388236900179,""harmonic2_relative_power"":1.8351904280828985e-06,""harmonic3_relative_power"":3.4493756617250715e-11,""harmonic_support"":0.0013567476033770852,""motion_profile"":0.6029792157853512,""motion_strength"":0.9848210445708543,""motion_reliability"":0.62,""motion_overlap"":0.6029792157853512,""motion_available"":true,""evidence_score"":0.009259788461885132,""supported_bpm"":[178.0,179.0,180.0,181.0,182.0,183.0,184.0],""supported_relative_power"":[0.7715598418577335,0.896807149512529,0.9781319146734758,1.0,0.952350630596897,0.8429905135878939,0.6926834876560808]}]",False,tracked,True,181.0,3.999996,13.999986,saved_fused_wave_motion_dp
9.99999,1.0,0.0,181.0,0.7849142637055304,True,candidate_only,91.0,181.0,91.0,0.4772668024219485,0.5341156458526246,0.1099188207550292,91.0,0.9101567813156006,0.06356635955966092,2,"[{""bpm"":91.0,""relative_power"":0.1099188207550292,""peak_concentration"":0.09496242346796803,""prominence"":0.10923043281739253,""period_correlation"":0.9109324117203396,""split_period_correlation"":0.9078298901013836,""periodic_support"":0.9101567813156006,""harmonic2_relative_power"":0.9780832551715174,""harmonic3_relative_power"":1.6412290787200466e-05,""harmonic_support"":0.32835690499624626,""motion_profile"":0.06356635955966092,""motion_strength"":0.98440376579126,""motion_reliability"":0.72,""motion_overlap"":0.06356635955966092,""motion_available"":true,""evidence_score"":0.4772668024219485,""supported_bpm"":[88.0,89.0,90.0,91.0,92.0,93.0,94.0],""supported_relative_power"":[0.09294368737614729,0.10335351883202822,0.10925337307126345,0.1099188207550292,0.10525197799503938,0.09579020109209718,0.08261213845144842]},{""bpm"":181.0,""relative_power"":1.0,""peak_concentration"":0.7849142637055304,""prominence"":1.0,""period_correlation"":0.7281669523576323,""split_period_correlation"":0.7387726073150414,""periodic_support"":0.7308183660969846,""harmonic2_relative_power"":1.2307726273249422e-06,""harmonic3_relative_power"":2.1444454171300838e-11,""harmonic_support"":0.0011110227087560577,""motion_profile"":0.6894880550768921,""motion_strength"":0.98440376579126,""motion_reliability"":0.72,""motion_overlap"":0.6894880550768921,""motion_available"":true,""evidence_score"":-0.05684884343067609,""supported_bpm"":[178.0,179.0,180.0,181.0,182.0,183.0,184.0],""supported_relative_power"":[0.7044076558905418,0.8474292026091862,0.9520117711131084,1.0,0.9780832551715174,0.8906476051343322,0.7560500334796092]}]",False,tracked,True,181.0,4.999995,14.999984999999999,saved_fused_wave_motion_dp
10.999989,1.0,0.0,182.0,0.8147738009390412,True,candidate_only,91.0,182.0,91.0,0.23561505239979874,0.40617353546594004,0.0680303812690407,91.0,0.9120664152492435,0.07055059939500695,2,"[{""bpm"":91.0,""relative_power"":0.0680303812690407,""peak_concentration"":0.06643453519435415,""prominence"":0.06798121201426473,""period_correlation"":0.9125047450294583,""split_period_correlation"":0.9107514259085989,""periodic_support"":0.9120664152492435,""harmonic2_relative_power"":1.0,""harmonic3_relative_power"":2.262389026738915e-05,""harmonic_support"":0.26126055644490387,""motion_profile"":0.07055059939500695,""motion_strength"":0.9841555540359195,""motion_reliability"":0.82,""motion_overlap"":0.07055059939500695,""motion_available"":true,""evidence_score"":0.23561505239979874,""supported_bpm"":[88.0,89.0,90.0,91.0,92.0,93.0,94.0],""supported_relative_power"":[0.060305104299376994,0.0651100430659196,0.0677918946861353,0.0680303812690407,0.06575248648391174,0.06117317057548225,0.05477648656259485]},{""bpm"":182.0,""relative_power"":1.0,""peak_concentration"":0.8147738009390412,""prominence"":1.0,""period_correlation"":0.7594056462360833,""split_period_correlation"":0.7631084194599513,""periodic_support"":0.7603313395420503,""harmonic2_relative_power"":9.302042841447148e-07,""harmonic3_relative_power"":6.368462955060701e-12,""harmonic_support"":0.0009653542401597276,""motion_profile"":0.8063106486420453,""motion_strength"":0.9841555540359195,""motion_reliability"":0.82,""motion_overlap"":0.8063106486420453,""motion_available"":true,""evidence_score"":-0.1705584830661413,""supported_bpm"":[179.0,180.0,181.0,182.0,183.0,184.0,185.0],""supported_relative_power"":[0.7425116957402973,0.8806177668215467,0.9732022057822828,1.0,0.956405909889111,0.8539139157581767,0.7102038539479487]}]",False,tracked,True,182.0,5.999994,15.999984,saved_fused_wave_motion_dp
11.999988,1.0,0.0,183.0,0.8405026512845404,True,candidate_only,183.0,183.0,183.0,-0.25843219569398446,,1.0,183.0,0.7931256047460612,0.9054321991196206,1,"[{""bpm"":183.0,""relative_power"":1.0,""peak_concentration"":0.8405026512845404,""prominence"":1.0,""period_correlation"":0.7916261397951184,""split_period_correlation"":0.7976239995988896,""periodic_support"":0.7931256047460612,""harmonic2_relative_power"":8.435694414307416e-07,""harmonic3_relative_power"":1.6637546996046674e-11,""harmonic_support"":0.0009198879848738299,""motion_profile"":0.9054321991196206,""motion_strength"":0.9841654338256746,""motion_reliability"":0.92,""motion_overlap"":0.9054321991196206,""motion_available"":true,""evidence_score"":-0.25843219569398446,""supported_bpm"":[180.0,181.0,182.0,183.0,184.0,185.0,186.0],""supported_relative_power"":[0.7952766832208809,0.9243981206037536,0.9970337590240174,1.0,0.9368610512687916,0.819673042223198,0.6684537878652687]}]",True,reacquired,True,183.0,6.999993,16.999983,saved_fused_wave_motion_dp
12.999986999999999,1.0,0.0,183.0,0.8618319675005008,True,candidate_only,183.0,183.0,183.0,-0.29687502681917954,,1.0,183.0,0.8477609981388883,0.9841961312033859,1,"[{""bpm"":183.0,""relative_power"":1.0,""peak_concentration"":0.8618319675005008,""prominence"":1.0,""period_correlation"":0.8476593370899749,""split_period_correlation"":0.8480659812856282,""periodic_support"":0.8477609981388883,""harmonic2_relative_power"":6.91547114933932e-07,""harmonic3_relative_power"":1.707138538095549e-11,""harmonic_support"":0.000833039232275745,""motion_profile"":0.9841961312033859,""motion_strength"":0.9841961312033859,""motion_reliability"":1.0,""motion_overlap"":0.9841961312033859,""motion_available"":true,""evidence_score"":-0.29687502681917954,""supported_bpm"":[180.0,181.0,182.0,183.0,184.0,185.0,186.0],""supported_relative_power"":[0.720856277396185,0.8670411189722678,0.9660089876517218,1.0,0.9671493236764995,0.8748359421050335,0.7397477775851086]}]",False,tracked,True,183.0,7.999992,17.999982,saved_fused_wave_motion_dp
13.999986,1.0,0.0,183.0,0.8743445185561823,True,candidate_only,183.0,183.0,183.0,-0.2710521134314672,,1.0,183.0,0.8190840104603114,0.9382510737576457,1,"[{""bpm"":183.0,""relative_power"":1.0,""peak_concentration"":0.8743445185561823,""prominence"":1.0,""period_correlation"":0.8196530274944456,""split_period_correlation"":0.8173769593579088,""periodic_support"":0.8190840104603114,""harmonic2_relative_power"":5.884874198300565e-07,""harmonic3_relative_power"":3.907757836287672e-11,""harmonic_support"":0.0007693172592472805,""motion_profile"":0.9382510737576457,""motion_strength"":0.9841794479975304,""motion_reliability"":0.9533333333333334,""motion_overlap"":0.9382510737576457,""motion_available"":true,""evidence_score"":-0.2710521134314672,""supported_bpm"":[180.0,181.0,182.0,183.0,184.0,185.0,186.0],""supported_relative_power"":[0.7009096793288045,0.852030816914166,0.958127087638251,1.0,0.974148071565078,0.8866369610635877,0.7534470520603902]}]",False,tracked,True,183.0,8.999991,18.999981,saved_fused_wave_motion_dp
