time_s,base,covered,observed,interpolated
0.0,,False,False,False
0.0333332999999999,,False,False,False
0.0666665999999999,,False,False,False
0.0999998999999999,,False,False,False
0.1333331999999999,,False,False,False
0.1666665,,False,False,False
0.1999997999999999,,False,False,False
0.2333331,,False,False,False
0.2666663999999999,,False,False,False
0.2999997,,False,False,False
0.333333,,False,False,False
0.3666663,,False,False,False
0.3999995999999999,,False,False,False
0.4333328999999999,,False,False,False
0.4666662,,False,False,False
0.4999995,,False,False,False
0.5333327999999999,,False,False,False
0.5666661,,False,False,False
0.5999994,,False,False,False
0.6333327,,False,False,False
0.666666,,False,False,False
0.6999993,,False,False,False
0.7333326,,False,False,False
0.7666659,,False,False,False
0.7999991999999999,,False,False,False
0.8333324999999999,,False,False,False
0.8666657999999999,,False,False,False
0.8999990999999999,,False,False,False
0.9333324,,False,False,False
0.9666657,,False,False,False
0.999999,,False,False,False
1.0333323,,False,False,False
1.0666656,,False,False,False
1.0999989,,False,False,False
1.1333322,,False,False,False
1.1666655,,False,False,False
1.1999988,,False,False,False
1.2333321,,False,False,False
1.2666654,,False,False,False
1.2999987,,False,False,False
1.333332,,False,False,False
1.3666653,,False,False,False
1.3999986,,False,False,False
1.4333319,,False,False,False
1.4666652,,False,False,False
1.4999985,,False,False,False
1.5333318,,False,False,False
1.5666650999999998,,False,False,False
1.5999983999999998,,False,False,False
1.6333316999999998,,False,False,False
1.6666649999999998,,False,False,False
1.6999983,,False,False,False
1.7333316,,False,False,False
1.7666649,,False,False,False
1.7999982,,False,False,False
1.8333315,,False,False,False
1.8666648,,False,False,False
1.8999981,,False,False,False
1.9333314,,False,False,False
1.9666647,,False,False,False
1.999998,0.00032268800620875726,True,True,False
2.0333313,-0.3056472941780241,True,True,False
2.0666646,-0.27607019755933293,True,True,False
2.0999979,0.06484589757349446,True,True,False
2.1333312,0.5389360644619917,True,True,False
2.1666645,0.8988803908720289,True,True,False
2.1999978,0.9432989677819636,True,True,False
2.2333311,0.6081481564465301,True,True,False
2.2666644,-0.00511323840105285,True,True,False
2.2999977,-0.6755440119894358,True,True,False
2.333331,-1.1610870682379857,True,True,False
2.3666643,-1.3025379542835336,True,True,False
2.3999976,-1.0841893117117851,True,True,False
2.4333309,-0.62642322257719,True,True,False
2.4666642,-0.12171482627194745,True,True,False
2.4999975,0.24922172156829084,True,True,False
2.5333308,0.3836778792333519,True,True,False
2.5666641,0.2855279914732563,True,True,False
2.5999974,0.054033513727453505,True,True,False
2.6333307,-0.16066263819159568,True,True,False
2.666664,-0.22357934057765136,True,True,False
2.6999973,-0.07950250360757682,True,True,False
2.7333306,0.21587892705378448,True,True,False
2.7666639,0.5192587390511199,True,True,False
2.7999972,0.668267777038584,True,True,False
2.8333305,0.5600250144278174,True,True,False
2.8666638,0.20128010233286503,True,True,False
2.8999971,-0.29029321073006487,True,True,False
2.9333304,-0.7314566138561913,True,True,False
2.9666637,-0.9471305839157267,True,True,False
2.999997,-0.8433253664476208,True,True,False
3.0333303,-0.44788521597676745,True,True,False
3.0666636,0.09985503540431631,True,True,False
3.0999969,0.603819312670213,True,True,False
3.1333302,0.8850757156049333,True,True,False
3.1666635,0.8480617064579209,True,True,False
3.1999968,0.518574448405292,True,True,False
3.2333301,0.03948918962053675,True,True,False
3.2666634,-0.38123721868990806,True,True,False
3.2999967,-0.557098714564292,True,True,False
3.33333,-0.40771484560526755,True,True,False
3.3666633,0.0010881455239815474,True,True,False
3.3999966,0.4837759344621052,True,True,False
3.4333299,0.8171151419559193,True,True,False
3.4666632,0.8409123325928517,True,True,False
