window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,old_motion_risk_direct,old_motion_risk_double,old_motion_risk_half,candidate_motion_risk_direct,candidate_motion_risk_double,candidate_motion_risk_half,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
0,4.999995,0.0,9.99999,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
1,5.999994,0.999999,10.999989,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
2,6.999993,1.999998,11.999988,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.0267701840534227,0.9850130591848902,0.7333333333333333,0.718709127861667,0.718709127861667,0.0019531296004053258,0.06885176622856175,0.06930244221220272,0.718970695641555,0.004432159993944617,0.5751765565132441,0.1435325713484229,False,insufficient_motion_risk_decrease
3,7.999992,2.999997,12.999986999999999,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.026081290109001,0.9850030188111968,0.52,0.5106340761965937,0.5106340761965937,0.001471441323672131,0.04607807191799693,0.04613425786885839,0.4807070330748887,0.0013189509246243466,0.384565626459911,0.12606844973668274,False,insufficient_motion_risk_decrease
4,8.999991,3.999996,13.999986,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.013713705986231,0.9848210445708543,0.62,0.6105890476339296,0.6105890476339296,0.0017715177537977987,0.05558488714866742,0.055705005078440326,0.5773735837020276,0.0010461704431908075,0.46189886696162213,0.1486901806723075,False,insufficient_motion_risk_decrease
5,9.99999,4.999995,14.999984999999999,True,182.0,92.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9861716000508176,0.98440376579126,0.72,0.7085997130501624,0.7085997130501624,0.002007558680990599,0.06355102351305247,0.06344835349487057,0.6721673321870439,0.0007842337969007836,0.5377338657496352,0.17086584730052723,False,insufficient_motion_risk_decrease
6,10.999989,5.999994,15.999984,True,182.0,92.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9703045201642007,0.9841555540359195,0.82,0.8020484990697796,0.8020484990697796,0.0021454011777053694,0.07017766967177815,0.06994514249325381,0.7667683428912956,0.0006926760908040112,0.6134146743130365,0.18863382475674306,False,insufficient_motion_risk_decrease
7,11.999988,6.999993,16.999983,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9709289912380479,0.9841654338256746,0.92,0.8938892594692005,0.8938892594692005,0.0023390054955329956,0.0766255165829529,0.07636786850790901,0.8614034440113072,0.0006501678069951372,0.6891227552090458,0.20476650426015475,False,insufficient_motion_risk_decrease
8,12.999986999999999,7.999992,17.999982,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.972872992798886,0.9841961312033859,1.0,0.9636554254003451,0.9636554254003451,0.0025359672257362588,0.08137006206449796,0.08116841446431815,0.9366677772973854,0.0005519241673690298,0.7493342218379083,0.21432120356243678,False,insufficient_motion_risk_decrease
9,13.999986,8.999991,18.999981,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9718157816517645,0.9841794479975304,0.9533333333333334,0.9132719420726624,0.9132719420726624,0.0024518658237478426,0.07532559852469364,0.07518334324923191,0.902837567974953,0.00034719605785986786,0.7222700543799624,0.1910018876927,False,insufficient_motion_risk_decrease
10,14.999984999999999,9.99999,19.99998,True,97.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9470178534827844,0.9837804670247869,0.8533333333333334,0.02815380200674153,0.02815380200674153,0.017100931409221795,0.00026614621748017106,0.06607429646085013,0.814658732211606,0.00026041988292013275,0.6517269857692849,-0.6235731837625433,False,old_motion_risk_below_threshold
11,15.999984,10.999989,20.999979,True,97.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9276165044580922,0.9834577547863812,0.7533333333333333,0.03309517383717429,0.0304172781303845,0.04136896729646786,0.00028532445847529863,0.057633730332319416,0.7220756949870092,0.0002659400000786976,0.5776605559896074,-0.5445653821524331,False,old_motion_risk_below_threshold
12,16.999983,11.999988,21.999978,True,98.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.893385889098336,0.9828645537909255,0.9966666666666667,0.06177948588568599,0.04515951679476726,0.07722435735710749,0.001294483285466798,0.07847358023158406,0.9564070241341451,0.001547697221693324,0.7651256193073162,-0.7033461334216302,False,old_motion_risk_below_threshold
13,17.999982,12.999986999999999,22.999976999999998,True,98.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.917544934123097,0.9832864398720768,0.95,0.09253380080146283,0.048602836573502776,0.11566725100182852,0.0011744931808025329,0.07402309538177772,0.9078012852915855,0.001247969612420146,0.7262410282332685,-0.6337072274318057,False,old_motion_risk_below_threshold
14,18.999981,13.999986,23.999976,True,98.0,92.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9194089355147268,0.9833183450297506,0.85,0.14342079585258932,0.04872310109536133,0.17927599481573664,0.0010332623668727488,0.06686231189423891,0.8113760425247635,0.0011415532762169076,0.6491008340198108,-0.5056800381672215,False,old_motion_risk_below_threshold
15,19.99998,14.999984999999999,24.999975,True,98.0,93.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9200102123274676,0.9833286174012733,0.75,0.18963925932758838,0.04542132606410126,0.23704907415948545,0.0010659935586556828,0.056927488886203505,0.670653468635287,0.0012881343230169379,0.5365227749082296,-0.34688351558064123,False,old_motion_risk_below_threshold
16,20.999979,15.999984,25.999973999999998,True,98.0,95.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.907213494297055,0.9831079406157095,0.74,0.16288356227127357,0.037087167282076616,0.20360445283909195,0.002643226674710058,0.04357460896278413,0.4727198164630463,0.0028439908025173,0.37817585317043706,-0.2152922908991635,False,old_motion_risk_below_threshold
