window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,old_motion_risk_direct,old_motion_risk_double,old_motion_risk_half,candidate_motion_risk_direct,candidate_motion_risk_double,candidate_motion_risk_half,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
0,4.999995,0.0,9.99999,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
1,5.999994,0.999999,10.999989,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
2,6.999993,1.999998,11.999988,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
3,7.999992,2.999997,12.999986999999999,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
4,8.999991,3.999996,13.999986,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
5,9.99999,4.999995,14.999984999999999,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
6,10.999989,5.999994,15.999984,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
7,11.999988,6.999993,16.999983,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
8,12.999986999999999,7.999992,17.999982,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
9,13.999986,8.999991,18.999981,True,93.0,94.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.4150490363550747,0.9893977261241802,0.6533333333333333,0.4072900972915241,0.05748509435474126,0.5091126216144051,0.001582974817354704,0.059673864624010226,0.6110222889530643,0.0015657799822740752,0.4888178311624515,-0.08152773387092738,False,old_motion_risk_below_threshold
10,14.999984999999999,9.99999,19.99998,True,93.0,94.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.4602068324088995,0.9897794280514177,0.7533333333333333,0.43288331740057995,0.06835660500603395,0.5411041467507249,0.001092502052895728,0.07211286067766022,0.6926701864130859,0.0011683736344385522,0.5541361491304687,-0.12125283172988877,False,old_motion_risk_below_threshold
11,15.999984,10.999989,20.999979,True,93.0,94.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.4760608451208808,0.9899085754210721,0.8533333333333334,0.48732069368565273,0.07927725207678332,0.6091508671070659,0.001050397905757591,0.08401340482562057,0.7983713278200019,0.0011691021926128853,0.6386970622560015,-0.1513763685703488,False,old_motion_risk_below_threshold
12,16.999983,11.999988,21.999978,True,93.0,93.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.4587470736349384,0.9897674127550945,0.9533333333333334,0.5804347046885806,0.09049645179348471,0.7255433808607258,0.001178988810505318,0.09049645179348471,0.7255433808607258,0.001178988810505318,0.5804347046885806,0.0,False,insufficient_motion_risk_decrease
13,17.999982,12.999986999999999,22.999976999999998,True,92.0,93.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.4376306556963243,0.9895912148889962,1.0,0.4841066944277264,0.0898697691786085,0.605133368034658,0.0011439421376463659,0.0990099327707485,0.8846142136096042,0.0013185969560461457,0.7076913708876834,-0.223584676459957,False,old_motion_risk_below_threshold
14,18.999981,13.999986,23.999976,True,91.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.460416413748883,0.9897811513870772,1.0,0.46471137828199044,0.08434707326536613,0.580889222852488,0.0015477763066867485,0.09438238292451652,0.8501113803167021,0.001646953282268643,0.6800891042533617,-0.21537772597137123,False,old_motion_risk_below_threshold
15,19.99998,14.999984999999999,24.999975,True,90.0,91.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.474190065219417,0.9898934633243163,1.0,0.4064334371412037,0.07201383314088747,0.5080417964265046,0.0017004983242100873,0.08221436717708697,0.789549969574168,0.0017826477305280192,0.6316399756593345,-0.22520653851813077,False,old_motion_risk_below_threshold
16,20.999979,15.999984,25.999973999999998,True,88.0,91.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.507531646569408,0.9901578134900965,1.0,0.09552687872627869,0.044374787546078,0.11940859840784834,0.0014841772964199601,0.07454822294874808,0.8699350464202652,0.0016866547108308322,0.6959480371362122,-0.6004211584099335,False,old_motion_risk_below_threshold
17,21.999978,16.999983,26.999972999999997,True,83.0,91.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.527197691875677,0.9903089178556752,1.0,0.008687987406481133,0.008687987406481133,0.0023515437993859786,0.0014060810952344382,0.06880157072500735,0.8605036723953445,0.0016172020107080758,0.6884029379162757,-0.6797149505097946,False,old_motion_risk_below_threshold
18,22.999976999999998,17.999982,27.999972,True,83.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.5282716737565214,0.9903170697304438,1.0,0.00607680285832406,0.00607680285832406,0.0022321370035758665,0.0018851679234297189,0.0706535790655247,0.9664630585613875,0.0013638893629210063,0.7731704468491101,-0.7670936439907861,False,old_motion_risk_below_threshold
19,23.999976,18.999981,28.999971,True,90.0,93.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.5480080242632277,0.990465068047751,1.0,0.20825835236376267,0.04704981740898286,0.26032294045470333,0.0010913847735665196,0.0729657777254586,0.9903618716416163,0.00080887529139445,0.792289497313293,-0.5840311449495303,False,old_motion_risk_below_threshold
20,24.999975,19.99998,29.999969999999998,True,92.0,93.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.527958657618525,0.9903146948941812,1.0,0.5007320220399745,0.06309707602793525,0.6259150275499681,0.00035780878368239566,0.07101692151464278,0.9117996706648869,0.00026767022973629424,0.7294397365319095,-0.22870771449193505,False,insufficient_motion_risk_decrease
