time_s,reference_bpm
-32.0487812,98.0
-30.9697698,99.0
-30.0688654,99.0
-29.0479501,99.0
-28.0295414,99.0
-27.0690418,99.0
-26.0488143,99.0
-25.0599543,99.0
-24.0695396,99.0
-23.0496098,99.0
-22.0597927,100.0
-21.0700278,100.0
-20.0799154,101.0
-19.0601418,101.0
-18.0702426,100.0
-17.0791282,100.0
-16.0293465,99.0
-15.0698909,98.0
-14.0201795,97.0
-13.0603392,97.0
-11.9791445,96.0
-11.0793527,96.0
-10.0296557,95.0
-9.0693239,95.0
-8.0799088,95.0
-7.0598018,95.0
-6.0373747,95.0
-5.0799901,95.0
-4.0599969,96.0
-3.0098269,96.0
-2.0498861,97.0
-0.9989684,98.0
-0.0400876,99.0
0.9492392,99.0
1.9399177,100.0
2.929761,101.0
3.9491925,102.0
4.9398936,102.0
5.9297376,102.0
6.9198722,103.0
7.9393288,102.0
8.9303268,101.0
9.9200359,101.0
10.9400387,100.0
11.9300462,100.0
12.9197655,100.0
13.9999106,101.0
14.9296341,102.0
15.9195202,103.0
16.9398502,104.0
17.9294106,103.0
18.9200303,103.0
19.9693863,103.0
20.9293135,103.0
21.9196789,104.0
22.9694848,104.0
23.9895908,105.0
24.9193561,105.0
25.9694201,105.0
26.9296734,106.0
27.919759,105.0
28.9407554,105.0
29.9596655,105.0
30.919308,105.0
31.9690768,106.0
32.960431,107.0
33.9496697,109.0
34.9389798,110.0
35.959295,111.0
36.9198687,112.0
37.9388397,113.0
38.9289988,113.0
39.9205113,114.0
40.9427234,114.0
41.9897792,114.0
42.9191342,114.0
43.9393372,114.0
44.9289189,114.0
45.9199139,115.0
46.9394214,115.0
47.92997,116.0
48.9194644,116.0
49.939519,117.0
50.958706,117.0
51.9192007,118.0
52.9723764,118.0
53.9293321,119.0
54.918576,119.0
55.9391575,120.0
56.9286499,120.0
57.91999,121.0
