window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_bpm,V28_accepted,common_output,new_output,lost_output
0,4.999995,0.0,9.99999,,False,gap_or_filter_edge,76.5,True,ok,10,1.0508478000000006,,,,False,False,False,False
1,5.999994,0.999999,10.999989,,False,gap_or_filter_edge,77.1,True,ok,10,1.0508478000000006,,,,False,False,False,False
2,6.999993,1.999998,11.999988,,False,gap_or_filter_edge,77.8,True,ok,10,1.0508478000000006,,,75.0,True,False,False,True
3,7.999992,2.999997,12.999987,,False,gap_or_filter_edge,78.4,True,ok,10,1.0508478000000006,,,76.0,True,False,False,True
4,8.999991,3.999996,13.999986,,False,gap_or_filter_edge,79.0,True,ok,10,1.0508478000000006,,,77.0,True,False,False,True
5,9.99999,4.999995,14.999985,,False,gap_or_filter_edge,79.5,True,ok,10,1.0508478000000006,,,77.0,True,False,False,True
6,10.999989,5.999994,15.999984,66.0,True,candidate_only,79.8,True,ok,10,1.0508478000000006,-13.799999999999997,13.799999999999997,77.0,True,True,False,False
7,11.999988,6.999993,16.999983,66.0,True,candidate_only,80.1,True,ok,10,1.0508478000000006,-14.099999999999994,14.099999999999994,76.0,True,True,False,False
8,12.999987,7.999992,17.999982,71.0,True,candidate_only,80.2,True,ok,10,1.0201244000000003,-9.200000000000003,9.200000000000003,76.0,True,True,False,False
9,13.999986,8.999991,18.999981,73.0,True,candidate_only,80.1,True,ok,10,1.0201244000000003,-7.099999999999994,7.099999999999994,76.0,True,True,False,False
10,14.999985,9.99999,19.99998,75.0,True,candidate_only,79.9,True,ok,10,1.0201244000000003,-4.900000000000006,4.900000000000006,77.0,True,True,False,False
11,15.999984,10.999989,20.999979,76.0,True,candidate_only,79.6,True,ok,10,1.0198324000000003,-3.5999999999999943,3.5999999999999943,78.0,True,True,False,False
12,16.999983,11.999988,21.999978,78.0,True,candidate_only,79.2,True,ok,10,1.0198324000000003,-1.2000000000000028,1.2000000000000028,79.0,True,True,False,False
13,17.999982,12.999987,22.999977,79.0,True,candidate_only,78.8,True,ok,10,1.0193255000000008,0.20000000000000284,0.20000000000000284,80.0,True,True,False,False
14,18.999981,13.999986,23.999976,80.0,True,candidate_only,78.4,True,ok,10,1.0199043000000003,1.5999999999999943,1.5999999999999943,80.0,True,True,False,False
15,19.99998,14.999985,24.999975,80.0,True,candidate_only,78.0,True,ok,10,1.0199043000000003,2.0,2.0,80.0,True,True,False,False
16,20.999979,15.999984,25.999974,79.0,True,candidate_only,77.7,True,ok,10,1.0199043000000003,1.2999999999999972,1.2999999999999972,79.0,True,True,False,False
17,21.999978,16.999983,26.999973,78.0,True,candidate_only,77.5,True,ok,10,1.0205093000000005,0.5,0.5,78.0,True,True,False,False
