window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,old_motion_risk_direct,old_motion_risk_double,old_motion_risk_half,candidate_motion_risk_direct,candidate_motion_risk_double,candidate_motion_risk_half,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
0,2.999997,0.0,5.999994,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
1,3.999996,0.999999,6.999993,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
2,4.999995,1.999998,7.999992,False,,56.0,True,True,2,"[""forehead"", ""right_cheek""]",False,True,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
3,5.999994,2.999997,8.999991,False,,56.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",False,True,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
4,6.999993,3.999996,9.99999,False,,55.0,True,True,2,"[""forehead"", ""right_cheek""]",False,True,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
5,7.999992,4.999995,10.999989,False,,54.0,True,True,2,"[""left_cheek"", ""right_cheek""]",False,True,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
6,8.999991,5.999994,11.999988,True,67.0,53.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.023514668049098943,0.008769450192949987,1.0,0.0030959909927958463,0.0030959909927958463,0.0005126780152184992,6.441439122692511e-05,0.0010282001773116633,0.000260559257487214,0.0006615186145420116,0.0010282001773116633,0.0020677908154841827,False,old_motion_risk_below_threshold
7,9.99999,6.999993,12.999986999999999,True,67.0,53.0,False,True,0,[],True,True,False,not_evaluated,,,,,,,,,,,,,False,candidate_not_generated_and_supported
8,10.999989,7.999992,13.999986,True,67.0,54.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.022975661143537062,0.008375357009716183,1.0,0.002604725858569301,0.002604725858569301,0.0008325777706303185,0.0013587460684861036,0.0015683325713607423,0.0008407400730383618,0.001680040065407955,0.0015683325713607423,0.0010363932872085588,False,old_motion_risk_below_threshold
9,11.999988,8.999991,14.999984999999999,True,68.0,56.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.028536064272394378,0.012861342138976523,1.0,0.008748459945685464,0.008748459945685464,0.005986295122047445,0.004378151603610279,0.003877798298472013,0.0034723133846873396,0.0047322912910645765,0.003877798298472013,0.004870661647213451,False,old_motion_risk_below_threshold
10,12.999986999999999,9.99999,15.999984,True,73.0,58.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.02908982939665197,0.01335862185170325,1.0,0.008964898446026263,0.0050078147458192885,0.01120612305753283,0.0052026014320182236,0.010399697245637992,0.011155441194761672,0.005856040588094464,0.010399697245637992,-0.0014347987996117285,False,old_motion_risk_below_threshold
11,13.999986,10.999989,16.999983,True,75.0,57.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.03868194254673823,0.023380927496691288,1.0,0.00842092712680339,0.003034771714750975,0.010526158908504238,0.007912974356955307,0.020073615008002296,0.014674405671600364,0.006128501835715775,0.020073615008002296,-0.011652687881198906,False,old_motion_risk_below_threshold
12,14.999984999999999,11.999988,17.999982,True,76.0,60.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.04732948781363363,0.034601137383249596,1.0,0.008829416759309814,0.008829416759309814,0.00756752552570226,0.010317729617591172,0.03378459117640755,0.023274690641442195,0.005898895014664987,0.03378459117640755,-0.024955174417097735,False,old_motion_risk_below_threshold
13,15.999984,12.999986999999999,18.999981,True,76.0,62.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.04633243603359285,0.03320656440569805,1.0,0.012721195569813942,0.012721195569813942,0.007655107804209114,0.010699411278650149,0.02043033924134232,0.03270123201819471,0.013928562708293188,0.026160985614555772,-0.01343979004474183,False,old_motion_risk_below_threshold
14,16.999983,13.999986,19.99998,True,77.0,63.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.04700895556480788,0.034150012398370407,1.0,0.013008440367356669,0.013008440367356669,0.01118452011301118,0.013622185967806651,0.006079944760901043,0.028504684104913143,0.021841744846653886,0.022803747283930517,-0.009795306916573848,False,old_motion_risk_below_threshold
15,17.999982,14.999984999999999,20.999979,True,80.0,61.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.057747510611776326,0.05065370061303039,1.0,0.017526779683817974,0.014432768954041659,0.021908474604772465,0.023288216124161723,0.0012470736847339618,0.031210844079090076,0.03162716372411044,0.024968675263272063,-0.007441895579454089,False,old_motion_risk_below_threshold
16,18.999981,15.999984,21.999978,True,82.0,60.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,0.06770566294695556,0.06833302895036734,1.0,0.00822082430078866,0.007160419572953701,0.004359839324390253,0.01644164860157732,0.007191266543771169,0.004093316675308267,0.02662218019898062,0.01331109009949031,-0.00509026579870165,False,old_motion_risk_below_threshold
17,19.99998,16.999983,22.999976999999998,True,81.0,59.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.06866615206816346,0.0701485918775533,1.0,0.013714540344732308,0.012180077344848926,0.002381639479209742,0.027429080689464615,0.00016031763945761678,0.007449552190701227,0.05402079922067166,0.02701039961033583,-0.013295859265603524,False,old_motion_risk_below_threshold
18,20.999979,17.999982,23.999976,True,80.0,57.0,False,True,0,[],True,True,False,not_evaluated,,,,,,,,,,,,,False,candidate_not_generated_and_supported
19,21.999978,18.999981,24.999975,True,52.0,54.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.06493432184266074,0.06319978254672803,1.0,0.028674817269848805,0.00717233709332275,0.0022052700656178007,0.05734963453969761,0.010931607995463387,0.0022106161627537453,0.05997281509409583,0.029986407547047914,-0.0013115902771991088,False,old_motion_risk_below_threshold
20,22.999976999999998,19.99998,25.999973999999998,True,50.0,54.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.0674556568754759,0.06786349913402702,1.0,0.014458133189696326,0.01420054309781312,0.0016002930300460271,0.028916266379392652,0.02388374069793666,0.00039745692931525336,0.03523343082061256,0.02388374069793666,-0.009425607508240334,False,old_motion_risk_below_threshold
21,23.999976,20.999979,26.999972999999997,True,47.0,54.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.05726556021861759,0.049853710426956334,1.0,0.025492307483290875,0.025492307483290875,0.005485844542125595,0.010542691834184081,0.032736256524014816,0.0013478307025524168,0.013626318828707247,0.032736256524014816,-0.007243949040723941,False,old_motion_risk_below_threshold
22,24.999975,21.999978,27.999972,True,45.0,80.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,0.07727697231498706,0.08721453964884189,1.0,0.026966244251565658,0.026966244251565658,0.024289831782251036,0.03900713367964863,0.033701708188848975,0.048581995479627556,0.04561023191938067,0.038865596383702045,-0.011899352132136387,False,old_motion_risk_below_threshold
23,25.999973999999998,22.999976999999998,28.999971,True,46.0,81.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,0.09680480604861778,0.13038844939204372,1.0,0.04530072968818629,0.018247168504766993,0.031862449488824725,0.09060145937637258,0.0019356376838398596,0.03760322936422,0.054141808550215165,0.030082583491376005,0.015218146196810285,False,old_motion_risk_below_threshold
24,26.999972999999997,23.999976,29.999969999999998,True,47.0,82.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,0.09694328971747233,0.13071297164692366,1.0,0.05228650431795875,0.05171676714679636,0.0075051807588587816,0.1045730086359175,0.004571099619641446,0.005602274689376863,0.07707374939111492,0.03853687469555746,0.01374962962240129,False,old_motion_risk_below_threshold
