window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_matching_10s_window_index,V28_10s_accepted_at_same_center,shared_center_both_output,shared_center_new_output,native_only_plan_output
0,2.999997,0.0,5.999994,,False,gap_or_filter_edge,104.5,True,ok,6,1.0233993000000003,,,-1,False,False,False,False
1,3.999996,0.999999,6.999993,,False,gap_or_filter_edge,104.5,True,ok,6,1.0233993000000003,,,-1,False,False,False,False
2,4.999995,1.999998,7.999992,58.0,True,candidate_only,104.16666666666667,True,ok,6,1.0233993000000003,-46.16666666666667,46.16666666666667,0,False,False,True,False
3,5.999994,2.999997,8.999991,57.0,True,candidate_only,103.5,True,ok,6,1.0233993000000003,-46.5,46.5,1,False,False,True,False
4,6.999993,3.999996,9.99999,55.0,True,candidate_only,102.66666666666667,True,ok,6,1.0262080999999998,-47.66666666666667,47.66666666666667,2,False,False,True,False
5,7.999992,4.999995,10.999989,56.0,True,candidate_only,101.83333333333333,True,ok,6,1.0262080999999998,-45.83333333333333,45.83333333333333,3,False,False,True,False
6,8.999991,5.999994,11.999988,57.0,True,candidate_only,101.16666666666667,True,ok,6,1.0262080999999998,-44.16666666666667,44.16666666666667,4,True,True,False,False
7,9.99999,6.999993,12.999987,57.0,True,candidate_only,100.66666666666667,True,ok,6,1.0262080999999998,-43.66666666666667,43.66666666666667,5,True,True,False,False
8,10.999989,7.999992,13.999986,52.0,True,candidate_only,100.33333333333333,True,ok,6,1.0262080999999998,-48.33333333333333,48.33333333333333,6,True,True,False,False
9,11.999988,8.999991,14.999985,50.0,True,candidate_only,100.16666666666667,True,ok,6,1.0209291,-50.16666666666667,50.16666666666667,7,True,True,False,False
10,12.999987,9.99999,15.999984,53.0,True,candidate_only,100.0,True,ok,6,1.0209291,-47.0,47.0,8,True,True,False,False
11,13.999986,10.999989,16.999983,56.0,True,candidate_only,100.0,True,ok,6,1.050764299999999,-44.0,44.0,9,True,True,False,False
12,14.999985,11.999988,17.999982,55.0,True,candidate_only,99.83333333333333,True,ok,6,1.050764299999999,-44.83333333333333,44.83333333333333,10,True,True,False,False
