window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,2.999997,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9944444444444445,0.9944444444444445,0.005555555555555556,0.0,0.0
1,3.999996,none,no_qualified_branch,,,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0
2,4.999995,baseline,baseline_evidence_retained,61.0,73.0,0.24760051055252078,0.24408941495596986,True,True,True,1.0,1.0,0.0,0.2862641016185577,0.8000474898402816
3,5.999994,none,no_qualified_branch,,,0.20085192618381426,0.21409704097549348,False,False,False,1.0,1.0,0.0,0.3699136985146224,0.27055104101636895
4,6.999993,none,no_qualified_branch,,,0.17002695239269744,0.0,False,False,False,1.0,1.0,0.0,0.5076097994637274,0.0
5,7.999992,baseline,tracking_quality_fallback,106.0,78.0,0.3676968116067194,0.4034387825092274,True,False,False,1.0,1.0,0.0,0.31716704671952695,0.61030285504311
6,8.999991,tracked,baseline_unavailable,,78.0,0.20943562138697513,0.3074234718500699,False,True,True,1.0,1.0,0.0,0.6021527317852459,0.5358554493575586
7,9.99999,baseline,frequency_disagreement_fallback,110.0,76.0,0.320934784009792,0.40911237013326723,True,True,True,1.0,1.0,0.0,0.8303653328665789,0.17465409199531906
8,10.999989,baseline,frequency_disagreement_fallback,113.0,83.0,0.36740459442682355,0.35578287936692915,True,True,True,1.0,1.0,0.0,0.9777940356444339,0.14020681922074868
9,11.999988,none,no_qualified_branch,,,0.15370094141050694,0.5066248248614587,False,False,False,1.0,1.0,0.0,0.45077871496148264,0.4658164349753976
10,12.999986999999999,none,no_qualified_branch,,,0.33689244711968264,0.4627173412909823,False,False,False,0.9944444444444445,1.0,0.0,0.9202447767789007,0.5341560422113076
11,13.999986,tracked,stronger_qualified_evidence,67.0,60.0,0.36264018185079794,0.43762885993825457,True,True,True,0.9944444444444445,1.0,0.0,0.5461826727033744,0.2698986201272175
12,14.999984999999999,tracked,baseline_unavailable,,55.0,0.5123036997322135,0.3585422599451494,False,True,True,0.9944444444444445,1.0,0.0,0.3101952505339322,0.30747276379997773
13,15.999984,baseline,tracking_quality_fallback,51.0,,0.4741348796223548,0.2004156175852608,True,False,False,0.9944444444444445,1.0,0.0,0.7651006627689078,0.6718720575201783
14,16.999983,baseline,frequency_disagreement_fallback,48.0,67.0,0.2803427600972552,0.37973955652691077,True,True,True,0.9944444444444445,1.0,0.0,0.9413675194332408,0.7151138164577217
15,17.999982,baseline,baseline_evidence_retained,49.0,57.0,0.18038135023115767,0.15952932546656912,True,True,True,0.9944444444444445,1.0,0.0,0.9893835892852818,0.739804704087514
16,18.999981,tracked,baseline_unavailable,,56.0,0.4191605309774288,0.24079090415325555,False,True,True,1.0,1.0,0.0,0.08262286716072696,0.7767817797196988
17,19.99998,none,no_qualified_branch,52.0,,0.43283875265710847,0.16559958687774728,False,False,False,1.0,1.0,0.0,0.8498682373726635,0.07442199235883175
18,20.999979,tracked,baseline_unavailable,53.0,64.0,0.22544282876400223,0.2918408284697818,False,True,True,1.0,1.0,0.0,0.979628690173173,0.9134825534944578
19,21.999978,baseline,baseline_evidence_retained,52.0,62.0,0.2984529308173154,0.3409853323267561,True,True,True,1.0,1.0,0.0,0.4177796356128757,0.9160564216012982
20,22.999976999999998,tracked,baseline_unavailable,55.0,53.0,0.36131812577041517,0.44122443471335104,False,True,True,1.0,1.0,0.0,0.5080554489121121,0.4017681282692212
21,23.999976,tracked,baseline_unavailable,,62.0,0.19779578732002243,0.27642865679347584,False,True,True,1.0,1.0,0.0,0.8667717597352862,0.7812363601567528
22,24.999975,tracked,baseline_unavailable,,65.0,0.1938304036924943,0.21625763250723679,False,True,True,1.0,1.0,0.0,0.9266306222257751,0.6209540001919086
23,25.999973999999998,tracked,baseline_unavailable,,59.0,0.248110677983263,0.360839668466351,False,True,True,1.0,1.0,0.0,0.4596528687785569,0.8446711821190787
24,26.999972999999997,baseline,tracking_quality_fallback,54.0,,0.23357612840426265,0.26913507780114615,True,False,False,1.0,1.0,0.0,0.8521440534822746,0.5718599500854019
25,27.999972,baseline,tracking_quality_fallback,57.0,,0.3512993923199768,0.46787303394636864,True,False,False,0.9944444444444445,1.0,0.0,0.5140542391558731,0.4449185337523997
26,28.999971,baseline,tracking_quality_fallback,55.0,66.0,0.4731892176352409,0.2716423426650485,True,False,False,0.9888888888888889,0.9944444444444445,0.0,0.6548246449188353,0.9488340965316497
27,29.999969999999998,baseline,tracking_quality_fallback,51.0,,0.4796801778005929,0.31137258984454275,True,False,False,0.9444444444444444,0.9722222222222222,0.0,0.979289500599711,0.3489233729318707
