window_index,time_s,proposal_bpm,proposal_supported,reacquired,generated,contributing_rois,channels,score,window_start_s,window_end_s
0,2.999997,,False,False,False,0,[],,0.0,5.999994
1,3.999996,,False,False,False,0,[],,0.999999,6.999993
2,4.999995,,False,False,False,0,[],,1.999998,7.999992
3,5.999994,,False,False,False,0,[],,2.999997,8.999991
4,6.999993,,False,False,False,0,[],,3.999996,9.99999
5,7.999992,,False,False,False,0,[],,4.999995,10.999989
6,8.999991,,False,False,False,0,[],,5.999994,11.999988
7,9.99999,,False,False,False,0,[],,6.999993,12.999986999999999
8,10.999989,,False,False,False,0,[],,7.999992,13.999986
9,11.999988,92.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""baseline/right_cheek/pos""]",1.2833243193980954,8.999991,14.999984999999999
10,12.999986999999999,92.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""tracked/right_cheek/pos""]",0.9601133547392458,9.99999,15.999984
11,13.999986,93.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""baseline/right_cheek/pos""]",0.9278312668094446,10.999989,16.999983
12,14.999984999999999,93.0,True,False,True,3,"[""tracked/forehead/chrom"", ""baseline/left_cheek/chrom"", ""baseline/right_cheek/pos""]",-0.007006056012384613,11.999988,17.999982
13,15.999984,93.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""baseline/right_cheek/pos""]",0.5079791933675375,12.999986999999999,18.999981
14,16.999983,94.0,True,False,False,0,[],,13.999986,19.99998
15,17.999982,94.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""tracked/right_cheek/chrom""]",0.40146563058193935,14.999984999999999,20.999979
16,18.999981,93.0,True,False,True,2,"[""baseline/left_cheek/pos"", ""tracked/right_cheek/chrom""]",0.2274896578879111,15.999984,21.999978
17,19.99998,92.0,True,False,True,2,"[""baseline/left_cheek/pos"", ""tracked/right_cheek/chrom""]",0.2642932195333476,16.999983,22.999976999999998
18,20.999979,91.0,True,False,True,3,"[""baseline/forehead/chrom"", ""baseline/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",0.39377154867265846,17.999982,23.999976
19,21.999978,91.0,True,False,True,3,"[""baseline/forehead/chrom"", ""baseline/left_cheek/pos"", ""tracked/right_cheek/chrom""]",0.41786647240386604,18.999981,24.999975
20,22.999976999999998,92.0,True,False,True,3,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]",0.042385686696414626,19.99998,25.999973999999998
21,23.999976,93.0,True,False,True,3,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]",-0.039705195114403076,20.999979,26.999972999999997
22,24.999975,94.0,True,False,True,3,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]",0.12851440857003094,21.999978,27.999972
23,25.999973999999998,94.0,True,False,True,2,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos""]",-0.0027720799773239824,22.999976999999998,28.999971
24,26.999972999999997,93.0,True,False,True,2,"[""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]",0.6552963251591865,23.999976,29.999969999999998
25,27.999972,93.0,True,False,True,3,"[""tracked/forehead/pos"", ""baseline/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",0.3885655704529713,24.999975,30.999969
26,28.999971,93.0,True,False,True,3,"[""baseline/forehead/chrom"", ""baseline/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",-0.11433434259770969,25.999973999999998,31.999968
27,29.999969999999998,93.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",0.48120962792220384,26.999972999999997,32.999967
28,30.999969,92.0,True,False,True,2,"[""baseline/forehead/chrom"", ""baseline/left_cheek/chrom""]",0.5639056799304512,27.999972,33.999966
29,31.999968,92.0,True,False,False,0,[],,28.999971,34.999964999999996
30,32.999967,92.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""baseline/right_cheek/pos""]",0.27157229587351256,29.999969999999998,35.999964
31,33.999966,92.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",0.268467181968944,30.999969,36.999963
32,34.999964999999996,92.0,True,False,True,3,"[""baseline/forehead/chrom"", ""baseline/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",0.4085747785925739,31.999968,37.999962
33,35.999964,92.0,True,False,True,3,"[""baseline/forehead/chrom"", ""baseline/left_cheek/chrom"", ""baseline/right_cheek/pos""]",0.5042433879721752,32.999967,38.999961
34,36.999963,92.0,True,False,True,3,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]",0.6062068473124406,33.999966,39.99996
35,37.999962,93.0,True,False,True,3,"[""tracked/forehead/chrom"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]",0.3467059351450256,34.999964999999996,40.999959
36,38.999961,93.0,True,False,True,3,"[""baseline/forehead/chrom"", ""baseline/left_cheek/chrom"", ""baseline/right_cheek/pos""]",0.17828986045339254,35.999964,41.999958
37,39.99996,93.0,True,False,True,2,"[""tracked/forehead/pos"", ""baseline/left_cheek/pos""]",0.17466496494490563,36.999963,42.999956999999995
38,40.999959,92.0,True,False,True,3,"[""tracked/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]",0.31478191672865186,37.999962,43.999956
39,41.999958,91.0,True,False,True,2,"[""baseline/left_cheek/pos"", ""tracked/right_cheek/pos""]",0.1281671640663108,38.999961,44.999955
40,42.999956999999995,91.0,True,False,True,2,"[""baseline/left_cheek/pos"", ""tracked/right_cheek/pos""]",0.2972724420917521,39.99996,45.999953999999995
41,43.999956,91.0,True,False,True,2,"[""baseline/left_cheek/chrom"", ""tracked/right_cheek/pos""]",0.1578201221422152,40.999959,46.999953
42,44.999955,91.0,True,False,True,2,"[""baseline/forehead/pos"", ""tracked/right_cheek/pos""]",0.09678523901992336,41.999958,47.999952
43,45.999953999999995,91.0,True,False,True,3,"[""tracked/forehead/chrom"", ""baseline/left_cheek/pos"", ""tracked/right_cheek/pos""]",0.15174116979297758,42.999956999999995,48.999950999999996
44,46.999953,,False,False,False,0,[],,43.999956,49.99995
45,47.999952,,False,False,False,0,[],,44.999955,50.999949
46,48.999950999999996,,False,False,False,0,[],,45.999953999999995,51.999947999999996
47,49.99995,,False,False,False,0,[],,46.999953,52.999947
48,50.999949,,False,False,False,0,[],,47.999952,53.999945999999994
49,51.999947999999996,,False,False,False,0,[],,48.999950999999996,54.999945
50,52.999947,,False,False,False,0,[],,49.99995,55.999944
51,53.999945999999994,,False,False,False,0,[],,50.999949,56.999942999999995
