window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,old_motion_risk_direct,old_motion_risk_double,old_motion_risk_half,candidate_motion_risk_direct,candidate_motion_risk_double,candidate_motion_risk_half,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
0,2.999997,0.0,5.999994,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
1,3.999996,0.999999,6.999993,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
2,4.999995,1.999998,7.999992,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
3,5.999994,2.999997,8.999991,False,,92.0,True,True,2,"[""left_cheek"", ""right_cheek""]",False,True,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
4,6.999993,3.999996,9.99999,True,90.0,91.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,3.1087183956895026,0.9935743418233555,1.0,0.3857608791432021,0.04835695827625452,0.48220109892900265,0.007898960092004716,0.05322005660712521,0.6956034073385039,0.008235850572991825,0.5564827258708032,-0.17072184672760105,False,old_motion_risk_below_threshold
5,7.999992,4.999995,10.999989,True,90.0,90.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,3.114468990182748,0.9935978969738103,1.0,0.47497271390989787,0.05730650952208663,0.5937158923873723,0.0026977998985386487,0.05730650952208663,0.5937158923873723,0.0026977998985386487,0.47497271390989787,0.0,False,old_motion_risk_below_threshold
6,8.999991,5.999994,11.999988,True,91.0,89.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,3.0413008149858283,0.9932882379147012,1.0,0.7762590965214595,0.08251616091187891,0.9703238706518243,0.0031154002524130843,0.07699213968429655,0.6923750636392871,0.0030010124254783855,0.5539000509114297,0.22235904561002984,False,insufficient_motion_risk_decrease
7,9.99999,6.999993,12.999986999999999,True,92.0,88.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,3.088247943350202,0.9934894309857517,1.0,0.7219298226739437,0.0948770278929393,0.9024122783424295,0.0027559840069753495,0.08873012779505103,0.6975903034088149,0.003051894853882081,0.5580722427270519,0.16385757994689176,False,insufficient_motion_risk_decrease
8,10.999989,7.999992,13.999986,True,93.0,86.0,False,True,0,[],True,True,False,not_evaluated,,,,,,,,,,,,,False,candidate_not_generated_and_supported
9,11.999988,8.999991,14.999984999999999,True,94.0,86.0,False,True,0,[],True,True,False,not_evaluated,,,,,,,,,,,,,False,candidate_not_generated_and_supported
10,12.999986999999999,9.99999,15.999984,True,94.0,86.0,False,True,0,[],True,True,False,not_evaluated,,,,,,,,,,,,,False,candidate_not_generated_and_supported
11,13.999986,10.999989,16.999983,True,94.0,45.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,3.2071665166222676,0.9939604289617092,1.0,0.7621055588929261,0.09156974075056008,0.9526319486161575,0.0007541639297926166,0.000978609285364567,0.08026685119506333,0.0032144751371730317,0.06421348095605066,0.6978920779368755,False,direct_motion_evidence_insufficient
12,14.999984999999999,11.999988,17.999982,True,94.0,45.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,3.2283847600304085,0.994039085378856,1.0,0.7822596360442393,0.09231509255512962,0.9778245450552991,0.0007476099383386104,0.0010516445124321946,0.0805305705048394,0.0018678228514833123,0.06442445640387152,0.7178351796403678,False,direct_motion_evidence_insufficient
13,15.999984,12.999986999999999,18.999981,True,94.0,46.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,3.1995857704384636,0.9939319499364817,1.0,0.777587078524569,0.09543109798758842,0.9719838481557111,0.005392438094951294,0.005584985260023605,0.09605009290193593,0.000908479115293607,0.07684007432154875,0.7007470042030203,False,direct_motion_evidence_insufficient
14,16.999983,13.999986,19.99998,True,94.0,47.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,3.19123658844925,0.9939003508398243,1.0,0.759559650092709,0.09445821459234828,0.9494495626158862,0.006821627593915658,0.006821627593915658,0.09445821459234828,0.0030669013629343296,0.07556657167387863,0.6839930784188304,False,direct_motion_evidence_insufficient
15,17.999982,14.999984999999999,20.999979,True,93.0,48.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,3.2372695188188914,0.9940715664959959,1.0,0.7952572531967967,0.0879880064183441,0.9940715664959959,0.005576723260712558,0.006330690880436272,0.07843503060219985,0.0067882911509067854,0.06274802448175988,0.7325092287150369,False,direct_motion_evidence_insufficient
16,18.999981,15.999984,21.999978,True,92.0,48.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,3.3071977576391456,0.9943182112643791,1.0,0.7685327447674458,0.08050619797267541,0.9606659309593072,0.006654476793918564,0.007179108144456475,0.07851518966184771,0.005160015439611467,0.06281215172947817,0.7057205930379676,False,direct_motion_evidence_insufficient
17,19.99998,16.999983,22.999976999999998,True,91.0,47.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,3.3290477012636432,0.9943921335671394,1.0,0.6958569710531434,0.07999617511146728,0.8698212138164292,0.008151932873170042,0.007633093994225748,0.08527816058189709,0.0009271688589788755,0.06822252846551767,0.6276344425876257,False,direct_motion_evidence_insufficient
18,20.999979,17.999982,23.999976,True,91.0,46.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,3.359439870689809,0.994492584758515,1.0,0.726654224606543,0.08661354429195357,0.9083177807581788,0.004494654620199429,0.004308981565336112,0.08735763035425596,0.0002464855866832703,0.06988610428340478,0.6567681203231382,False,direct_motion_evidence_insufficient
19,21.999978,18.999981,24.999975,True,91.0,46.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,3.404692517634533,0.9946372328901204,0.8944444444444445,0.6775285259423836,0.07937518661379836,0.8469106574279793,0.001552293150376516,0.001474364600964548,0.0785096138200177,0.0013899879599311867,0.06280769105601416,0.6147208348863694,False,direct_motion_evidence_insufficient
20,22.999976999999998,19.99998,25.999973999999998,True,91.0,47.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,3.482144859093573,0.9948719349104529,0.7277777777777777,0.5681336810491122,0.06349351695628655,0.7101671013113903,0.0005404923993564675,0.0004829176836608728,0.059801508833127126,0.0018909398411396966,0.047841207066501704,0.5202924739826105,False,direct_motion_evidence_insufficient
21,23.999976,20.999979,26.999972999999997,True,91.0,95.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,3.422905296520163,0.9946938480512861,0.5611111111111111,0.4443067406559338,0.04708273354388128,0.5553834258199172,0.00023226785314837937,0.04574656967125572,0.4594283104886686,0.0002824350542694057,0.3675426483909349,0.07676409226499886,False,old_motion_risk_below_threshold
22,24.999975,21.999978,27.999972,True,91.0,95.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,False,insufficient_contiguous_motion_support,,,0.0,,,,,,,,,,False,motion_evidence_unavailable
23,25.999973999999998,22.999976999999998,28.999971,True,89.0,95.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,3.5151117407911356,0.9949671903287345,0.5333333333333333,0.3972292180696084,0.042591466581382055,0.4965365225870105,0.0010446402389147915,0.04370432209503351,0.43256839847426387,0.0011357260167252036,0.34605471877941113,0.051174499290197295,False,old_motion_risk_below_threshold
