time_s,observed_fraction,interpolated_fraction,spectral_peak_bpm,peak_concentration,accepted,status,ridge_bpm,legacy_ridge_bpm,evidence_local_bpm,evidence_score,evidence_runner_up_margin,evidence_selected_relative_power,evidence_selected_peak_bpm,evidence_selected_periodic_support,evidence_selected_motion_overlap,evidence_candidate_count,evidence_candidates_json,evidence_reacquired,evidence_tracker_state,evidence_motion_available,raw_spectral_peak_bpm,window_index,window_start_s,window_end_s,profile,analysis_window_s,hr_source,hr_passes_original_gates,strict_accepted,quality_tier
2.999997,0.5,0.0,,,False,gap_or_filter_edge,,,,,,,,,,0,[],False,unavailable,False,,0,0.0,5.999994,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,False,False,rejected
3.999996,0.6666666666666666,0.0,,,False,gap_or_filter_edge,,,,,,,,,,0,[],False,unavailable,False,,1,0.999999,6.999993,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,False,False,rejected
4.999995,0.8333333333333334,0.0,,,False,gap_or_filter_edge,,,,,,,,,,0,[],False,unavailable,False,,2,1.999998,7.999992,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,False,False,rejected
5.999994,1.0,0.0,92.0,0.6988847827281348,True,candidate_only,91.0,89.0,92.0,0.9772146922468689,,0.9971190390209966,92.0,0.9925298753089399,0.07181500124577246,1,"[{""bpm"":92.0,""relative_power"":1.0,""peak_concentration"":0.6988847827281348,""prominence"":1.0,""period_correlation"":0.991976072536739,""split_period_correlation"":0.9941912836255424,""periodic_support"":0.9925298753089399,""harmonic2_relative_power"":3.482519633137124e-08,""harmonic3_relative_power"":1.5922065766345907e-09,""harmonic_support"":0.00020058096425047757,""motion_profile"":0.07181500124577246,""motion_strength"":0.9935500132407661,""motion_reliability"":1.0,""motion_overlap"":0.07181500124577246,""motion_available"":true,""evidence_score"":1.0022146922468689,""supported_bpm"":[89.0,90.0,91.0,92.0,93.0,94.0,95.0],""supported_relative_power"":[0.924805466562099,0.9715615400859416,0.9971190390209966,1.0,0.9800818770270933,0.9386041460410514,0.8769802442677583]}]",False,acquired,True,92.0,3,2.999997,8.999991,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
6.999993,1.0,0.0,91.0,0.7243374200503744,True,candidate_only,91.0,88.0,91.0,1.0269296129577512,,1.0,91.0,0.9939821542014433,0.05322005660712521,1,"[{""bpm"":91.0,""relative_power"":1.0,""peak_concentration"":0.7243374200503744,""prominence"":1.0,""period_correlation"":0.9938755258551661,""split_period_correlation"":0.9943020392402748,""periodic_support"":0.9939821542014433,""harmonic2_relative_power"":4.52413817449399e-09,""harmonic3_relative_power"":4.0600880250744144e-10,""harmonic_support"":7.431409506993091e-05,""motion_profile"":0.05322005660712521,""motion_strength"":0.9935743418233555,""motion_reliability"":1.0,""motion_overlap"":0.05322005660712521,""motion_available"":true,""evidence_score"":1.0269296129577512,""supported_bpm"":[88.0,89.0,90.0,91.0,92.0,93.0,94.0],""supported_relative_power"":[0.8629351640704992,0.930011891338747,0.9767300607695397,1.0,0.9981918757833042,0.9712998758086151,0.920952889239855]}]",False,tracked,True,91.0,4,3.999996,9.99999,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
7.999992,1.0,0.0,91.0,0.7588220870179252,True,candidate_only,91.0,87.0,91.0,1.0174979682166772,,1.0,91.0,0.9946054052811575,0.061377913404284945,1,"[{""bpm"":91.0,""relative_power"":1.0,""peak_concentration"":0.7588220870179252,""prominence"":1.0,""period_correlation"":0.9937704500211066,""split_period_correlation"":0.9971102710613102,""periodic_support"":0.9946054052811575,""harmonic2_relative_power"":1.9613145538773347e-08,""harmonic3_relative_power"":1.685037354586459e-09,""harmonic_support"":0.00015441416275975214,""motion_profile"":0.061377913404284945,""motion_strength"":0.9935978969738103,""motion_reliability"":1.0,""motion_overlap"":0.061377913404284945,""motion_available"":true,""evidence_score"":1.0174979682166772,""supported_bpm"":[88.0,89.0,90.0,91.0,92.0,93.0,94.0],""supported_relative_power"":[0.8449675583129904,0.9203203561379268,0.9732146514949255,1.0,0.9988024359168258,0.9697101096055089,0.914762581971685]}]",False,tracked,True,91.0,5,4.999995,10.999989,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
8.999991,1.0,0.0,91.0,0.7416421423475156,True,candidate_only,91.0,85.0,91.0,0.9781251372787176,,1.0,91.0,0.9828834564493079,0.08264928718108366,1,"[{""bpm"":91.0,""relative_power"":1.0,""peak_concentration"":0.7416421423475156,""prominence"":1.0,""period_correlation"":0.9821495915385788,""split_period_correlation"":0.9850850511814946,""periodic_support"":0.9828834564493079,""harmonic2_relative_power"":6.304383938023181e-08,""harmonic3_relative_power"":1.567897049991754e-09,""harmonic_support"":0.00026494416083356275,""motion_profile"":0.08264928718108366,""motion_strength"":0.9932882379147012,""motion_reliability"":1.0,""motion_overlap"":0.08264928718108366,""motion_available"":true,""evidence_score"":0.9781251372787176,""supported_bpm"":[88.0,89.0,90.0,91.0,92.0,93.0,94.0],""supported_relative_power"":[0.8699336288542852,0.9370767107240712,0.9813899440200301,1.0,0.9917707839695498,0.9574004841828256,0.8993382395840096]}]",False,tracked,True,91.0,6,5.999994,11.999988,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
9.99999,1.0,0.0,90.0,0.668782002092777,True,candidate_only,90.0,80.0,90.0,0.7680746559363058,,1.0,90.0,0.8078672452499803,0.09651691858438156,1,"[{""bpm"":90.0,""relative_power"":1.0,""peak_concentration"":0.668782002092777,""prominence"":1.0,""period_correlation"":0.8104084999184663,""split_period_correlation"":0.8002434812445225,""periodic_support"":0.8078672452499803,""harmonic2_relative_power"":3.2224815653803336e-09,""harmonic3_relative_power"":8.27381873788361e-10,""harmonic_support"":6.683439180419326e-05,""motion_profile"":0.09651691858438156,""motion_strength"":0.9934894309857517,""motion_reliability"":1.0,""motion_overlap"":0.09651691858438156,""motion_available"":true,""evidence_score"":0.7680746559363058,""supported_bpm"":[87.0,88.0,89.0,90.0,91.0,92.0,93.0],""supported_relative_power"":[0.8978171843600453,0.9504969827419764,0.9851581884882492,1.0,0.9941068852977005,0.96768215160774,0.9220385817426524]}]",False,tracked,True,90.0,7,6.999993,12.999986999999999,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
10.999989,1.0,0.0,89.0,0.5520754178988139,True,candidate_only,90.0,73.0,89.0,0.3392225934724622,,0.9990951385131654,89.0,0.4467352890364495,0.10210733227872697,1,"[{""bpm"":89.0,""relative_power"":1.0,""peak_concentration"":0.5520754178988139,""prominence"":1.0,""period_correlation"":0.5002816746336619,""split_period_correlation"":0.28609613224481234,""periodic_support"":0.4467352890364495,""harmonic2_relative_power"":1.7042145042730756e-07,""harmonic3_relative_power"":1.0068431454500123e-08,""harmonic_support"":0.0004479408807764493,""motion_profile"":0.10210733227872697,""motion_strength"":0.9937648923034176,""motion_reliability"":1.0,""motion_overlap"":0.10210733227872697,""motion_available"":true,""evidence_score"":0.3642225934724622,""supported_bpm"":[86.0,87.0,88.0,89.0,90.0,91.0,92.0],""supported_relative_power"":[0.9123812285237047,0.9562458958047728,0.9855531147024307,1.0,0.9990951385131654,0.9828656994311722,0.9519822157087796]}]",False,tracked,True,89.0,8,7.999992,13.999986,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
11.999988,1.0,0.0,90.0,0.34772779163459844,True,candidate_only,46.0,64.0,46.0,1.5270669597397428,1.6118328950422165,0.6549861766779155,46.0,0.7970686895152681,0.0021150973041453637,2,"[{""bpm"":46.0,""relative_power"":0.6549861766779155,""peak_concentration"":0.1963794839800731,""prominence"":0.5765397472029496,""period_correlation"":0.757939107520217,""split_period_correlation"":0.9144574355004217,""periodic_support"":0.7970686895152681,""harmonic2_relative_power"":0.9700561216866828,""harmonic3_relative_power"":0.00019264825090145458,""harmonic_support"":0.8010346746604681,""motion_profile"":0.0021150973041453637,""motion_strength"":0.9937827434952008,""motion_reliability"":1.0,""motion_overlap"":0.0021150973041453637,""motion_available"":true,""evidence_score"":1.5270669597397428,""supported_bpm"":[43.0,44.0,45.0,46.0,47.0,48.0,49.0],""supported_relative_power"":[0.6175195616598156,0.6361077616291079,0.6486841305356168,0.6549861766779155,0.6545830014666104,0.6472304958467703,0.6329212660025582]},{""bpm"":90.0,""relative_power"":1.0,""peak_concentration"":0.34772779163459844,""prominence"":1.0,""period_correlation"":0.05365500928962067,""split_period_correlation"":0.005577475127153675,""periodic_support"":0.041635625749003924,""harmonic2_relative_power"":1.718671859944043e-07,""harmonic3_relative_power"":1.361791666218982e-08,""harmonic_support"":0.00045541221502620597,""motion_profile"":0.10481642867312328,""motion_strength"":0.9937827434952008,""motion_reliability"":1.0,""motion_overlap"":0.10481642867312328,""motion_available"":true,""evidence_score"":-0.08476593530247359,""supported_bpm"":[87.0,88.0,89.0,90.0,91.0,92.0,93.0],""supported_relative_power"":[0.9673185095171559,0.987938422428805,0.999065070095966,1.0,0.9903260183439572,0.9700561216866828,0.9396502587441822]}]",True,reacquired,True,90.0,9,8.999991,14.999984999999999,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
