window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_matching_10s_window_index,V28_10s_accepted_at_same_center,shared_center_both_output,shared_center_new_output,native_only_plan_output
0,2.999997,0.0,5.999994,,False,gap_or_filter_edge,75.16666666666667,True,ok,6,1.0200491,,,-1,False,False,False,False
1,3.999996,0.999999,6.999993,,False,gap_or_filter_edge,75.66666666666667,True,ok,6,1.0189934999999997,,,-1,False,False,False,False
2,4.999995,1.999998,7.999992,,False,gap_or_filter_edge,76.33333333333333,True,ok,6,1.0189934999999997,,,0,False,False,False,False
3,5.999994,2.999997,8.999991,,False,gap_or_filter_edge,77.0,True,ok,6,1.0508478000000006,,,1,False,False,False,False
4,6.999993,3.999996,9.99999,,False,gap_or_filter_edge,77.83333333333333,True,ok,6,1.0508478000000006,,,2,True,False,False,False
5,7.999992,4.999995,10.999989,,False,gap_or_filter_edge,78.5,True,ok,6,1.0508478000000006,,,3,True,False,False,False
6,8.999991,5.999994,11.999988,65.0,True,candidate_only,79.16666666666667,True,ok,6,1.0508478000000006,-14.166666666666671,14.166666666666671,4,True,True,False,False
7,9.99999,6.999993,12.999987,65.0,True,candidate_only,79.83333333333333,True,ok,6,1.0508478000000006,-14.833333333333329,14.833333333333329,5,True,True,False,False
8,10.999989,7.999992,13.999986,64.0,True,candidate_only,80.33333333333333,True,ok,6,1.0201244000000003,-16.33333333333333,16.33333333333333,6,True,True,False,False
9,11.999988,8.999991,14.999985,63.0,True,candidate_only,80.66666666666667,True,ok,6,1.0201244000000003,-17.66666666666667,17.66666666666667,7,True,True,False,False
10,12.999987,9.99999,15.999984,62.0,True,candidate_only,80.66666666666667,True,ok,6,1.0201244000000003,-18.66666666666667,18.66666666666667,8,True,True,False,False
11,13.999986,10.999989,16.999983,62.0,True,candidate_only,80.66666666666667,True,ok,6,1.0198324000000003,-18.66666666666667,18.66666666666667,9,True,True,False,False
12,14.999985,11.999988,17.999982,78.0,True,candidate_only,80.33333333333333,True,ok,6,1.0198324000000003,-2.3333333333333286,2.3333333333333286,10,True,True,False,False
13,15.999984,12.999987,18.999981,77.0,True,candidate_only,79.83333333333333,True,ok,6,1.0193255000000008,-2.8333333333333286,2.8333333333333286,11,True,True,False,False
14,16.999983,13.999986,19.99998,78.0,True,candidate_only,79.33333333333333,True,ok,6,1.0193255000000008,-1.3333333333333286,1.3333333333333286,12,True,True,False,False
15,17.999982,14.999985,20.999979,80.0,True,candidate_only,78.66666666666667,True,ok,6,1.0193255000000008,1.3333333333333286,1.3333333333333286,13,True,True,False,False
16,18.999981,15.999984,21.999978,82.0,True,candidate_only,78.16666666666667,True,ok,6,1.0193255000000008,3.8333333333333286,3.8333333333333286,14,True,True,False,False
17,19.99998,16.999983,22.999977,81.0,True,candidate_only,77.66666666666667,True,ok,6,1.0122851999999973,3.3333333333333286,3.3333333333333286,15,True,True,False,False
18,20.999979,17.999982,23.999976,80.0,True,candidate_only,77.33333333333333,True,ok,6,1.0199043000000003,2.6666666666666714,2.6666666666666714,16,True,True,False,False
19,21.999978,18.999981,24.999975,52.0,True,candidate_only,77.16666666666667,True,ok,6,1.0199043000000003,-25.16666666666667,25.16666666666667,17,True,True,False,False
20,22.999977,19.99998,25.999974,50.0,True,candidate_only,77.0,True,ok,6,1.0199043000000003,-27.0,27.0,18,True,True,False,False
21,23.999976,20.999979,26.999973,47.0,True,candidate_only,77.16666666666667,True,ok,6,1.0205093000000005,-30.16666666666667,30.16666666666667,19,True,True,False,False
22,24.999975,21.999978,27.999972,45.0,True,candidate_only,77.33333333333333,True,ok,6,1.0205093000000005,-32.33333333333333,32.33333333333333,20,True,True,False,False
23,25.999974,22.999977,28.999971,46.0,True,candidate_only,77.66666666666667,True,ok,6,1.0205093000000005,-31.66666666666667,31.66666666666667,21,True,True,False,False
24,26.999973,23.999976,29.99997,47.0,True,candidate_only,77.83333333333333,True,ok,6,1.0205093000000005,-30.83333333333333,30.83333333333333,22,True,True,False,False
25,27.999972,24.999975,30.999969,47.0,True,candidate_only,78.0,True,ok,6,1.0205093000000005,-31.0,31.0,23,True,True,False,False
26,28.999971,25.999974,31.999968,47.0,True,candidate_only,78.16666666666667,True,ok,6,1.0204208000000001,-31.16666666666667,31.16666666666667,24,True,True,False,False
27,29.99997,26.999973,32.999967,74.0,True,candidate_only,78.33333333333333,True,ok,6,1.0495712000000026,-4.333333333333329,4.333333333333329,25,True,True,False,False
28,30.999969,27.999972,33.999966,75.0,True,candidate_only,78.5,True,ok,6,1.0495712000000026,-3.5,3.5,26,True,True,False,False
29,31.999968,28.999971,34.999965,75.0,True,candidate_only,78.66666666666667,True,ok,6,1.0495712000000026,-3.6666666666666714,3.6666666666666714,27,True,True,False,False
30,32.999967,29.99997,35.999964,74.0,True,candidate_only,79.0,True,ok,6,1.0495712000000026,-5.0,5.0,28,True,True,False,False
31,33.999966,30.999969,36.999963,74.0,True,candidate_only,79.5,True,ok,6,1.0495712000000026,-5.5,5.5,29,True,True,False,False
32,34.999965,31.999968,37.999962,74.0,True,candidate_only,80.0,True,ok,6,1.0206645999999964,-6.0,6.0,30,True,True,False,False
33,35.999964,32.999967,38.999961,74.0,True,candidate_only,80.33333333333333,True,ok,6,1.0206645999999964,-6.333333333333329,6.333333333333329,31,True,True,False,False
34,36.999963,33.999966,39.99996,73.0,True,candidate_only,80.66666666666667,True,ok,6,1.0206645999999964,-7.666666666666671,7.666666666666671,32,True,True,False,False
35,37.999962,34.999965,40.999959,73.0,True,candidate_only,80.66666666666667,True,ok,6,1.0206645999999964,-7.666666666666671,7.666666666666671,33,True,True,False,False
36,38.999961,35.999964,41.999958,94.0,True,candidate_only,80.66666666666667,True,ok,6,1.050245100000005,13.333333333333329,13.333333333333329,34,True,True,False,False
37,39.99996,36.999963,42.999957,80.0,True,candidate_only,80.66666666666667,True,ok,6,1.050245100000005,-0.6666666666666714,0.6666666666666714,35,False,False,True,False
38,40.999959,37.999962,43.999956,79.0,True,candidate_only,80.83333333333333,True,ok,6,1.050245100000005,-1.8333333333333286,1.8333333333333286,36,False,False,True,False
