profile,case,plan,shift_s,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm
short6_relaxed,data6,native6s,-5,66,46,66,46,0,0,69.6969696969697,69.6969696969697,23.927536231884055,26.242620310726345,-18.10869565217391,20.638906597016444,0.0,0.0,0.0,0.0,40.91666666666667,67.16666666666667,-55.74717407109907,19.52978276675125
short6_relaxed,data6,native6s,-2,66,46,66,46,0,0,69.6969696969697,69.6969696969697,24.47463768115943,26.95130023841267,-18.59782608695652,20.9823378453346,0.0,0.0,0.0,0.0,43.04166666666666,68.0,-57.25252745875319,20.056875284840157
short6_relaxed,data6,native6s,-1,66,46,66,46,0,0,69.6969696969697,69.6969696969697,24.797101449275363,27.39578408272423,-18.833333333333332,21.205982795451007,0.0,0.0,0.0,0.0,43.95833333333334,69.16666666666667,-58.259592703215674,20.592926036549006
short6_relaxed,data6,native6s,0,66,46,66,46,0,0,69.6969696969697,69.6969696969697,25.192028985507246,27.92853414205034,-19.119565217391305,21.484149543685266,0.0,0.0,0.0,0.0,44.95833333333334,70.5,-59.462019085904544,21.222888651121934
short6_relaxed,data6,native6s,1,66,46,66,46,0,0,69.6969696969697,69.6969696969697,25.641304347826082,28.50935307158664,-19.46014492753623,21.79813187902977,0.0,0.0,0.0,0.0,45.99999999999999,71.66666666666667,-60.7474566223987,21.827166767326244
short6_relaxed,data6,native6s,2,66,46,66,46,0,0,69.6969696969697,69.6969696969697,26.130434782608692,29.111687312216226,-19.847826086956523,22.137284902365884,0.0,0.0,0.0,0.0,46.95833333333333,72.83333333333333,-62.05082347473871,22.355171300825667
short6_relaxed,data6,native6s,5,66,46,65,46,0,0,69.6969696969697,70.76923076923077,27.739130434782602,30.936002196212392,-21.202898550724637,23.2382025817829,0.0,0.0,0.0,0.0,49.958333333333336,75.5,-65.8440450295947,23.438247928145426
short6_relaxed,data6,common10s,-5,62,38,62,38,0,0,61.29032258064516,61.29032258064516,21.876315789473683,22.44884828835734,-21.876315789473683,19.169754382993272,0.0,0.0,0.0,0.0,29.475000000000005,30.099999999999994,-31.88258666822788,-11.870044910719487
short6_relaxed,data6,common10s,-2,62,38,62,38,0,0,61.29032258064516,61.29032258064516,22.355263157894733,23.105940225063566,-22.355263157894733,19.457007128654602,0.0,0.0,0.0,0.0,30.614999999999995,32.3,-33.95889779375115,-10.751628522038317
short6_relaxed,data6,common10s,-1,62,38,62,38,0,0,61.29032258064516,61.29032258064516,22.607894736842102,23.454799755677882,-22.607894736842102,19.607495500078706,0.0,0.0,0.0,0.0,31.614999999999995,33.30000000000001,-35.01410194247181,-10.201687531212393
short6_relaxed,data6,common10s,0,62,38,62,38,0,0,61.29032258064516,61.29032258064516,22.91578947368421,23.868047348087075,-22.91578947368421,19.79247651107614,0.0,0.0,0.0,0.0,32.715,34.30000000000001,-36.17361233304268,-9.657966614325739
short6_relaxed,data6,common10s,1,62,38,62,38,0,0,61.29032258064516,61.29032258064516,23.273684210526312,24.331936994303124,-23.273684210526312,20.009710009247286,0.0,0.0,0.0,0.0,33.83,35.30000000000001,-37.37211691742307,-9.175251503629557
short6_relaxed,data6,common10s,2,62,38,62,38,0,0,61.29032258064516,61.29032258064516,23.68157894736842,24.84219140261605,-23.68157894736842,20.259712109650355,0.0,0.0,0.0,0.0,35.015,36.19999999999999,-38.58781143272632,-8.77534646201052
short6_relaxed,data6,common10s,5,62,38,61,38,0,0,61.29032258064516,62.295081967213115,25.126315789473683,26.51199331385108,-25.126315789473683,21.163267372908436,0.0,0.0,0.0,0.0,38.015,38.80000000000001,-41.92843649962404,-8.32419507932332
