window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,2.999997,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.03333333333333333,0.03333333333333333,0.005555555555555556,0.0,0.0
1,3.999996,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.06666666666666667,0.06666666666666667,0.011111111111111112,0.0,0.0
2,4.999995,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.1,0.10555555555555556,0.005555555555555556,0.0,0.0
3,5.999994,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.25555555555555554,0.2611111111111111,0.005555555555555556,0.0,0.0
4,6.999993,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.40555555555555556,0.42777777777777776,0.005555555555555556,0.0,0.0
5,7.999992,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.5666666666666667,0.5944444444444444,0.005555555555555556,0.0,0.0
6,8.999991,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.7333333333333333,0.7611111111111111,0.005555555555555556,0.0,0.0
7,9.99999,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.8333333333333334,0.8944444444444445,0.0,0.0,0.0
8,10.999989,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.95,0.9888888888888889,0.0,0.0,0.0
9,11.999988,tracked,baseline_unavailable,,166.0,0.28924170301809043,0.2187730790669779,False,True,True,0.9666666666666667,1.0,0.0,0.0,0.0
10,12.999986999999999,baseline,tracking_quality_fallback,187.0,,0.2592411351648031,0.0,True,False,False,0.9833333333333333,1.0,0.0,0.0,0.0
11,13.999986,tracked,stronger_qualified_evidence,188.0,188.0,0.3401034366986095,0.6659880445471265,True,True,True,0.9888888888888889,0.9944444444444445,0.0,0.0,0.0
12,14.999984999999999,tracked,stronger_qualified_evidence,189.0,189.0,0.3866092198608639,0.7112839406930129,True,True,True,0.9833333333333333,0.9888888888888889,0.0,0.0,0.0
13,15.999984,tracked,stronger_qualified_evidence,190.0,190.0,0.2817070054640702,0.42244245110892553,True,True,True,0.9833333333333333,0.9944444444444445,0.0,0.9770105374776854,1.0
14,16.999983,tracked,stronger_qualified_evidence,190.0,190.0,0.2947440420303664,0.3901224944896909,True,True,True,0.9722222222222222,0.9888888888888889,0.0,0.988442146438515,0.9967534675573863
15,17.999982,tracked,stronger_qualified_evidence,189.0,189.0,0.3972974197284137,0.4613637340270244,True,True,True,0.9666666666666667,0.9833333333333333,0.0,0.9799844831662756,0.9928899847214919
16,18.999981,baseline,baseline_evidence_retained,187.0,185.0,0.4118718572813889,0.4003334299939784,True,True,True,0.9611111111111111,0.9833333333333333,0.0,0.9419381066589705,0.9845500604705801
17,19.99998,tracked,baseline_unavailable,182.0,182.0,0.35820666656137173,0.4867107100749183,False,True,True,0.9611111111111111,0.9833333333333333,0.0,0.9661920141651417,0.9552683057663516
18,20.999979,tracked,baseline_unavailable,,181.0,0.18150680723654275,0.4532023042449862,False,True,True,0.9666666666666667,0.9888888888888889,0.0,0.9111696730616351,0.8976780699314717
19,21.999978,none,no_qualified_branch,,,0.2694693049491274,0.2528423575010819,False,False,False,0.9722222222222222,0.9777777777777777,0.0,0.9503467589969207,0.13818935672217897
20,22.999976999999998,baseline,frequency_disagreement_fallback,91.0,185.0,0.3244980939911535,0.2508674922015351,True,True,True,0.9722222222222222,0.9833333333333333,0.0,0.9576458006267482,0.9830555721402104
21,23.999976,baseline,tracking_quality_fallback,94.0,,0.4990786775290685,0.1882774704406432,True,False,False,0.9777777777777777,0.9888888888888889,0.0,0.9185310177592274,0.02422157763174276
22,24.999975,baseline,frequency_disagreement_fallback,95.0,187.0,0.3334997287528802,0.4399665649104158,True,True,True,0.9777777777777777,0.9888888888888889,0.0,0.9834475729333271,0.9672081082021746
23,25.999973999999998,tracked,baseline_unavailable,95.0,188.0,0.31197191757067266,0.3119783852700846,False,True,True,0.9777777777777777,0.9944444444444445,0.0,0.9549558556648974,0.9175570526937639
24,26.999972999999997,tracked,baseline_unavailable,,189.0,0.25417923376390616,0.4535536991172451,False,True,True,0.9722222222222222,0.9944444444444445,0.0,0.9771361016997406,0.9701971290454403
25,27.999972,tracked,baseline_unavailable,,189.0,0.40105688425740244,0.5113668326394462,False,True,True,0.9888888888888889,0.9888888888888889,0.0,0.993088799385662,0.9935802708968693
26,28.999971,baseline,baseline_evidence_retained,190.0,190.0,0.401506277050298,0.42207257229129286,True,True,True,0.9722222222222222,0.9944444444444445,0.0,0.9991347257180377,0.9984705976280186
27,29.999969999999998,tracked,stronger_qualified_evidence,190.0,190.0,0.27331092624271397,0.4914441859081342,True,True,True,0.9722222222222222,0.9944444444444445,0.0,0.980383653353307,0.9911142634731093
28,30.999969,tracked,baseline_unavailable,,187.0,0.2045977092197321,0.45316761671840955,False,True,True,0.9722222222222222,0.9888888888888889,0.0,0.5484599669136531,0.9963985557055889
29,31.999968,tracked,baseline_unavailable,,183.0,0.21677204628523236,0.5086500950516257,False,True,True,0.9611111111111111,0.9888888888888889,0.0,0.9032528649603926,0.9702569665902385
