window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,status,V28_bpm,V28_accepted,error_bpm,abs_error_bpm,common_output,new_output,lost_output
0,4.999995,0.0,9.99999,103.4,True,,False,gap_or_filter_edge,,False,,,False,False,False
1,5.999994,0.999999,10.999989,103.1,True,,False,gap_or_filter_edge,,False,,,False,False,False
2,6.999993,1.999998,11.999988,102.7,True,,False,gap_or_filter_edge,,False,,,False,False,False
3,7.999992,2.999997,12.999987,102.2,True,76.0,True,candidate_only,,False,-26.200000000000003,26.200000000000003,False,True,False
4,8.999991,3.999996,13.999986,101.6,True,76.0,True,candidate_only,55.0,True,-25.599999999999994,25.599999999999994,True,False,False
5,9.99999,4.999995,14.999985,101.1,True,76.0,True,candidate_only,54.0,True,-25.099999999999994,25.099999999999994,True,False,False
6,10.999989,5.999994,15.999984,100.7,True,76.0,True,candidate_only,53.0,True,-24.700000000000003,24.700000000000003,True,False,False
7,11.999988,6.999993,16.999983,100.4,True,61.0,True,candidate_only,53.0,True,-39.400000000000006,39.400000000000006,True,False,False
8,12.999987,7.999992,17.999982,100.1,True,60.0,True,candidate_only,53.0,True,-40.099999999999994,40.099999999999994,True,False,False
9,13.999986,8.999991,18.999981,100.0,True,60.0,True,candidate_only,53.0,True,-40.0,40.0,True,False,False
10,14.999985,9.99999,19.99998,100.0,True,60.0,True,candidate_only,53.0,True,-40.0,40.0,True,False,False
11,15.999984,10.999989,20.999979,100.2,True,61.0,True,candidate_only,52.0,True,-39.2,39.2,True,False,False
12,16.999983,11.999988,21.999978,100.4,True,61.0,True,candidate_only,52.0,True,-39.400000000000006,39.400000000000006,True,False,False
13,17.999982,12.999987,22.999977,100.7,True,90.0,True,candidate_only,52.0,True,-10.700000000000003,10.700000000000003,True,False,False
14,18.999981,13.999986,23.999976,101.1,True,90.0,True,candidate_only,53.0,True,-11.099999999999994,11.099999999999994,True,False,False
15,19.99998,14.999985,24.999975,101.6,True,90.0,True,candidate_only,56.0,True,-11.599999999999994,11.599999999999994,True,False,False
16,20.999979,15.999984,25.999974,102.2,True,90.0,True,candidate_only,58.0,True,-12.200000000000003,12.200000000000003,True,False,False
17,21.999978,16.999983,26.999973,103.0,True,90.0,True,candidate_only,60.0,True,-13.0,13.0,True,False,False
18,22.999977,17.999982,27.999972,104.0,True,91.0,True,candidate_only,61.0,True,-13.0,13.0,True,False,False
19,23.999976,18.999981,28.999971,104.9,True,92.0,True,candidate_only,62.0,True,-12.900000000000006,12.900000000000006,True,False,False
20,24.999975,19.99998,29.99997,105.8,True,93.0,True,candidate_only,62.0,True,-12.799999999999997,12.799999999999997,True,False,False
21,25.999974,20.999979,30.999969,106.6,True,94.0,True,candidate_only,56.0,True,-12.599999999999994,12.599999999999994,True,False,False
22,26.999973,21.999978,31.999968,107.4,True,94.0,True,candidate_only,54.0,True,-13.400000000000006,13.400000000000006,True,False,False
23,27.999972,22.999977,32.999967,108.1,True,94.0,True,candidate_only,53.0,True,-14.099999999999994,14.099999999999994,True,False,False
24,28.999971,23.999976,33.999966,108.7,True,94.0,True,candidate_only,53.0,True,-14.700000000000003,14.700000000000003,True,False,False
25,29.99997,24.999975,34.999965,109.2,True,95.0,True,candidate_only,52.0,True,-14.200000000000003,14.200000000000003,True,False,False
26,30.999969,25.999974,35.999964,109.6,True,96.0,True,candidate_only,51.0,True,-13.599999999999994,13.599999999999994,True,False,False
27,31.999968,26.999973,36.999963,109.8,True,97.0,True,candidate_only,50.0,True,-12.799999999999997,12.799999999999997,True,False,False
28,32.999967,27.999972,37.999962,109.8,True,98.0,True,candidate_only,49.0,True,-11.799999999999997,11.799999999999997,True,False,False
29,33.999966,28.999971,38.999961,109.7,True,99.0,True,candidate_only,49.0,True,-10.700000000000003,10.700000000000003,True,False,False
30,34.999965,29.99997,39.99996,109.5,True,100.0,True,candidate_only,50.0,True,-9.5,9.5,True,False,False
31,35.999964,30.999969,40.999959,109.2,True,101.0,True,candidate_only,51.0,True,-8.200000000000003,8.200000000000003,True,False,False
32,36.999963,31.999968,41.999958,108.9,True,102.0,True,candidate_only,53.0,True,-6.900000000000006,6.900000000000006,True,False,False
33,37.999962,32.999967,42.999957,108.5,True,103.0,True,candidate_only,54.0,True,-5.5,5.5,True,False,False
34,38.999961,33.999966,43.999956,108.1,True,104.0,True,candidate_only,55.0,True,-4.099999999999994,4.099999999999994,True,False,False
35,39.99996,34.999965,44.999955,107.7,True,,False,gap_or_filter_edge,56.0,True,,,False,False,True
36,40.999959,35.999964,45.999954,107.3,True,,False,gap_or_filter_edge,57.0,True,,,False,False,True
37,41.999958,36.999963,46.999953,106.9,True,,False,gap_or_filter_edge,57.0,True,,,False,False,True
38,42.999957,37.999962,47.999952,106.5,True,,False,gap_or_filter_edge,57.0,True,,,False,False,True
39,43.999956,38.999961,48.999951,106.1,True,,False,gap_or_filter_edge,91.0,True,,,False,False,True
40,44.999955,39.99996,49.99995,105.6,True,,False,gap_or_filter_edge,91.0,True,,,False,False,True
41,45.999954,40.999959,50.999949,105.1,True,,False,gap_or_filter_edge,91.0,True,,,False,False,True
42,46.999953,41.999958,51.999948,104.4,True,,False,gap_or_filter_edge,92.0,True,,,False,False,True
43,47.999952,42.999957,52.999947,103.6,True,,False,gap_or_filter_edge,93.0,True,,,False,False,True
44,48.999951,43.999956,53.999946,102.6,True,,False,gap_or_filter_edge,94.0,True,,,False,False,True
45,49.99995,44.999955,54.999945,101.5,True,102.0,True,candidate_only,95.0,True,0.5,0.5,True,False,False
46,50.999949,45.999954,55.999944,100.2,True,102.0,True,candidate_only,97.0,True,1.7999999999999972,1.7999999999999972,True,False,False
47,51.999948,46.999953,56.999943,98.9,True,102.0,True,candidate_only,99.0,True,3.0999999999999943,3.0999999999999943,True,False,False
48,52.999947,47.999952,57.999942,97.8,True,102.0,True,candidate_only,100.0,True,4.200000000000003,4.200000000000003,True,False,False
49,53.999946,48.999951,58.999941,96.8,True,102.0,True,candidate_only,101.0,True,5.200000000000003,5.200000000000003,True,False,False
50,54.999945,49.99995,59.99994,96.0,True,102.0,True,candidate_only,101.0,True,6.0,6.0,True,False,False
51,55.999944,50.999949,60.999939,95.4,True,102.0,True,candidate_only,100.0,True,6.599999999999994,6.599999999999994,True,False,False
52,56.999943,51.999948,61.999938,95.2,True,102.0,True,candidate_only,98.0,True,6.799999999999997,6.799999999999997,True,False,False
53,57.999942,52.999947,62.999937,95.3,True,102.0,True,candidate_only,96.0,True,6.700000000000003,6.700000000000003,True,False,False
54,58.999941,53.999946,63.999936,95.7,True,102.0,True,candidate_only,94.0,True,6.299999999999997,6.299999999999997,True,False,False
55,59.99994,54.999945,64.999935,96.1,True,102.0,True,candidate_only,93.0,True,5.900000000000006,5.900000000000006,True,False,False
56,60.999939,55.999944,65.999934,96.6,True,102.0,True,candidate_only,92.0,True,5.400000000000006,5.400000000000006,True,False,False
57,61.999938,56.999943,66.999933,97.0,True,,False,gap_or_filter_edge,91.0,True,,,False,False,True
58,62.999937,57.999942,67.999932,97.2,True,,False,gap_or_filter_edge,90.0,True,,,False,False,True
59,63.999936,58.999941,68.99993099999999,97.3,True,,False,gap_or_filter_edge,89.0,True,,,False,False,True
60,64.999935,59.99994,69.99992999999999,97.3,True,,False,gap_or_filter_edge,89.0,True,,,False,False,True
61,65.999934,60.999939,70.999929,97.2,True,,False,gap_or_filter_edge,89.0,True,,,False,False,True
62,66.999933,61.999938,71.999928,97.0,True,,False,gap_or_filter_edge,90.0,True,,,False,False,True
63,67.999932,62.999937,72.999927,96.7,True,,False,gap_or_filter_edge,,False,,,False,False,False
64,68.99993099999999,63.999936,73.999926,96.4,True,,False,gap_or_filter_edge,,False,,,False,False,False
