frame,time_s,source,rgb_valid,r,g,b,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,roi_status,roi_valid_regions,forehead_r,forehead_g,forehead_b,forehead_valid,forehead_quality,forehead_valid_pixel_fraction,forehead_visible_fraction,forehead_pixel_count,forehead_valid_pixels,forehead_brightness,forehead_laplacian_var,forehead_status,forehead_rgb_aggregation,left_cheek_r,left_cheek_g,left_cheek_b,left_cheek_valid,left_cheek_quality,left_cheek_valid_pixel_fraction,left_cheek_visible_fraction,left_cheek_pixel_count,left_cheek_valid_pixels,left_cheek_brightness,left_cheek_laplacian_var,left_cheek_status,left_cheek_rgb_aggregation,right_cheek_r,right_cheek_g,right_cheek_b,right_cheek_valid,right_cheek_quality,right_cheek_valid_pixel_fraction,right_cheek_visible_fraction,right_cheek_pixel_count,right_cheek_valid_pixels,right_cheek_brightness,right_cheek_laplacian_var,right_cheek_status,right_cheek_rgb_aggregation,face_detected,flow_available,bridge_age_frames,baseline_forehead_r,baseline_forehead_g,baseline_forehead_b,forehead_pixel_source,forehead_pixel_tracks,forehead_pixel_seeds,forehead_pixel_screen_rejected,forehead_pixel_color_rejected,forehead_pixel_fb_rejected,forehead_pixel_geometry_rejected,forehead_pixel_fb_error_median,forehead_pixel_reset,forehead_pixel_log_delta_r,forehead_pixel_log_delta_g,forehead_pixel_log_delta_b,baseline_left_cheek_r,baseline_left_cheek_g,baseline_left_cheek_b,left_cheek_pixel_source,left_cheek_pixel_tracks,left_cheek_pixel_seeds,left_cheek_pixel_screen_rejected,left_cheek_pixel_color_rejected,left_cheek_pixel_fb_rejected,left_cheek_pixel_geometry_rejected,left_cheek_pixel_fb_error_median,left_cheek_pixel_reset,left_cheek_pixel_log_delta_r,left_cheek_pixel_log_delta_g,left_cheek_pixel_log_delta_b,baseline_right_cheek_r,baseline_right_cheek_g,baseline_right_cheek_b,right_cheek_pixel_source,right_cheek_pixel_tracks,right_cheek_pixel_seeds,right_cheek_pixel_screen_rejected,right_cheek_pixel_color_rejected,right_cheek_pixel_fb_rejected,right_cheek_pixel_geometry_rejected,right_cheek_pixel_fb_error_median,right_cheek_pixel_reset,right_cheek_pixel_log_delta_r,right_cheek_pixel_log_delta_g,right_cheek_pixel_log_delta_b,baseline_r,baseline_g,baseline_b,pixel_mode,pixel_rgb_kind,unanchored_forehead_r,unanchored_forehead_g,unanchored_forehead_b,forehead_unanchored_pixel_source,forehead_anchor_correction_log,unanchored_left_cheek_r,unanchored_left_cheek_g,unanchored_left_cheek_b,left_cheek_unanchored_pixel_source,left_cheek_anchor_correction_log,unanchored_right_cheek_r,unanchored_right_cheek_g,unanchored_right_cheek_b,right_cheek_unanchored_pixel_source,right_cheek_anchor_correction_log,unanchored_r,unanchored_g,unanchored_b,anchor_hz,anchor_order,cdf_baseline_forehead_status,cdf_baseline_forehead_weight_fraction,cdf_baseline_left_cheek_status,cdf_baseline_left_cheek_weight_fraction,cdf_baseline_right_cheek_status,cdf_baseline_right_cheek_weight_fraction,cdf_tracked_forehead_status,cdf_tracked_forehead_weight_fraction,cdf_tracked_left_cheek_status,cdf_tracked_left_cheek_weight_fraction,cdf_tracked_right_cheek_status,cdf_tracked_right_cheek_weight_fraction,cdf_view_kind
0,0.0,mesh,True,169.74546088252134,129.835101051437,121.64179599843892,,,0.4272944474220275,0.1601485231518745,0.5481273603439331,0.4164837265014648,sampled,3,161.5250894715545,124.15491360479088,116.0912055587006,True,0.9983766233766234,0.9983766233766234,1.0,1848,1845,0.5102999448264154,157.16075018525706,sampled,trimmed_mean,165.4903303669891,124.55821399395232,114.73986153783159,True,1.0,1.0,1.0,1628,1628,0.5175859974948209,57.45845002503332,sampled,trimmed_mean,182.22096280902045,140.79217555556778,134.09432089878456,True,1.0,1.0,1.0,1628,1628,0.5977380329527389,39.30428568937029,sampled,trimmed_mean,True,False,0,162.45256395646152,121.74002365178121,110.21504497177013,baseline_reset,0,0,0,0,0,0,,True,,,,167.34973710817738,124.35393300543436,115.64501495054992,baseline_reset,0,0,0,0,0,0,,True,,,,183.8335100506487,142.22011232373112,134.5371821872849,baseline_reset,0,0,0,0,0,0,,True,,,,171.21193703842917,129.4380229936489,120.13241403653497,tracking_screened,anchored_paired_relative_colour,161.01218686526744,120.43195666892348,108.9268788083954,baseline_reset,0.0,167.79984662576686,123.3573619631902,115.22469325153374,baseline_reset,0.0,184.3604294478528,141.97162576687117,134.53374233128835,baseline_reset,0.0,171.0574876462957,128.5869814663283,119.56177146373916,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
1,0.0055555,mesh,True,169.765164974322,129.8264401126463,121.66003798956079,-6.606667130081743e-05,8.53527475286413e-06,0.4266778510808944,0.1588228955864906,0.5470685708522797,0.4159165209531784,sampled,3,161.5240397225252,124.1424012272201,116.07830960149637,True,1.0,1.0,1.0,1815,1815,0.5218458207745907,92.71004566313596,sampled,trimmed_mean,165.517554125906,124.55503236942943,114.75376041417951,True,1.0,1.0,1.0,1628,1628,0.5240171339788987,60.912137218771306,sampled,trimmed_mean,182.25390107453478,140.78188674128936,134.1480439530065,True,1.0,1.0,1.0,1628,1628,0.6008675338440044,36.64758383664668,sampled,trimmed_mean,True,True,0,162.45137272766885,121.74069760030187,110.21633368672327,tracked_ratio,57,60,3,0,0,0,0.0053184966091066,False,0.0102789220198623,0.0166517792344829,0.0236154945617434,167.3523217673199,124.35168424551472,115.64710503694577,tracked_ratio,62,63,1,0,0,0,0.0051741697825491,False,0.0007866039513416,0.0120023697146241,-0.0013477007961431,183.8419110066658,142.21894950210316,134.54053737607347,tracked_ratio,62,63,1,0,0,0,0.0136966817080974,False,0.0050795984392742,0.0056152072018971,0.0145944850740407,171.21520183388486,129.43711044930657,120.13465869991417,tracking_screened,anchored_paired_relative_colour,162.67575376837974,122.4541528802985,111.52985524002594,tracked_ratio,6.00899564892894e-13,167.93189057449464,124.84686352165484,115.06950943486824,tracked_ratio,5.397483029985215e-13,185.2992888932984,142.77106827944854,136.51159075885536,tracked_ratio,8.67459745869244e-14,171.96897774539093,130.02402822713395,121.03698514458318,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
2,0.011111,mesh,True,169.78466486328298,129.81785920240253,121.67786216620807,6.06607507776331e-05,-1.0893190348589862e-05,0.4268908894062042,0.1583727616071701,0.5475626564025879,0.415244950056076,sampled,3,161.52307676947294,124.13004140066782,116.06567678403906,True,1.0,1.0,1.0,1848,1848,0.5141277077497665,92.87709564192215,sampled,trimmed_mean,165.54429674094763,124.55189977000317,114.76652324911605,True,1.0,1.0,1.0,1628,1628,0.5207708507973214,50.08419547355664,sampled,trimmed_mean,182.28662107942841,140.7716364365366,134.20138646546914,True,1.0,1.0,1.0,1628,1628,0.5990588572529749,35.81286571296952,sampled,trimmed_mean,True,True,0,162.4502295082001,121.74132977375929,110.21767860479098,tracked_ratio,55,60,5,0,0,0,0.0081173321232199,False,-0.0061518660961012,-0.009576151396039,-0.0127551044654404,167.35474880147802,124.34945095664017,115.64920283549706,tracked_ratio,61,63,2,0,0,0,0.00391018204391,False,-0.0050221845453003,-0.0025265507847385,-0.0015628508745718,183.8503950485257,142.21783465420253,134.54386290106797,tracked_ratio,62,63,1,0,0,0,0.0093186609447002,False,-0.0081252481076472,-0.000574253797149,-0.0142148313818997,171.21845778606794,129.43620512820067,120.136914780452,tracking_screened,anchored_paired_relative_colour,161.67806628052276,121.28711018043072,110.11631438043418,tracked_ratio,4.966333118773697e-12,167.09061990549813,124.53182972268183,114.88981340703424,tracked_ratio,4.666232884363094e-12,183.7997863616348,142.68910498748426,134.58482826014912,tracked_ratio,7.284913637531759e-13,170.85615751588523,129.50268163019894,119.8636520158725,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
3,0.0166665,mesh,True,169.8038399932276,129.80940323655366,121.69516436516444,-3.35552074291088e-07,-4.178903720996998e-05,0.4269635438919067,0.1580510348081588,0.5471072721481323,0.4145562469959259,sampled,3,161.52221003625152,124.11790995759934,116.05338030622238,True,1.0,1.0,1.0,1904,1904,0.5186323550008238,91.03298401544626,sampled,trimmed_mean,165.57039011422097,124.5488277436515,114.77805974200317,True,1.0,1.0,1.0,1665,1665,0.5205792639698522,46.58964241559252,sampled,trimmed_mean,182.31891982921033,140.76147200841012,134.25405304726783,True,1.0,1.0,1.0,1665,1665,0.5993246776187954,36.04072842951062,sampled,trimmed_mean,True,True,0,162.4491417323147,121.74191630536215,110.21906760997028,tracked_ratio,59,60,1,0,0,0,0.0056809899397194,False,0.0013966985772669,0.0040584855081459,0.0062710449175778,167.35700351951257,124.3472290475948,115.6512810187839,tracked_ratio,61,63,2,0,0,0,0.0039415257051587,False,0.0043935743824094,-0.0051011119263102,0.0059226496564986,183.85890011584013,142.21675749208202,134.54714317502845,tracked_ratio,60,63,3,0,0,0,0.0077553084120154,False,0.0037844023872562,0.0017730346438661,-0.0013221672985622,171.22168178922246,129.43530094834634,120.13916393459421,tracking_screened,anchored_paired_relative_colour,161.90403957722796,121.78035239057547,110.80902848456468,tracked_ratio,2.1146433990164734e-11,167.82636005366004,123.89819641209554,115.572284544706,tracked_ratio,2.0392645200969684e-11,184.496676536619,142.94232212897592,134.40700218515673,tracked_ratio,3.0668578282560738e-12,171.409025389169,129.54029031054895,120.26277173814246,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
4,0.022222,mesh,True,169.82257321352708,129.80111631798658,121.71184557169478,-2.0357414528175635e-05,2.3036312173914026e-05,0.4268491774797439,0.1581205394864082,0.547556915283203,0.4139319801330566,sampled,3,161.52144871751423,124.10608139663556,116.04149210789531,True,1.0,1.0,1.0,1904,1904,0.5194481154226397,87.3696178717075,sampled,trimmed_mean,165.59567284983842,124.54582881138647,114.78829103216138,True,1.0,1.0,1.0,1628,1628,0.5236884641325817,56.04776647482628,sampled,trimmed_mean,182.35059807322858,140.75143874593766,134.30575357502767,True,1.0,1.0,1.0,1628,1628,0.6017939755263285,39.10051326763029,sampled,trimmed_mean,True,True,0,162.44811576788035,121.74245305359062,110.22048762085441,tracked_ratio,60,60,0,0,0,0,0.0028349445201456,False,0.0007059500369859,0.0020802982096727,-0.0019837556481521,167.35907281295212,124.34501391429161,115.65331230954878,tracked_ratio,59,63,4,0,0,0,0.0033998349681496,False,0.0019149948416968,0.0085731485313369,0.0037712036662435,183.8673641180772,142.21570686753148,134.5503630920586,tracked_ratio,60,63,3,0,0,0,0.005900181364268,False,0.0018285192103332,0.001959324239057,0.0053399041897927,171.22485089963655,129.43439127847122,120.14138767415393,tracking_screened,anchored_paired_relative_colour,162.01837609314106,122.03395553325012,110.58942833697452,tracked_ratio,6.369479074759255e-11,168.14805459084323,124.96496028143028,116.00895403516364,tracked_ratio,6.182874104249658e-11,184.8343408726902,143.22266703911333,135.1266423941274,tracked_ratio,8.806555695631136e-12,171.66692385222484,130.07386095126458,120.57500825542184,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
5,0.0277775,mesh,True,169.84075183537536,129.79304136769625,121.72781269223516,5.557978594744647e-05,-6.978114446004232e-05,0.4268427908420563,0.1582026985287666,0.5473541224002838,0.4142804205417633,sampled,3,161.52080168112417,124.09462816731586,116.03008214967511,True,1.0,1.0,1.0,1848,1848,0.5127977633477634,92.74836587379828,sampled,trimmed_mean,165.61999175127377,124.54291638203608,114.79715048795372,True,1.0,1.0,1.0,1628,1628,0.5174820108878931,58.2056818152581,sampled,trimmed_mean,182.3814620737282,140.74157955373678,134.3562054390767,True,1.0,1.0,1.0,1628,1628,0.5963969239292769,39.86159671194816,sampled,trimmed_mean,True,True,0,162.44715685377872,121.74293564108258,110.22192472811705,tracked_ratio,56,60,4,0,0,0,0.0044708342757076,False,-0.0054788845883264,-0.0107342097606832,-0.0130332670279943,167.36094529707336,124.34280057656608,115.6552697974902,tracked_ratio,59,63,4,0,0,0,0.0060831303708255,False,-0.0021300023184255,-0.0133053002917005,-0.0111122958907604,183.87572549516497,142.21467097595877,134.55350806748555,tracked_ratio,61,63,2,0,0,0,0.0122822159901261,False,-0.0029249550629922,-0.0078684863737352,-0.0050625724649364,171.22794254867233,129.4334690645358,120.14356753103094,tracking_screened,anchored_paired_relative_colour,161.13312342241733,120.73102294314768,109.15743880841526,tracked_ratio,1.5484238528962939e-10,167.79028001033487,123.31327640049122,114.72696432840272,tracked_ratio,1.4921575552276255e-10,184.2944986235784,142.1001435072314,134.44428268019857,tracked_ratio,2.0148919066187612e-11,171.07263401877685,128.71481428362344,119.44289527233884,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
6,0.033333,mesh,True,169.8582686405198,129.78521976824996,121.74297926275092,-0.000104718738132,2.546740902794732e-05,0.4268540626764298,0.1584195873141289,0.5473207485675811,0.4143245732784271,sampled,3,161.52027737007867,124.08361997489597,116.01921770431336,True,1.0,1.0,1.0,1848,1848,0.5213532934385875,91.81021543812864,sampled,trimmed_mean,165.64320323194818,124.54010465489196,114.80458436360342,True,1.0,1.0,1.0,1665,1665,0.5253547335570865,49.32709081187853,sampled,trimmed_mean,182.4113253195326,140.73193467496196,134.40513572033595,True,1.0,1.0,1.0,1665,1665,0.602136722604958,31.31638884638008,sampled,trimmed_mean,True,True,0,162.4462690516239,121.74335950020361,110.22336434216972,tracked_ratio,58,60,2,0,0,0,0.0082484139129519,False,0.0063308257940551,0.0171792751040617,0.0265637655227054,167.3626114346617,124.34058382099337,115.65712725479696,tracked_ratio,59,63,4,0,0,0,0.0077429446391761,False,0.0065407013930294,0.0116230632802269,0.0175242016871686,183.88392377027253,142.21363756772016,134.55656407017784,tracked_ratio,57,63,6,0,0,0,0.0190481822937726,False,0.0053174462758848,0.0096197360360589,0.003097958400665,171.23093475218604,129.4325269629724,120.14568522238152,tracking_screened,anchored_paired_relative_colour,162.15646503729874,122.82301238086872,112.09592728813656,tracked_ratio,3.24707186559487e-10,168.89134306550656,124.75491632150322,116.75518233615148,tracked_ratio,3.0865899614231137e-10,185.2770848283913,143.47370543769944,134.86143129605188,tracked_ratio,4.0883567038737575e-11,172.10829764373224,130.35054471335712,121.2375136401133,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
7,0.0388885,mesh,True,169.8750228317564,129.77769102341816,121.75726608642577,7.941457960340712e-05,-9.497669008043077e-05,0.4268583792448044,0.1577075400948524,0.5477392375469208,0.4140687745809555,sampled,3,161.51988370496548,124.07312311322498,116.00896266689564,True,1.0,1.0,1.0,1848,1848,0.5139357546048722,74.55461274313842,sampled,trimmed_mean,165.66517462379014,124.5374085111239,114.81055231646819,True,1.0,1.0,1.0,1628,1628,0.5173057016909958,44.11410233534158,sampled,trimmed_mean,182.44001016651356,140.72254144590556,134.4522832759135,True,1.0,1.0,1.0,1628,1628,0.5969969263381029,31.273215214934496,sampled,trimmed_mean,True,True,0,162.44545521232968,121.74371992477721,110.22479134931488,tracked_ratio,59,60,1,0,0,0,0.0097208111546933,False,-0.0078482373255812,-0.0200573449959643,-0.0273290809583867,167.36406364078798,124.33835834754711,115.65885944673833,tracked_ratio,63,63,0,0,0,0,0.0091315535828471,False,-0.0072652717218175,-0.0123688744263822,-0.0178526137253906,183.89190008931203,142.21259416396953,134.55951764805062,tracked_ratio,61,63,2,0,0,0,0.0094990096986293,False,-0.0066903665699454,-0.0128981489168099,-0.0026069815365083,171.2338063141432,129.43155747876463,120.14772281470128,tracking_screened,anchored_paired_relative_colour,160.8888035765807,120.38405016645358,109.0739308945994,tracked_ratio,6.107927691784615e-10,167.66874818647415,123.22134227149326,114.68929279843915,tracked_ratio,5.717115583849424e-10,184.0416505761585,141.63504337810204,134.51030791961884,tracked_ratio,7.820461086804132e-11,170.86640077973777,128.4134786053496,119.42451053755246,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
8,0.044444,mesh,True,169.89092091514726,129.77049243756048,121.77060179516013,-4.840250368471499e-05,4.141628742218018e-05,0.4269867569208145,0.157473277747631,0.5479407441616058,0.4138971227407455,sampled,3,161.51962798799204,124.06319983341731,115.9993768920021,True,1.0,1.0,1.0,1815,1815,0.5262434332631124,71.4236972267632,sampled,trimmed_mean,165.68578536964043,124.53484339499789,114.81502777914736,True,1.0,1.0,1.0,1628,1628,0.5236099195452137,41.64222202458059,sampled,trimmed_mean,182.46734938780938,140.7134340842662,134.4974007143309,True,1.0,1.0,1.0,1628,1628,0.6032391626921038,36.092879024761686,sampled,trimmed_mean,True,True,0,162.4447169578833,121.7440121273524,110.2261902746192,tracked_ratio,60,60,0,0,0,0,0.0158957326784729,False,0.0074428450581235,0.0223975353199675,0.0273231560982704,167.36529636714445,124.33611891786266,115.66044243364733,tracked_ratio,63,63,0,0,0,0,0.0072086113505065,False,0.0028327197373624,0.0126845198641172,0.0086711939627406,183.89959774187534,142.21152827405905,134.56235594760213,tracked_ratio,61,63,2,0,0,0,0.0135274566709995,False,0.0038739468744833,0.0119309429521261,0.0068198263698906,171.23653702230104,129.4305531064247,120.14966288528956,tracking_screened,anchored_paired_relative_colour,162.09074138308506,123.11077818805724,112.09526313741527,tracked_ratio,1.05876210241507e-09,168.14438010671384,124.7943008571226,115.68811011269456,tracked_ratio,9.750650480916543e-10,184.75600093747548,143.33500390131422,135.43078002697027,tracked_ratio,1.4349393362129495e-10,171.66370747575812,130.4133609821647,121.07138442569337,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
9,0.0499995,mesh,True,169.9058775046852,129.76365881813123,121.78292333021852,6.002496790002894e-05,4.804023989924679e-06,0.4265449351072312,0.1574701696634292,0.5474934005737304,0.4139934468269348,sampled,3,161.51951680964822,124.05390775561193,115.99051556570186,True,1.0,1.0,1.0,1848,1848,0.5143776419658772,75.14575934126985,sampled,trimmed_mean,165.70492808666253,124.53242518605805,114.81799818251515,True,1.0,1.0,1.0,1628,1628,0.5202502673796792,51.69760545432624,sampled,trimmed_mean,182.4931876177449,140.7046435127237,134.54025624243855,True,1.0,1.0,1.0,1672,1672,0.5956519420208275,30.81713448217046,sampled,trimmed_mean,True,True,0,162.44405467849526,121.74423130129043,110.22754544965666,tracked_ratio,57,60,3,0,0,0,0.0149690057151019,False,-0.0024873766847401,-0.0203218634093092,-0.0215185875552768,167.36630616470748,124.33386050284894,115.66185386069871,tracked_ratio,59,63,4,0,0,0,0.0057782479561865,False,-0.004498448508574,-0.009084587738413,-0.0054940949592557,183.90696265854845,142.21042761152472,134.56506672839927,tracked_ratio,63,63,0,0,0,0,0.0191585570573806,False,-0.0026050153702829,-0.010463363714531,-0.0085492093765941,171.23910783391705,129.42950647188803,120.15148867958487,tracking_screened,anchored_paired_relative_colour,161.68806166784046,120.63418746955438,109.70889907807091,tracked_ratio,1.7244496351076914e-09,167.38969001072715,123.66573014327606,115.05425148424824,tracked_ratio,1.560592507259534e-09,184.27533505810396,141.84305662770802,134.27788910737422,tracked_ratio,2.516944751242641e-10,171.11769557889053,128.71432474684616,119.68034655656446,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
