window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,old_motion_risk_direct,old_motion_risk_double,old_motion_risk_half,candidate_motion_risk_direct,candidate_motion_risk_double,candidate_motion_risk_half,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
0,4.999995,0.0,9.99999,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
1,5.999994,0.999999,10.999989,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
2,6.999993,1.999998,11.999988,True,182.0,92.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,2.0267701840534227,0.9850130591848902,0.7333333333333333,0.718709127861667,0.718709127861667,0.0019531296004053258,0.06885176622856175,0.06930244221220272,0.718970695641555,0.004432159993944617,0.5751765565132441,0.1435325713484229,False,insufficient_motion_risk_decrease
3,7.999992,2.999997,12.999986999999999,True,182.0,92.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,2.026081290109001,0.9850030188111968,0.52,0.5106340761965937,0.5106340761965937,0.001471441323672131,0.04607807191799693,0.04613425786885839,0.4807070330748887,0.0013189509246243466,0.384565626459911,0.12606844973668274,False,insufficient_motion_risk_decrease
4,8.999991,3.999996,13.999986,True,182.0,91.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,2.013713705986231,0.9848210445708543,0.62,0.6105890476339296,0.6105890476339296,0.0017715177537977987,0.05558488714866742,0.05558488714866742,0.6105890476339296,0.0010729035118008932,0.4884712381071437,0.12211780952678591,False,insufficient_motion_risk_decrease
5,9.99999,4.999995,14.999984999999999,True,182.0,90.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9861716000508176,0.98440376579126,0.72,0.7085997130501624,0.7085997130501624,0.002007558680990599,0.06355102351305247,0.0614665248354289,0.6465068083270347,0.0007970508853973452,0.5172054466616277,0.19139426638853474,False,insufficient_motion_risk_decrease
6,10.999989,5.999994,15.999984,True,182.0,89.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9703045201642007,0.9841555540359195,0.82,0.8020484990697796,0.8020484990697796,0.0021454011777053694,0.07017766967177815,0.06170106878666487,0.49473329065524796,0.0006525676089366164,0.3957866325241984,0.4062618665455812,True,lower_motion_risk_component
7,11.999988,6.999993,16.999983,True,182.0,90.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9709289912380479,0.9841654338256746,0.92,0.8938892594692005,0.8938892594692005,0.0023390054955329956,0.0766255165829529,0.07252087747438675,0.7298847872017422,0.0006444486671561263,0.5839078297613938,0.30998142970780673,True,lower_motion_risk_component
8,12.999986999999999,7.999992,17.999982,True,183.0,90.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.972872992798886,0.9841961312033859,1.0,0.9841961312033859,0.9841961312033859,0.0027454350656780013,0.08198264230686475,0.0759506720830087,0.7431209363398145,0.000553364855278291,0.5944967490718516,0.3896993821315343,True,lower_motion_risk_component
9,13.999986,8.999991,18.999981,True,183.0,90.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9718157816517645,0.9841794479975304,0.9533333333333334,0.9382510737576457,0.9382510737576457,0.0027286665951689053,0.07587268663927949,0.07058076240358982,0.7075334343381807,0.0003362788040257874,0.5660267474705446,0.3722243262871011,True,lower_motion_risk_component
10,14.999984999999999,9.99999,19.99998,True,183.0,90.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9470178534827844,0.9837804670247869,0.8533333333333334,0.839492665194485,0.839492665194485,0.002481441267817163,0.06653393159018281,0.06263599295340293,0.666886900281562,0.00025419393228870267,0.5335095202252496,0.3059831449692354,True,lower_motion_risk_component
11,15.999984,10.999989,20.999979,True,183.0,90.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9276165044580922,0.9834577547863812,0.7533333333333333,0.7408715086057405,0.7408715086057405,0.0022447683995156353,0.05790572061944445,0.055140438266568746,0.6243217501774132,0.0002633168578990991,0.4994574001419306,0.2414141084638099,False,insufficient_motion_risk_decrease
12,16.999983,11.999988,21.999978,True,183.0,91.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.893385889098336,0.9828645537909255,0.9966666666666667,0.9785716505227516,0.9785716505227516,0.0031571621542093205,0.07878483300729187,0.07859697199814737,0.9740255502220238,0.001614441953623879,0.779220440177619,0.1993512103451326,False,insufficient_motion_risk_decrease
13,17.999982,12.999986999999999,22.999976999999998,True,182.0,91.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.917544934123097,0.9832864398720768,0.95,0.9339516352933859,0.9339516352933859,0.0030023465450511257,0.0746260583970388,0.0746260583970388,0.9339516352933859,0.0012799992814752862,0.7471613082347087,0.18679032705867715,False,insufficient_motion_risk_decrease
14,18.999981,13.999986,23.999976,True,181.0,91.0,False,True,0,[],True,True,False,not_evaluated,,,,,,,,,,,,,False,candidate_not_generated_and_supported
15,19.99998,14.999984999999999,24.999975,True,181.0,91.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9200102123274676,0.9833286174012733,0.75,0.7354091712653197,0.7354091712653197,0.001810279640504295,0.05906215371025747,0.05886676178051507,0.737496463050955,0.0014234716897010883,0.5899971704407639,0.14541200082455574,False,insufficient_motion_risk_decrease
16,20.999979,15.999984,25.999973999999998,True,181.0,92.0,False,True,0,[],True,True,False,not_evaluated,,,,,,,,,,,,,False,candidate_not_generated_and_supported
17,21.999978,16.999983,26.999972999999997,True,181.0,94.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8934532704136093,0.9828657524530463,0.84,0.8240794763147061,0.8240794763147061,0.0014831520386087624,0.05469842475738544,0.05040911634879042,0.6186756759214365,0.0016489278026832889,0.4949405407371492,0.3291389355775569,True,lower_motion_risk_component
18,22.999976999999998,17.999982,27.999972,True,182.0,96.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8715226838191215,0.9824689209678493,0.94,0.9226890701598924,0.9226890701598924,0.001960021909079314,0.06430512730972153,0.05259476618983965,0.36996114146429604,0.001206665308760239,0.29596891317143686,0.6267201569884555,True,lower_motion_risk_component
