case,window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,accepted,status,output_bpm,error_bpm,local_peak_bpm,local_error_bpm,candidate_count,min_candidate_peak_error_bpm,min_candidate_supported_state_error_bpm,oracle_peak_within5,oracle_peak_within10,oracle_supported_within5,oracle_supported_within10,roi_same_near_grid_max_physical_rois,failure_class
data1,0,4.999995,0.0,9.99999,101.3,True,False,gap_or_filter_edge,,,,,0,inf,inf,False,False,False,False,0,no_valid_output_or_reference
data1,1,5.999994,0.999999,10.999989,101.4,True,False,gap_or_filter_edge,,,,,0,inf,inf,False,False,False,False,0,no_valid_output_or_reference
data1,2,6.999993,1.999998,11.999988,101.4,True,False,gap_or_filter_edge,,,,,0,inf,inf,False,False,False,False,0,no_valid_output_or_reference
data1,3,7.999992,2.999997,12.999987,101.3,True,False,gap_or_filter_edge,,,,,0,inf,inf,False,False,False,False,1,no_valid_output_or_reference
data1,4,8.999991,3.999996,13.999986,101.2,True,True,candidate_only,92.0,-9.200000000000003,91.0,-10.200000000000003,4,10.200000000000003,7.200000000000003,False,False,False,True,2,wrong_no_supported_state_within5
data1,5,9.99999,4.999995,14.999985,101.2,True,True,candidate_only,92.0,-9.200000000000003,92.0,-9.200000000000003,6,9.200000000000003,6.200000000000003,False,True,False,True,2,wrong_no_supported_state_within5
data1,6,10.999989,5.999994,15.999984,101.3,True,True,candidate_only,93.0,-8.299999999999997,93.0,-8.299999999999997,5,8.299999999999997,5.299999999999997,False,True,False,True,2,wrong_no_supported_state_within5
data1,7,11.999988,6.999993,16.999983,101.4,True,True,candidate_only,94.0,-7.400000000000006,94.0,-7.400000000000006,6,7.400000000000006,4.400000000000006,False,True,True,True,3,wrong_supported_near_state_on_same_selected_peak
data1,8,12.999987,7.999992,17.999982,101.5,True,True,candidate_only,94.0,-7.5,95.0,-6.5,6,6.5,3.5,False,True,True,True,3,wrong_supported_near_state_on_same_selected_peak
data1,9,13.999986,8.999991,18.999981,101.7,True,True,candidate_only,94.0,-7.700000000000003,95.0,-6.700000000000003,6,6.700000000000003,3.700000000000003,False,True,True,True,3,wrong_supported_near_state_on_same_selected_peak
data1,10,14.999985,9.99999,19.99998,101.9,True,True,candidate_only,94.0,-7.900000000000006,95.0,-6.900000000000006,5,6.900000000000006,3.9000000000000057,False,True,True,True,3,wrong_supported_near_state_on_same_selected_peak
data1,11,15.999984,10.999989,20.999979,102.2,True,True,candidate_only,94.0,-8.200000000000003,94.0,-8.200000000000003,4,8.200000000000003,5.200000000000003,False,True,False,True,3,wrong_no_supported_state_within5
data1,12,16.999983,11.999988,21.999978,102.6,True,True,candidate_only,93.0,-9.599999999999994,93.0,-9.599999999999994,4,9.599999999999994,6.599999999999994,False,True,False,True,3,wrong_no_supported_state_within5
data1,13,17.999982,12.999987,22.999977,103.0,True,True,candidate_only,93.0,-10.0,93.0,-10.0,4,10.0,7.0,False,True,False,True,3,wrong_no_supported_state_within5
data1,14,18.999981,13.999986,23.999976,103.4,True,True,candidate_only,92.0,-11.400000000000006,92.0,-11.400000000000006,4,11.400000000000006,8.400000000000006,False,False,False,True,3,wrong_no_supported_state_within5
data1,15,19.99998,14.999985,24.999975,103.7,True,True,candidate_only,92.0,-11.700000000000003,92.0,-11.700000000000003,6,11.700000000000003,8.700000000000003,False,False,False,True,2,wrong_no_supported_state_within5
data1,16,20.999979,15.999984,25.999974,103.9,True,True,candidate_only,92.0,-11.900000000000006,91.0,-12.900000000000006,5,12.900000000000006,9.900000000000006,False,False,False,True,3,wrong_no_supported_state_within5
data1,17,21.999978,16.999983,26.999973,104.1,True,True,candidate_only,92.0,-12.099999999999994,91.0,-13.099999999999994,6,0.09999999999999432,0.09999999999999432,True,True,True,True,2,wrong_other_near_candidate_local_scoring_also_wrong
data1,18,22.999977,17.999982,27.999972,104.3,True,True,candidate_only,92.0,-12.299999999999997,91.0,-13.299999999999997,5,13.299999999999997,10.299999999999997,False,False,False,False,2,wrong_no_supported_state_within5
data1,19,23.999976,18.999981,28.999971,104.5,True,True,candidate_only,92.0,-12.5,92.0,-12.5,4,12.5,9.5,False,False,False,True,2,wrong_no_supported_state_within5
data1,20,24.999975,19.99998,29.99997,104.7,True,True,candidate_only,93.0,-11.700000000000003,93.0,-11.700000000000003,4,11.700000000000003,8.700000000000003,False,False,False,True,2,wrong_no_supported_state_within5
data1,21,25.999974,20.999979,30.999969,104.9,True,True,candidate_only,94.0,-10.900000000000006,94.0,-10.900000000000006,4,10.900000000000006,7.900000000000006,False,False,False,True,2,wrong_no_supported_state_within5
data1,22,26.999973,21.999978,31.999968,105.1,True,True,candidate_only,94.0,-11.099999999999994,94.0,-11.099999999999994,7,0.9000000000000057,0.09999999999999432,True,True,True,True,3,wrong_other_near_candidate_local_scoring_also_wrong
data1,23,27.999972,22.999977,32.999967,105.4,True,True,candidate_only,94.0,-11.400000000000006,94.0,-11.400000000000006,7,0.5999999999999943,0.4000000000000057,True,True,True,True,3,wrong_other_near_candidate_local_scoring_also_wrong
data1,24,28.999971,23.999976,33.999966,105.8,True,True,candidate_only,94.0,-11.799999999999997,94.0,-11.799999999999997,4,11.799999999999997,8.799999999999997,False,False,False,True,2,wrong_no_supported_state_within5
data1,25,29.99997,24.999975,34.999965,106.3,True,True,candidate_only,94.0,-12.299999999999997,93.0,-13.299999999999997,4,11.700000000000003,9.700000000000003,False,False,False,True,2,wrong_no_supported_state_within5
data1,26,30.999969,25.999974,35.999964,106.9,True,True,candidate_only,94.0,-12.900000000000006,93.0,-13.900000000000006,3,13.099999999999994,10.099999999999994,False,False,False,False,1,wrong_no_supported_state_within5
data1,27,31.999968,26.999973,36.999963,107.5,True,True,candidate_only,94.0,-13.5,94.0,-13.5,4,13.5,10.5,False,False,False,False,2,wrong_no_supported_state_within5
data1,28,32.999967,27.999972,37.999962,108.3,True,True,candidate_only,95.0,-13.299999999999997,95.0,-13.299999999999997,3,13.299999999999997,10.299999999999997,False,False,False,False,2,wrong_no_supported_state_within5
data1,29,33.999966,28.999971,38.999961,109.1,True,True,candidate_only,95.0,-14.099999999999994,96.0,-13.099999999999994,3,13.099999999999994,10.099999999999994,False,False,False,False,1,wrong_no_supported_state_within5
data1,30,34.999965,29.99997,39.99996,110.0,True,True,candidate_only,95.0,-15.0,96.0,-14.0,3,14.0,11.0,False,False,False,False,3,wrong_no_supported_state_within5
data1,31,35.999964,30.999969,40.999959,110.9,True,True,candidate_only,95.0,-15.900000000000006,96.0,-14.900000000000006,4,14.900000000000006,11.900000000000006,False,False,False,False,3,wrong_no_supported_state_within5
data1,32,36.999963,31.999968,41.999958,111.7,True,True,candidate_only,95.0,-16.700000000000003,95.0,-16.700000000000003,5,5.299999999999997,3.299999999999997,False,True,True,True,3,wrong_other_near_candidate_local_scoring_also_wrong
data1,33,37.999962,32.999967,42.999957,112.4,True,True,candidate_only,95.0,-17.400000000000006,95.0,-17.400000000000006,4,17.400000000000006,14.400000000000006,False,False,False,False,3,wrong_no_supported_state_within5
data1,34,38.999961,33.999966,43.999956,112.9,True,True,candidate_only,94.0,-18.900000000000006,94.0,-18.900000000000006,2,18.900000000000006,15.900000000000006,False,False,False,False,3,wrong_no_supported_state_within5
data1,35,39.99996,34.999965,44.999955,113.3,True,True,candidate_only,94.0,-19.299999999999997,93.0,-20.299999999999997,2,20.299999999999997,17.299999999999997,False,False,False,False,3,wrong_no_supported_state_within5
data1,36,40.999959,35.999964,45.999954,113.7,True,True,candidate_only,94.0,-19.700000000000003,93.0,-20.700000000000003,5,7.700000000000003,4.700000000000003,False,True,True,True,3,wrong_other_near_candidate_local_scoring_also_wrong
data1,37,41.999958,36.999963,46.999953,114.0,True,True,candidate_only,94.0,-20.0,93.0,-21.0,5,7.0,4.0,False,True,True,True,3,wrong_other_near_candidate_local_scoring_also_wrong
data1,38,42.999957,37.999962,47.999952,114.3,True,True,candidate_only,94.0,-20.299999999999997,94.0,-20.299999999999997,5,6.299999999999997,3.299999999999997,False,True,True,True,2,wrong_other_near_candidate_local_scoring_also_wrong
data1,39,43.999956,38.999961,48.999951,114.6,True,True,candidate_only,94.0,-20.599999999999994,94.0,-20.599999999999994,5,3.5999999999999943,0.5999999999999943,True,True,True,True,2,wrong_other_near_candidate_local_scoring_also_wrong
data1,40,44.999955,39.99996,49.99995,114.9,True,True,candidate_only,94.0,-20.900000000000006,94.0,-20.900000000000006,5,4.900000000000006,1.9000000000000057,True,True,True,True,2,wrong_other_near_candidate_local_scoring_also_wrong
data1,41,45.999954,40.999959,50.999949,115.2,True,False,gap_or_filter_edge,,,,,0,inf,inf,False,False,False,False,0,no_valid_output_or_reference
data2,0,4.999995,0.0,9.99999,76.5,True,False,gap_or_filter_edge,,,,,0,inf,inf,False,False,False,False,0,no_valid_output_or_reference
data2,1,5.999994,0.999999,10.999989,77.1,True,False,gap_or_filter_edge,,,,,0,inf,inf,False,False,False,False,0,no_valid_output_or_reference
data2,2,6.999993,1.999998,11.999988,77.8,True,True,candidate_only,75.0,-2.799999999999997,103.0,25.200000000000003,8,3.799999999999997,0.7999999999999972,True,True,True,True,3,within5_output
data2,3,7.999992,2.999997,12.999987,78.4,True,True,candidate_only,76.0,-2.4000000000000057,97.0,18.599999999999994,6,2.4000000000000057,0.4000000000000057,True,True,True,True,2,within5_output
data2,4,8.999991,3.999996,13.999986,79.0,True,True,candidate_only,77.0,-2.0,78.0,-1.0,7,1.0,0.0,True,True,True,True,3,within5_output
data2,5,9.99999,4.999995,14.999985,79.5,True,True,candidate_only,77.0,-2.5,78.0,-1.5,8,1.5,0.5,True,True,True,True,2,within5_output
data2,6,10.999989,5.999994,15.999984,79.8,True,True,candidate_only,77.0,-2.799999999999997,78.0,-1.7999999999999972,8,1.7999999999999972,0.20000000000000284,True,True,True,True,3,within5_output
data2,7,11.999988,6.999993,16.999983,80.1,True,True,candidate_only,76.0,-4.099999999999994,59.0,-21.099999999999994,8,4.099999999999994,1.0999999999999943,True,True,True,True,3,within5_output
data2,8,12.999987,7.999992,17.999982,80.2,True,True,candidate_only,76.0,-4.200000000000003,62.0,-18.200000000000003,8,4.200000000000003,1.2000000000000028,True,True,True,True,3,within5_output
data2,9,13.999986,8.999991,18.999981,80.1,True,True,candidate_only,76.0,-4.099999999999994,75.0,-5.099999999999994,8,5.099999999999994,2.0999999999999943,False,True,True,True,3,within5_output
data2,10,14.999985,9.99999,19.99998,79.9,True,True,candidate_only,77.0,-2.9000000000000057,76.0,-3.9000000000000057,6,3.9000000000000057,0.9000000000000057,True,True,True,True,3,within5_output
