frame,time_s,source,rgb_valid,r,g,b,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,roi_status,roi_valid_regions,forehead_r,forehead_g,forehead_b,forehead_valid,forehead_quality,forehead_valid_pixel_fraction,forehead_visible_fraction,forehead_pixel_count,forehead_valid_pixels,forehead_brightness,forehead_laplacian_var,forehead_status,forehead_rgb_aggregation,left_cheek_r,left_cheek_g,left_cheek_b,left_cheek_valid,left_cheek_quality,left_cheek_valid_pixel_fraction,left_cheek_visible_fraction,left_cheek_pixel_count,left_cheek_valid_pixels,left_cheek_brightness,left_cheek_laplacian_var,left_cheek_status,left_cheek_rgb_aggregation,right_cheek_r,right_cheek_g,right_cheek_b,right_cheek_valid,right_cheek_quality,right_cheek_valid_pixel_fraction,right_cheek_visible_fraction,right_cheek_pixel_count,right_cheek_valid_pixels,right_cheek_brightness,right_cheek_laplacian_var,right_cheek_status,right_cheek_rgb_aggregation,face_detected,flow_available,bridge_age_frames,baseline_forehead_r,baseline_forehead_g,baseline_forehead_b,forehead_pixel_source,forehead_pixel_tracks,forehead_pixel_seeds,forehead_pixel_screen_rejected,forehead_pixel_color_rejected,forehead_pixel_fb_rejected,forehead_pixel_geometry_rejected,forehead_pixel_fb_error_median,forehead_pixel_reset,forehead_pixel_log_delta_r,forehead_pixel_log_delta_g,forehead_pixel_log_delta_b,baseline_left_cheek_r,baseline_left_cheek_g,baseline_left_cheek_b,left_cheek_pixel_source,left_cheek_pixel_tracks,left_cheek_pixel_seeds,left_cheek_pixel_screen_rejected,left_cheek_pixel_color_rejected,left_cheek_pixel_fb_rejected,left_cheek_pixel_geometry_rejected,left_cheek_pixel_fb_error_median,left_cheek_pixel_reset,left_cheek_pixel_log_delta_r,left_cheek_pixel_log_delta_g,left_cheek_pixel_log_delta_b,baseline_right_cheek_r,baseline_right_cheek_g,baseline_right_cheek_b,right_cheek_pixel_source,right_cheek_pixel_tracks,right_cheek_pixel_seeds,right_cheek_pixel_screen_rejected,right_cheek_pixel_color_rejected,right_cheek_pixel_fb_rejected,right_cheek_pixel_geometry_rejected,right_cheek_pixel_fb_error_median,right_cheek_pixel_reset,right_cheek_pixel_log_delta_r,right_cheek_pixel_log_delta_g,right_cheek_pixel_log_delta_b,baseline_r,baseline_g,baseline_b,pixel_mode,pixel_rgb_kind,unanchored_forehead_r,unanchored_forehead_g,unanchored_forehead_b,forehead_unanchored_pixel_source,forehead_anchor_correction_log,unanchored_left_cheek_r,unanchored_left_cheek_g,unanchored_left_cheek_b,left_cheek_unanchored_pixel_source,left_cheek_anchor_correction_log,unanchored_right_cheek_r,unanchored_right_cheek_g,unanchored_right_cheek_b,right_cheek_unanchored_pixel_source,right_cheek_anchor_correction_log,unanchored_r,unanchored_g,unanchored_b,anchor_hz,anchor_order,cdf_baseline_forehead_status,cdf_baseline_forehead_weight_fraction,cdf_baseline_left_cheek_status,cdf_baseline_left_cheek_weight_fraction,cdf_baseline_right_cheek_status,cdf_baseline_right_cheek_weight_fraction,cdf_tracked_forehead_status,cdf_tracked_forehead_weight_fraction,cdf_tracked_left_cheek_status,cdf_tracked_left_cheek_weight_fraction,cdf_tracked_right_cheek_status,cdf_tracked_right_cheek_weight_fraction,cdf_view_kind
0,0.0,mesh,True,187.86917703571342,146.12625507181278,131.77856293759336,,,0.4534476733207703,0.2924748468399047,0.5343361592292786,0.4675975370407104,sampled,3,171.90312622513233,131.78458984108462,122.26512351591383,True,1.0,1.0,1.0,7616,7616,0.5528469990937551,10.629081311180071,sampled,trimmed_mean,192.08783585467276,148.21169293079646,131.77305015652573,True,1.0,1.0,1.0,6825,6825,0.602825311786253,6.740198863335,sampled,trimmed_mean,199.61656902733526,158.38248244355722,141.29751514034052,True,1.0,1.0,1.0,6825,6825,0.6450072041944982,5.26517618671656,sampled,trimmed_mean,True,False,0,172.18520006174745,132.1034370881029,120.42638664028676,baseline_reset,0,0,0,0,0,0,,True,,,,193.34216435604816,149.98232841138264,134.13877764173296,baseline_reset,0,0,0,0,0,0,,True,,,,200.4106178650673,159.5841551221185,142.4510294628277,baseline_reset,0,0,0,0,0,0,,True,,,,188.64599409428766,147.223306873868,132.33873124828247,tracking_screened,anchored_paired_relative_colour,171.6437479488021,131.0077125041024,118.74647193961272,baseline_reset,0.0,188.34554110968688,142.78117560886284,126.57315509979856,baseline_reset,0.0,197.346822926204,154.03772202893242,136.9578831715803,baseline_reset,0.0,185.77870399489765,142.6088700472992,127.4258367369972,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
1,0.0333332999999999,mesh,True,187.85111200395568,146.04284192509132,131.7407954562219,-0.0007367098772967,-6.915551644784433e-05,0.4532640528678894,0.2938099694252014,0.5326792585849762,0.4552561777830123,sampled,3,171.9432282085833,131.72801731585213,122.23201195421571,True,1.0,1.0,1.0,6867,6867,0.5494107778891374,12.26388962119544,sampled,trimmed_mean,192.03077392192068,148.08457161678626,131.7318960855355,True,1.0,1.0,1.0,6059,6059,0.6200907734078942,5.753988894950599,sampled,trimmed_mean,199.57933388136297,158.31593684263552,141.25847832891438,True,1.0,1.0,1.0,6059,6059,0.6548781770110256,5.004735936986088,sampled,trimmed_mean,True,True,0,172.16518255487074,132.07861424652936,120.40741869636794,tracked_ratio,24,28,4,0,0,0,0.0007416542212013,False,0.0024837319878757,-0.0022529690155916,0.0034866821746635,193.33832406059776,149.97033169250054,134.1293947065324,tracked_ratio,16,20,0,0,0,4,0.0007990112062543,False,0.0003934650031078,0.0015993099804421,0.0086766366467395,200.41029388267222,159.56524841596263,142.44332771970537,tracked_ratio,16,20,0,0,0,4,0.0015868470072746,False,-0.0024454077184381,0.0015061844543006,-0.0024349233166745,188.63793349938024,147.20473145166417,132.32671370753522,tracking_screened,anchored_paired_relative_colour,172.07059488336188,130.71288842649042,119.16122578386812,tracked_ratio,7.568865281655562e-10,188.41966306984733,143.00970966772206,127.67616265381815,tracked_ratio,2.993561981924249e-09,196.86481907038495,154.2699060633256,136.62480690059596,tracked_ratio,2.169518830901716e-09,185.7850256745314,142.66416805251268,127.82073177942742,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
2,0.0666665999999999,mesh,True,187.84169338464937,145.9896970815065,131.72196309177522,-0.0007587132630524,-7.792744371626112e-05,0.451585550904274,0.294550050497055,0.5309010398387909,0.4540123587846756,sampled,3,171.96516016066408,131.7041064343256,122.2264122362554,True,1.0,1.0,1.0,6820,6820,0.5464636254384452,15.43573810498112,sampled,trimmed_mean,192.00319318254398,147.99412094953058,131.70204217348123,True,1.0,1.0,1.0,6059,6059,0.6245392749078506,5.804418618481176,sampled,trimmed_mean,199.5567268107401,158.27086386066333,141.23743486558905,True,1.0,1.0,1.0,6059,6059,0.6497413764647632,5.473750457401491,sampled,trimmed_mean,True,True,0,172.15296120206122,132.06834405710043,120.38771242365398,tracked_ratio,21,21,0,0,0,0,0.0010075423633679,False,0.0010174424121711,-0.0002090096568254,-0.0007124497855302,193.34011456477728,149.96338152710814,134.1267279854867,tracked_ratio,19,20,1,0,0,0,0.0009862718579825,False,-0.0018034381836147,0.0010224502698954,-0.0041854242485254,200.41068865194688,159.56271309729092,142.43438497068803,tracked_ratio,19,20,1,0,0,0,0.0026338277384638,False,-0.0019377985418049,0.0011282158329666,-0.0019404654993221,188.63458813959514,147.1981462271665,132.31627512660955,tracking_screened,anchored_paired_relative_colour,172.2457558974957,130.6855710254375,119.07635962914148,tracked_ratio,6.915447670872011e-09,188.0801660778573,143.1560047609535,127.14290048934888,tracked_ratio,2.7369772904111738e-08,196.48370409234127,154.4440540336729,136.35994823411443,tracked_ratio,1.9024369119517296e-08,185.60320868923145,142.76187660668796,127.5264027842016,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
3,0.0999998999999999,mesh,True,187.84363861309689,145.9740863555554,131.72537920039701,-0.000744558263708,-8.620972986574526e-05,0.4515426194667816,0.2953115385770798,0.5305281567573547,0.4538157713413239,sampled,3,171.97125693436257,131.71260720938747,122.25158159328123,True,1.0,1.0,1.0,6820,6820,0.5469729894773159,16.36528144195646,sampled,trimmed_mean,192.00677240134016,147.9535027881634,131.68706211156916,True,1.0,1.0,1.0,5986,5986,0.6224898711372286,5.545934821158934,sampled,trimmed_mean,199.55288650358796,158.25614906911525,141.23749389634062,True,1.0,1.0,1.0,5986,5986,0.6503480729545409,5.013179226032846,sampled,trimmed_mean,True,True,0,172.15210231879374,132.07479172469297,120.37497056484632,tracked_ratio,21,21,0,0,0,0,0.0014160288264974,False,-0.0023980560568487,0.0018556232271075,0.0041292365286877,193.34702513322526,149.9627659409001,134.1311746423216,tracked_ratio,19,20,1,0,0,0,0.00132076384034,False,-0.0010767452878961,-0.001913622244299,-0.0002809694146281,200.41089686329846,159.5769155594946,142.42846680523402,tracked_ratio,20,20,0,0,0,0,0.0010650533367879,False,0.0013602424916625,0.0019965223092971,-0.0006275175080674,188.6366747717725,147.20482440836258,132.31153733746734,tracking_screened,anchored_paired_relative_colour,171.83319578814192,130.92829934298246,119.56907064309932,tracked_ratio,3.193810528405256e-08,187.8777606343954,142.88232019379404,127.10718224112688,tracked_ratio,1.2612190660824144e-07,196.7511514309468,154.75271305286947,136.27440682137245,tracked_ratio,8.419028542291569e-08,185.4873692844947,142.85444419654866,127.6502199018662,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
4,0.1333331999999999,mesh,True,187.8554350659327,145.99221388246906,131.74720142509696,-0.0007212886103877,-0.0001161133801495,0.4509533667564392,0.2947781133651733,0.5300856375694275,0.453674800992012,sampled,3,171.96593871895809,131.7425964937993,122.29985032503592,True,1.0,1.0,1.0,6820,6820,0.5472473382784199,14.1093261207554,sampled,trimmed_mean,192.03479843020065,147.96282149261282,131.68641692142137,True,1.0,1.0,1.0,5986,5986,0.6246313587914283,5.374695673114675,sampled,trimmed_mean,199.56556804863934,158.271223660995,141.25533702883357,True,1.0,1.0,1.0,5986,5986,0.6505522637788828,5.160862191527448,sampled,trimmed_mean,True,True,0,172.16133769559787,132.09352468683167,120.37450275048336,tracked_ratio,21,21,0,0,0,0,0.000885009765625,False,-5.655152122894487e-06,0.000175409146017,-0.0074445846512805,193.35715816706545,149.96812261446902,134.14104450892364,tracked_ratio,19,20,1,0,0,0,0.000816962274257,False,0.0048301499148857,-0.0003694742482544,0.0052265527932753,200.41061860625638,159.60160452669416,142.4291579728892,tracked_ratio,20,20,0,0,0,0,0.0012216920731589,False,0.0013201948776133,-8.524841353161629e-05,0.0027321189506048,188.64303815630657,147.22108394266493,132.31490174409873,tracking_screened,anchored_paired_relative_colour,171.83222404802763,130.9512673785025,118.68223373707193,tracked_ratio,1.0133964094352422e-07,188.7874335436136,142.82953860727054,127.77325375222554,tracked_ratio,3.991982294167311e-07,197.0110728289279,154.7395211918926,136.64723378262156,tracked_ratio,2.569502862676881e-07,185.8769101401897,142.84010905922187,127.70090709063966,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
5,0.1666665,mesh,True,187.87181501174004,146.03133235272,131.77813960702755,-0.0005794330879493,-6.329406190801549e-05,0.4508017468452454,0.2950249767303466,0.529685800075531,0.453557606935501,sampled,3,171.95339479937357,131.77720514389708,122.3555182037725,True,1.0,1.0,1.0,6649,6649,0.5464996511343295,15.180773718089368,sampled,trimmed_mean,192.07452701615344,148.00999224702213,131.6960604741642,True,1.0,1.0,1.0,5986,5986,0.624363200408797,5.5532265915939005,sampled,trimmed_mean,199.58752321969305,158.3067996672407,141.28284014314593,True,1.0,1.0,1.0,5986,5986,0.6504024737459301,5.73219964285415,sampled,trimmed_mean,True,True,0,172.17519659067744,132.11525022458284,120.38704750839584,tracked_ratio,21,21,0,0,0,0,0.0010838037123903,False,-0.0014890274588545,-0.0018185391694575,0.0006635377918957,193.36768884979568,149.9775560984723,134.15309811908463,tracked_ratio,19,20,1,0,0,0,0.0011524920118972,False,-0.0013719021468685,-0.0008052490761964,-0.002704105873375,200.41024241156524,159.62651330285493,142.43760590656206,tracked_ratio,20,20,0,0,0,0,0.0013713856460526,False,0.0001310046768764,-0.0003560766719383,-0.0006884124327917,188.65104261734612,147.2397732086367,132.32591717801418,tracking_screened,anchored_paired_relative_colour,171.5765515470311,130.71334377175316,118.76101001701215,tracked_ratio,2.526274096248947e-07,188.52861323689467,142.7145715480249,127.4282080765662,tracked_ratio,9.940966688784063e-07,197.03688389151293,154.6844318667631,136.55319649991006,tracked_ratio,6.201534003975694e-07,185.71401622514625,142.70411572884709,127.58080486449614,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
6,0.1999997999999999,mesh,True,187.88575162890046,146.0747502984511,131.80720769288658,-0.0005120383368598,-3.385267875812672e-05,0.4505461341142655,0.2950660294294357,0.5293748831748962,0.453570829629898,sampled,3,171.93601697781546,131.8002349669063,122.40102166777677,True,1.0,1.0,1.0,6758,6758,0.546964123275827,13.717316161289538,sampled,trimmed_mean,192.11145151203806,148.07515516253912,131.71025070574842,True,1.0,1.0,1.0,6059,6059,0.6229814840344455,4.926732753136764,sampled,trimmed_mean,199.60978639684788,158.34886076590786,141.3103507051345,True,1.0,1.0,1.0,6059,6059,0.6504555815526408,5.917099504681544,sampled,trimmed_mean,True,True,0,172.18631237940863,132.1294490833707,120.4084299838757,tracked_ratio,20,21,1,0,0,0,0.0019296788377687,False,-6.86274372064384e-05,0.0028697062802706,-0.003128377302416,193.3756724907286,149.98825380948392,134.16362398003878,tracked_ratio,19,20,1,0,0,0,0.0015223629307001,False,-0.0017135792548873,0.0013646401811755,0.0047072653759972,200.4105867251664,159.641670339559,142.45172301696257,tracked_ratio,20,20,0,0,0,0,0.0018639999325387,False,-0.0001339763374949,0.000665906696678,0.0036693602922265,188.6575238651012,147.25312441080453,132.3412589936257,tracking_screened,anchored_paired_relative_colour,171.56477709204367,131.08899141669818,118.39006130515985,tracked_ratio,5.337596482530193e-07,188.20583115162532,142.90945853185914,128.02946048546414,tracked_ratio,2.101941699386772e-06,197.0104873797512,154.78747156942146,137.05517979247028,tracked_ratio,1.2768364130207678e-06,185.59369854114007,142.92864050599292,127.82490052769808,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
7,0.2333331,mesh,True,187.89120847938202,146.10785013269307,131.825956949878,-0.0004400553526701,7.041074611522533e-07,0.4506784582138061,0.2953502559661865,0.5290881407260895,0.4535820800065994,sampled,3,171.91416900753498,131.80221364571227,122.42379178596227,True,1.0,1.0,1.0,6758,6758,0.547356687498912,14.432821765379463,sampled,trimmed_mean,192.1340637563701,148.1371051634732,131.72381831331083,True,1.0,1.0,1.0,5986,5986,0.6214790426026743,5.522119735735002,sampled,trimmed_mean,199.62539267424103,158.38423158889373,141.3302607503609,True,1.0,1.0,1.0,5904,5904,0.651024223524098,5.863392445645112,sampled,trimmed_mean,True,True,0,172.18846460109083,132.12850544151323,120.43119480264788,tracked_ratio,21,21,0,0,0,0,0.0007349606021307,False,0.0015166803318479,-0.0037576626281206,0.0028279553978675,193.3789670762485,149.9973891684319,134.16967937135314,tracked_ratio,20,20,0,0,0,0,0.0018569132662378,False,0.0040020420015355,-0.0012284456124398,-0.0054857948813543,200.41243947859934,159.64160186515932,142.46677940372382,tracked_ratio,20,20,0,0,0,0,0.000895344215678,False,-0.0003882836370466,-0.0009279922456255,-0.0009724282250744,188.65995705197955,147.25583215836815,132.3558845259083,tracking_screened,anchored_paired_relative_colour,171.82518344177336,130.59732754469783,118.72533696694786,tracked_ratio,1.0016141439061756e-06,188.96054798975425,142.73400982121277,127.32904006438442,tracked_ratio,3.953105360037433e-06,196.93400628031569,154.6438966246063,136.921968247078,tracked_ratio,2.3475672089443657e-06,185.9065792372811,142.6584113301723,127.6587817594701,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
8,0.2666663999999999,mesh,True,187.88553220693606,146.1228974802831,131.83144396441847,-0.0002970465907344,-1.185757142526132e-05,0.4504152047634125,0.2954760980606079,0.5287138593196868,0.4532887029647827,sampled,3,171.88720198785126,131.7836721470173,122.42091145794598,True,1.0,1.0,1.0,6649,6649,0.5458112380160366,14.894329569342991,sampled,trimmed_mean,192.13747838375005,148.17962112211913,131.73397165390233,True,1.0,1.0,1.0,5832,5832,0.6230366268592485,5.979893439490673,sampled,trimmed_mean,199.63191624920677,158.40539917171284,141.3394487814071,True,1.0,1.0,1.0,5913,5913,0.6502218992383016,5.784240053645953,sampled,trimmed_mean,True,True,0,172.17913900344124,132.1107176934008,120.44753268138962,tracked_ratio,19,21,2,0,0,0,0.0012363386340439,False,0.0002724483638049,0.001151507650209,0.0047212492679556,193.37695654435913,150.0029906083129,134.17004716194398,tracked_ratio,20,20,0,0,0,0,0.0012048395001329,False,-0.0056716857629948,0.001539945278796,4.036880395784847e-05,200.4161058995511,159.62761267563207,142.47721130467792,tracked_ratio,20,20,0,0,0,0,0.0012885730247944,False,1.398672471195772e-05,-0.0001199628674899,-0.0006635180032665,188.6574004824505,147.24710699244858,132.3649303826705,tracking_screened,anchored_paired_relative_colour,171.87200330957114,130.74779798376667,119.28719416748072,tracked_ratio,1.7209644233594784e-06,187.89185664549964,142.95398171462926,127.33418028919256,tracked_ratio,6.811864757299422e-06,196.93676076131095,154.62534621202997,136.83114818980692,tracked_ratio,3.968651444509167e-06,185.5668735721273,142.77570863680864,127.81750754882675,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
9,0.2999997,mesh,True,187.87049853178584,146.1209379998377,131.82675147498745,-0.0001981276052969,-6.86153217598244e-05,0.4501844191551208,0.2952377504110336,0.5284935331344605,0.4533195692300796,sampled,3,171.85503027500553,131.75447396372442,122.3996219830377,True,1.0,1.0,1.0,6758,6758,0.5469337522993808,15.700883567909017,sampled,trimmed_mean,192.12466704606405,148.19572318859372,131.74093664920937,True,1.0,1.0,1.0,5904,5904,0.6243344917370741,5.184828863151885,sampled,trimmed_mean,199.63179827428792,158.41261684719498,141.3396957927153,True,1.0,1.0,1.0,5904,5904,0.6502658921834316,5.441007110361883,sampled,trimmed_mean,True,True,0,172.16059623364225,132.0809986741913,120.4522925869356,tracked_ratio,20,21,1,0,0,0,0.0009202201035805,False,-0.0017738546274869,-0.0020031798761234,-0.0063049331699726,193.37079249688477,150.00446973652035,134.16556014614554,tracked_ratio,20,20,0,0,0,0,0.0014411336160264,False,0.0029810334660585,0.0026101362887532,0.0009144240314106,200.42115636190647,159.60712356412554,142.47891143140777,tracked_ratio,20,20,0,0,0,0,0.0010019202891271,False,-0.0006098294023237,0.000238186564485,0.0024297503353876,188.6508483641445,147.2308639916124,132.36558805482963,tracking_screened,anchored_paired_relative_colour,171.56739760415675,130.48614877870318,118.53746236828717,tracked_ratio,2.7643683744381862e-06,188.45280424453463,143.3275984731391,127.45067097649375,tracked_ratio,1.0971722869300058e-05,196.81669954635063,154.66218027854228,137.16401794945446,tracked_ratio,6.290723661750749e-06,185.612300465014,142.82530917679486,127.71738376474514,0.15,4,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,cdf_applied,1.0,derived_cdf_after_verified_anchored_rgb_not_frontend_cache
