window_index,time_s,window_start_s,window_end_s,requested_eligible,eligible,protected_window,reason,editable_samples_in_window,modified_samples_in_window,effective_changed_window,initial_eligible,withdrawn_by_runtime_guard,mode,old_bpm,candidate_bpm,old_accepted,candidate_accepted,old_window_finite,candidate_window_finite,disagreement_bpm,physical_roi_support_count,physical_roi_support_names,raw_consensus_roi_count,raw_consensus_roi_names,motion_available,motion_status,old_direct_motion_risk,candidate_direct_motion_risk,direct_motion_risk_decrease,direct_motion_pass,raw_consensus_pass,proposal_eligible,roi_evidence_json
0,4.999995,0.0,9.99999,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
1,5.999994,0.999999,10.999989,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
2,6.999993,1.999998,11.999988,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
3,7.999992,2.999997,12.999986999999999,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
4,8.999991,3.999996,13.999986,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
5,9.99999,4.999995,14.999984999999999,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
6,10.999989,5.999994,15.999984,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
7,11.999988,6.999993,16.999983,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
8,12.999986999999999,7.999992,17.999982,False,False,True,not_eligible,0,0,False,False,False,direct_motion,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
9,13.999986,8.999991,18.999981,False,False,True,not_eligible,0,0,False,False,False,direct_motion,93.0,190.0,True,True,True,True,97.0,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",1,"[""left_cheek""]",True,observed_motion,0.05748509435474126,0.6464065144011311,-0.5889214200463898,False,False,False,"{""baseline/forehead/chrom"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":0.9963151398224214,""tracked_fraction"":0.9766666666666667,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":187.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":true,""strongest_far_from_old"":true,""support_peaks"":[{""peak_bpm"":187.0,""target_relative_power"":0.4303886405587319,""prominence"":1.0}]},""baseline/forehead/pos"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":0.9963151398224214,""tracked_fraction"":0.9766666666666667,""reset_fraction"":0.0,""candidate_supported"":false,""strongest_peak_bpm"":186.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":false,""strongest_far_from_old"":true,""support_peaks"":[]},""baseline/left_cheek/chrom"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":1.0,""tracked_fraction"":0.9966666666666667,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":188.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":true,""strongest_far_from_old"":true,""support_peaks"":[{""peak_bpm"":188.0,""target_relative_power"":0.9054272952703445,""prominence"":1.0}]},""baseline/left_cheek/pos"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":1.0,""tracked_fraction"":0.9966666666666667,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":187.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":true,""strongest_far_from_old"":true,""support_peaks"":[{""peak_bpm"":187.0,""target_relative_power"":0.8881462885839895,""prominence"":1.0}]},""baseline/right_cheek/chrom"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":1.0,""tracked_fraction"":0.99,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":94.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":false,""strongest_far_from_old"":false,""support_peaks"":[{""peak_bpm"":188.0,""target_relative_power"":0.12343028603677132,""prominence"":0.12192209121176192}]},""baseline/right_cheek/pos"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":1.0,""tracked_fraction"":0.99,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":93.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":false,""strongest_far_from_old"":false,""support_peaks"":[{""peak_bpm"":189.0,""target_relative_power"":0.6264504546257821,""prominence"":0.6395454045670612}]},""tracked/forehead/chrom"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":0.9963151398224214,""tracked_fraction"":0.9766666666666667,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":75.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":false,""strongest_far_from_old"":true,""support_peaks"":[{""peak_bpm"":187.0,""target_relative_power"":0.27946663628679425,""prominence"":0.43181933815412926}]},""tracked/forehead/pos"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":0.9963151398224214,""tracked_fraction"":0.9766666666666667,""reset_fraction"":0.0,""candidate_supported"":false,""strongest_peak_bpm"":160.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":false,""strongest_far_from_old"":true,""support_peaks"":[]},""tracked/left_cheek/chrom"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":1.0,""tracked_fraction"":0.9966666666666667,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":189.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":true,""strongest_far_from_old"":true,""support_peaks"":[{""peak_bpm"":189.0,""target_relative_power"":0.9664538330384983,""prominence"":1.0}]},""tracked/left_cheek/pos"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":1.0,""tracked_fraction"":0.9966666666666667,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":187.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":true,""strongest_far_from_old"":true,""support_peaks"":[{""peak_bpm"":187.0,""target_relative_power"":0.8770971115827026,""prominence"":1.0}]},""tracked/right_cheek/chrom"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":1.0,""tracked_fraction"":0.99,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":93.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":false,""strongest_far_from_old"":false,""support_peaks"":[{""peak_bpm"":193.0,""target_relative_power"":0.32759497146024696,""prominence"":0.3774881677318928}]},""tracked/right_cheek/pos"":{""qualified"":true,""status"":""qualified"",""observed_fraction"":1.0,""mean_quality"":1.0,""tracked_fraction"":0.99,""reset_fraction"":0.0,""candidate_supported"":true,""strongest_peak_bpm"":93.0,""strongest_relative_power"":1.0,""strongest_near_candidate"":false,""strongest_far_from_old"":false,""support_peaks"":[{""peak_bpm"":190.0,""target_relative_power"":0.8999659733865873,""prominence"":0.894273579354167}]}}"
