frame,time_s,source,rgb_valid,r,g,b,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,roi_status,roi_valid_regions,forehead_r,forehead_g,forehead_b,forehead_valid,forehead_quality,forehead_valid_pixel_fraction,forehead_visible_fraction,forehead_pixel_count,forehead_valid_pixels,forehead_brightness,forehead_laplacian_var,forehead_status,left_cheek_r,left_cheek_g,left_cheek_b,left_cheek_valid,left_cheek_quality,left_cheek_valid_pixel_fraction,left_cheek_visible_fraction,left_cheek_pixel_count,left_cheek_valid_pixels,left_cheek_brightness,left_cheek_laplacian_var,left_cheek_status,right_cheek_r,right_cheek_g,right_cheek_b,right_cheek_valid,right_cheek_quality,right_cheek_valid_pixel_fraction,right_cheek_visible_fraction,right_cheek_pixel_count,right_cheek_valid_pixels,right_cheek_brightness,right_cheek_laplacian_var,right_cheek_status,face_detected,flow_available,bridge_age_frames
0,0.0,mesh,True,203.83333333333334,168.33333333333334,140.33333333333334,,,0.35256915271282196,0.15730110973119735,0.5236381113529205,0.32987784802913667,sampled,3,210.0,178.0,149.0,True,0.947265625,0.947265625,1.0,512,485,0.7102188725490195,774.644297159912,sampled,216.0,178.0,151.0,True,0.927437641723356,0.927437641723356,1.0,441,409,0.7133723444933531,759.9223196891214,sampled,185.5,149.0,121.0,True,0.9931972789115646,0.9931972789115646,1.0,441,438,0.6220274420879465,554.9526714117061,sampled,True,False,0
1,0.03333333333333333,mesh,True,206.33333333333334,170.33333333333334,142.66666666666666,1.3172626495361328e-05,-1.430511474609375e-06,0.3537614989280701,0.15464463889598845,0.524908241033554,0.33181058585643763,sampled,3,215.0,181.0,155.0,True,0.9495967741935484,0.9495967741935484,1.0,496,471,0.7222225648323845,853.6711082629422,sampled,217.0,179.0,151.0,True,0.9199134199134199,0.9199134199134199,1.0,462,425,0.7181124522536287,833.0988128467277,sampled,187.0,151.0,122.0,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6287016212545623,636.7656141895578,sampled,True,True,0
2,0.06666666666666667,mesh,True,207.0,172.33333333333334,143.66666666666666,8.344650268554688e-06,8.918344974517822e-06,0.3518927353620529,0.15422499686479568,0.5242824375629425,0.33170257568359374,sampled,3,215.0,184.0,156.0,True,0.9283088235294118,0.9283088235294118,1.0,544,505,0.7318853589965397,874.0346800107287,sampled,218.0,181.0,152.0,True,0.9155844155844156,0.9155844155844156,1.0,462,423,0.7233953314659197,779.6136033314591,sampled,188.0,152.0,123.0,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6310717765894236,650.7783224786454,sampled,True,True,0
3,0.1,mesh,True,207.16666666666666,172.33333333333334,143.0,2.0042061805725098e-05,-5.044043064117432e-06,0.3525570166110992,0.15417789429426193,0.5247448670864104,0.33207881391048427,sampled,3,215.0,183.0,154.5,True,0.9080882352941176,0.9080882352941176,1.0,544,494,0.7340616637831603,872.4652280342643,sampled,218.0,181.0,152.5,True,0.9134199134199135,0.9134199134199135,1.0,462,422,0.725517273576097,779.2910344500476,sampled,188.5,153.0,122.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6319104320516085,651.2538266309476,sampled,True,True,0
4,0.13333333333333333,mesh,True,208.0,173.33333333333334,142.66666666666666,-1.9669532775878906e-06,4.023313522338867e-06,0.35244220912456514,0.15407508552074434,0.524474835395813,0.3315849882364273,sampled,3,216.0,185.0,155.0,True,0.9191176470588235,0.9191176470588235,1.0,544,500,0.7369811130334487,878.1289948916524,sampled,219.0,182.0,151.0,True,0.9090909090909091,0.9090909090909091,1.0,462,420,0.728472540531364,779.7703932986824,sampled,189.0,153.0,122.0,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6339277310924369,652.804930452109,sampled,True,True,0
5,0.16666666666666666,mesh,True,207.5,173.66666666666666,143.33333333333334,1.405179500579834e-05,5.155801773071289e-06,0.3524624192714691,0.1539284372329712,0.5242714393138885,0.3319896107912063,sampled,3,215.5,185.0,154.0,True,0.9117647058823529,0.9117647058823529,1.0,544,496,0.7379761606113034,881.6666618547221,sampled,218.0,183.0,152.0,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7299477039300568,779.8900338877645,sampled,189.0,153.0,124.0,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6360602495543672,657.5321305796181,sampled,True,True,0
6,0.2,mesh,True,207.66666666666666,174.33333333333334,143.33333333333334,-2.980232238769531e-07,3.293156623840332e-06,0.35258896768093106,0.15383523613214492,0.5243687617778777,0.3319170653820038,sampled,3,216.0,186.0,154.0,True,0.9209558823529411,0.9209558823529411,1.0,544,501,0.7392539431949251,885.8178360148651,sampled,219.0,183.0,152.0,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7304824632883457,780.4710415900189,sampled,188.0,154.0,124.0,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6366122740005092,666.4629843186971,sampled,True,True,0
7,0.23333333333333334,mesh,True,207.33333333333334,174.33333333333334,143.33333333333334,2.682209014892578e-07,1.691281795501709e-06,0.3526185435056686,0.15364399939775467,0.5244136643409728,0.3320194637775421,sampled,3,216.0,186.0,154.0,True,0.9209558823529411,0.9209558823529411,1.0,544,501,0.7392539431949251,885.8178360148651,sampled,218.0,183.0,152.0,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7305482981071215,780.4615738757334,sampled,188.0,154.0,124.0,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6365952975129445,669.9975384312512,sampled,True,True,0
8,0.26666666666666666,mesh,True,207.33333333333334,174.33333333333334,144.0,-8.642673492431641e-07,-4.76837158203125e-07,0.35265662968158723,0.15346166908740996,0.5242735040187835,0.33211318314075466,sampled,3,216.0,186.0,156.0,True,0.9356617647058824,0.9356617647058824,1.0,544,509,0.739327357266436,889.9516439036516,sampled,218.0,183.0,152.0,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7305482981071215,780.4615738757334,sampled,188.0,154.0,124.0,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6365952975129445,669.9975384312512,sampled,True,True,0
9,0.3,mesh,True,208.0,175.0,144.66666666666666,-2.086162567138672e-07,4.470348358154297e-07,0.35274762034416196,0.15326751679182052,0.5241624605655669,0.33219847500324245,sampled,3,218.0,188.0,158.0,True,0.931640625,0.931640625,1.0,512,477,0.7424381050857844,1004.1732391180077,sampled,218.0,183.0,152.0,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7305482981071215,780.4615738757334,sampled,188.0,154.0,124.0,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6365952975129445,669.9975384312512,sampled,True,True,0
10,0.3333333333333333,mesh,True,208.0,175.33333333333334,144.33333333333334,-1.0192394256591797e-05,-3.8743019104003906e-07,0.35290677070617676,0.1532060331106186,0.5242036604881286,0.33225159525871273,sampled,3,218.0,190.0,160.0,True,0.962890625,0.962890625,1.0,512,493,0.738660799632353,1014.9447750820315,sampled,218.0,182.0,151.0,True,0.9155844155844156,0.9155844155844156,1.0,462,423,0.727129988965283,781.7498530816184,sampled,188.0,154.0,122.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6352254138018845,666.0358274816813,sampled,True,True,0
11,0.36666666666666664,mesh,True,207.33333333333334,174.33333333333334,144.16666666666666,-1.658499240875244e-05,-3.345310688018799e-06,0.3527880609035492,0.1532915151119232,0.524332536458969,0.3323182559013366,sampled,3,217.5,189.0,159.5,True,0.96484375,0.96484375,1.0,512,494,0.7361679534313725,1012.5386779392092,sampled,217.0,181.0,151.0,True,0.9242424242424242,0.9242424242424242,1.0,462,427,0.7239492487904252,785.9971347699304,sampled,187.5,153.0,122.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6333344368050251,670.2179853970129,sampled,True,True,0
12,0.4,mesh,True,206.33333333333334,172.0,143.66666666666666,-3.4421682357788086e-05,-1.990795135498047e-05,0.35283140659332274,0.15340468496084214,0.5245823204517364,0.33228485882282255,sampled,3,216.0,186.0,158.0,True,0.9834558823529411,0.9834558823529411,1.0,544,535,0.7255168252595156,901.9691472479321,sampled,216.0,179.0,151.0,True,0.935064935064935,0.935064935064935,1.0,462,432,0.7172677616501146,796.4883318088301,sampled,187.0,151.0,122.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6255199388846447,656.3747967098816,sampled,True,True,0
13,0.43333333333333335,mesh,True,206.33333333333334,172.0,143.66666666666666,-6.318092346191406e-06,6.556510925292969e-07,0.3527490592002869,0.15347484350204468,0.5246341300010681,0.33219205319881434,sampled,3,216.0,186.0,158.0,True,0.9834558823529411,0.9834558823529411,1.0,544,535,0.7253654411764706,901.1039336206615,sampled,216.0,179.0,151.0,True,0.935064935064935,0.935064935064935,1.0,462,432,0.7172677616501146,796.4883318088301,sampled,187.0,151.0,122.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6255199388846447,656.3747967098816,sampled,True,True,0
14,0.4666666666666667,mesh,True,205.16666666666666,171.33333333333334,144.0,-2.3409724235534668e-05,-6.474554538726807e-06,0.3527649939060211,0.15350772112607955,0.5244170987606048,0.3322493416070938,sampled,3,215.0,185.5,159.0,True,0.9926470588235294,0.9926470588235294,1.0,544,540,0.7204328431372548,908.3557517424308,sampled,214.0,178.0,151.0,True,0.948051948051948,0.948051948051948,1.0,462,438,0.711503980986334,795.5784952246397,sampled,186.5,150.5,122.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6224530345471523,656.4035021378345,sampled,True,True,0
15,0.5,mesh,True,206.0,170.66666666666666,145.0,-2.8312206268310547e-06,-3.822147846221924e-06,0.3526046109199524,0.15331216901540756,0.5247303974628448,0.3321900123357773,sampled,3,217.0,186.0,161.0,True,0.9921875,0.9921875,1.0,512,508,0.7218347579656862,1028.5435798085784,sampled,215.0,177.0,152.0,True,0.948051948051948,0.948051948051948,1.0,462,438,0.710216348357525,795.8584536060416,sampled,186.0,149.0,122.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6182085731262201,658.0253738072562,sampled,True,True,0
16,0.5333333333333333,mesh,True,205.16666666666666,169.33333333333334,144.66666666666666,-2.4378299713134766e-05,-2.6747584342956543e-06,0.3525873339176178,0.15347750425338746,0.5245267617702484,0.33232193768024443,sampled,3,214.5,183.0,159.0,True,0.9963235294117647,0.9963235294117647,1.0,544,542,0.715274740484429,908.3116172101941,sampled,215.0,176.0,152.0,True,0.9437229437229437,0.9437229437229437,1.0,462,436,0.7078244800950683,801.5772909622194,sampled,186.0,149.0,123.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6176537136066548,659.0324571893517,sampled,True,True,0
17,0.5666666666666667,mesh,True,206.0,169.83333333333334,145.66666666666666,-1.4156103134155273e-06,5.453824996948242e-06,0.3526257419586182,0.15339154303073882,0.5248672938346862,0.3321125507354736,sampled,3,217.0,184.5,162.0,True,0.99609375,0.99609375,1.0,512,510,0.7167971047794117,1022.8387094831389,sampled,215.0,176.0,152.0,True,0.9502164502164502,0.9502164502164502,1.0,462,439,0.7056000848824376,802.5088081526956,sampled,186.0,149.0,123.0,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6153629063746711,657.6331755268269,sampled,True,True,0
18,0.6,mesh,True,204.5,168.0,144.5,-6.467103958129883e-06,-4.082918167114258e-06,0.3526291644573212,0.1536038526892662,0.5247432184219359,0.3322315579652786,sampled,3,214.0,181.0,159.0,True,0.9944852941176471,0.9944852941176471,1.0,544,541,0.7118143598615916,899.6855381147138,sampled,214.0,175.0,152.0,True,0.9502164502164502,0.9502164502164502,1.0,462,439,0.7039101434513199,802.4903648371281,sampled,185.5,148.0,122.5,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6143665563194975,662.0617264491295,sampled,True,True,0
19,0.6333333333333333,mesh,True,205.16666666666666,169.0,145.16666666666666,-1.1920928955078125e-07,4.76837158203125e-07,0.35247077941894533,0.15342299282550811,0.5248067188262939,0.3320525807142257,sampled,3,216.0,184.0,161.0,True,0.994140625,0.994140625,1.0,512,509,0.7146569699754902,1021.3786991937102,sampled,214.0,175.0,152.0,True,0.9502164502164502,0.9502164502164502,1.0,462,439,0.7039101434513199,802.4903648371281,sampled,185.5,148.0,122.5,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6143665563194975,662.0617264491295,sampled,True,True,0
20,0.6666666666666666,mesh,True,204.5,168.0,144.5,2.682209014892578e-07,-4.470348358154297e-08,0.35262091517448424,0.1534448391199112,0.5246741151809692,0.332223699092865,sampled,3,214.0,181.0,159.0,True,0.9944852941176471,0.9944852941176471,1.0,544,541,0.7118143598615916,899.6855381147138,sampled,214.0,175.0,152.0,True,0.9502164502164502,0.9502164502164502,1.0,462,439,0.7039101434513199,802.4903648371281,sampled,185.5,148.0,122.5,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6143665563194975,662.0617264491295,sampled,True,True,0
