case,branch,version,method,estimator,reference_kind,scope,comparison,Nplanned_original,Nref_original,Noutput_own,Nvalid_own,Ncommon_output,Ncommon_ref,Nscored,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm
user0904,v1/pos/local_peak,v1,pos,local_peak,none,all_7_branches_common,all_7_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,v1/pos/offline_ridge,v1,pos,offline_ridge,none,all_7_branches_common,all_7_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,v1/chrom/local_peak,v1,chrom,local_peak,none,all_7_branches_common,all_7_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,v1/chrom/offline_ridge,v1,chrom,offline_ridge,none,all_7_branches_common,all_7_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,v2/fusion/forward_ridge,v2,fusion,forward_ridge,none,all_7_branches_common,all_7_branches,39,0,31,0,31,0,0,,,,,0,0,,,,,,
user0904,v21/fusion/local_peak,v21,fusion,local_peak,none,all_7_branches_common,all_7_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,v21/fusion/offline_ridge,v21,fusion,offline_ridge,none,all_7_branches_common,all_7_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0907,v1/pos/local_peak,v1,pos,local_peak,none,all_7_branches_common,all_7_branches,42,0,14,0,10,0,0,,,,,0,0,,,,,,
user0907,v1/pos/offline_ridge,v1,pos,offline_ridge,none,all_7_branches_common,all_7_branches,42,0,14,0,10,0,0,,,,,0,0,,,,,,
user0907,v1/chrom/local_peak,v1,chrom,local_peak,none,all_7_branches_common,all_7_branches,42,0,14,0,10,0,0,,,,,0,0,,,,,,
user0907,v1/chrom/offline_ridge,v1,chrom,offline_ridge,none,all_7_branches_common,all_7_branches,42,0,14,0,10,0,0,,,,,0,0,,,,,,
user0907,v2/fusion/forward_ridge,v2,fusion,forward_ridge,none,all_7_branches_common,all_7_branches,42,0,12,0,10,0,0,,,,,0,0,,,,,,
user0907,v21/fusion/local_peak,v21,fusion,local_peak,none,all_7_branches_common,all_7_branches,42,0,12,0,10,0,0,,,,,0,0,,,,,,
user0907,v21/fusion/offline_ridge,v21,fusion,offline_ridge,none,all_7_branches_common,all_7_branches,42,0,12,0,10,0,0,,,,,0,0,,,,,,
ubfc,v1/pos/local_peak,v1,pos,local_peak,human_UBFC_device_HR,all_7_branches_common,all_7_branches,44,44,40,40,35,35,35,2.7885749800949475,3.447065984228934,-0.47487018493428773,3.464045056629024,28,35,80.0,100.0,-7.264398495927175,6.3146581260586,6.325174068657176,7.343965517241372
ubfc,v1/pos/offline_ridge,v1,pos,offline_ridge,human_UBFC_device_HR,all_7_branches_common,all_7_branches,44,44,40,40,35,35,35,2.3620899291726043,2.896828445180363,-0.6462987563628592,2.8650374884188667,34,35,97.14285714285714,100.0,-6.261772233663838,4.96917472093812,4.666197231833917,5.343965517241372
