case,domain,before,after,comparison,reference_kind,Ncommon_output,Ncommon_ref,delta_C_out_pp,delta_C_ref_pp,delta_R5_pp,own_delta_MAE_bpm,common_delta_MAE_bpm,own_delta_RMSE_bpm,common_delta_RMSE_bpm,own_delta_Bias_bpm,common_delta_Bias_bpm,own_delta_P5_valid_pct,common_delta_P5_valid_pct,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_paired_delta_snr_pct,negative_paired_delta_snr_pct,numerical_tie_paired_delta_snr_pct,raw_positive_paired_delta_snr_pct
user0904,HR,old/pos/local_peak,new/pos/local_peak,new/pos/local_peak minus old/pos/local_peak,none,36.0,0,0.0,,,,,,,,,,,,,,,,
user0904,HR,old/pos/offline_ridge,new/pos/offline_ridge,new/pos/offline_ridge minus old/pos/offline_ridge,none,36.0,0,0.0,,,,,,,,,,,,,,,,
user0904,HR,old/chrom/local_peak,new/chrom/local_peak,new/chrom/local_peak minus old/chrom/local_peak,none,36.0,0,0.0,,,,,,,,,,,,,,,,
user0904,HR,old/chrom/offline_ridge,new/chrom/offline_ridge,new/chrom/offline_ridge minus old/chrom/offline_ridge,none,36.0,0,0.0,,,,,,,,,,,,,,,,
user0904,HR,old/pos/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus old/pos/offline_ridge,none,31.0,0,-12.820512820512818,,,,,,,,,,,,,,,,
user0904,HR,old/chrom/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus old/chrom/offline_ridge,none,31.0,0,-12.820512820512818,,,,,,,,,,,,,,,,
user0904,HR,new/pos/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus new/pos/offline_ridge,none,31.0,0,-12.820512820512818,,,,,,,,,,,,,,,,
user0904,HR,new/chrom/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus new/chrom/offline_ridge,none,31.0,0,-12.820512820512818,,,,,,,,,,,,,,,,
user0904,waveform_H1_SNR,old/pos,new/pos,new/pos minus old/pos,none,,0,,,,,,,,,,,,,,,,,
user0904,waveform_H1_SNR,old/chrom,new/chrom,new/chrom minus old/chrom,none,,0,,,,,,,,,,,,,,,,,
user0904,waveform_H1_SNR,old/pos,new/fusion,new/fusion minus old/pos,none,,0,,,,,,,,,,,,,,,,,
user0904,waveform_H1_SNR,old/chrom,new/fusion,new/fusion minus old/chrom,none,,0,,,,,,,,,,,,,,,,,
user0904,waveform_H1_SNR,new/pos,new/fusion,new/fusion minus new/pos,none,,0,,,,,,,,,,,,,,,,,
user0904,waveform_H1_SNR,new/chrom,new/fusion,new/fusion minus new/chrom,none,,0,,,,,,,,,,,,,,,,,
user0907,HR,old/pos/local_peak,new/pos/local_peak,new/pos/local_peak minus old/pos/local_peak,none,14.0,0,0.0,,,,,,,,,,,,,,,,
user0907,HR,old/pos/offline_ridge,new/pos/offline_ridge,new/pos/offline_ridge minus old/pos/offline_ridge,none,14.0,0,0.0,,,,,,,,,,,,,,,,
user0907,HR,old/chrom/local_peak,new/chrom/local_peak,new/chrom/local_peak minus old/chrom/local_peak,none,14.0,0,0.0,,,,,,,,,,,,,,,,
user0907,HR,old/chrom/offline_ridge,new/chrom/offline_ridge,new/chrom/offline_ridge minus old/chrom/offline_ridge,none,14.0,0,0.0,,,,,,,,,,,,,,,,
user0907,HR,old/pos/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus old/pos/offline_ridge,none,12.0,0,-4.761904761904763,,,,,,,,,,,,,,,,
user0907,HR,old/chrom/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus old/chrom/offline_ridge,none,12.0,0,-4.761904761904763,,,,,,,,,,,,,,,,
user0907,HR,new/pos/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus new/pos/offline_ridge,none,12.0,0,-4.761904761904763,,,,,,,,,,,,,,,,
user0907,HR,new/chrom/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus new/chrom/offline_ridge,none,12.0,0,-4.761904761904763,,,,,,,,,,,,,,,,
user0907,waveform_H1_SNR,old/pos,new/pos,new/pos minus old/pos,none,,0,,,,,,,,,,,,,,,,,
user0907,waveform_H1_SNR,old/chrom,new/chrom,new/chrom minus old/chrom,none,,0,,,,,,,,,,,,,,,,,
user0907,waveform_H1_SNR,old/pos,new/fusion,new/fusion minus old/pos,none,,0,,,,,,,,,,,,,,,,,
user0907,waveform_H1_SNR,old/chrom,new/fusion,new/fusion minus old/chrom,none,,0,,,,,,,,,,,,,,,,,
user0907,waveform_H1_SNR,new/pos,new/fusion,new/fusion minus new/pos,none,,0,,,,,,,,,,,,,,,,,
user0907,waveform_H1_SNR,new/chrom,new/fusion,new/fusion minus new/chrom,none,,0,,,,,,,,,,,,,,,,,
ubfc,HR,old/pos/local_peak,new/pos/local_peak,new/pos/local_peak minus old/pos/local_peak,human_UBFC_device_HR,40.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
ubfc,HR,old/pos/offline_ridge,new/pos/offline_ridge,new/pos/offline_ridge minus old/pos/offline_ridge,human_UBFC_device_HR,40.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
ubfc,HR,old/chrom/local_peak,new/chrom/local_peak,new/chrom/local_peak minus old/chrom/local_peak,human_UBFC_device_HR,40.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
ubfc,HR,old/chrom/offline_ridge,new/chrom/offline_ridge,new/chrom/offline_ridge minus old/chrom/offline_ridge,human_UBFC_device_HR,40.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
ubfc,HR,old/pos/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus old/pos/offline_ridge,human_UBFC_device_HR,35.0,35,-11.36363636363636,-11.36363636363636,-34.09090909090909,1.0993289226702214,1.2981227916619407,2.3154544827596544,2.479664652356842,1.5326653305818656,1.4285714285714286,-28.92857142857143,-28.57142857142857,,,,,,
ubfc,HR,old/chrom/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus old/chrom/offline_ridge,human_UBFC_device_HR,35.0,35,-11.36363636363636,-11.36363636363636,-25.0,1.114903873852589,1.2587798787275033,2.235317674633082,2.324564551047932,1.3826653305818657,1.2571428571428571,-18.92857142857143,-17.14285714285714,,,,,,
ubfc,HR,new/pos/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus new/pos/offline_ridge,human_UBFC_device_HR,35.0,35,-11.36363636363636,-11.36363636363636,-34.09090909090909,1.0993289226702214,1.2981227916619407,2.3154544827596544,2.479664652356842,1.5326653305818656,1.4285714285714286,-28.92857142857143,-28.57142857142857,,,,,,
ubfc,HR,new/chrom/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus new/chrom/offline_ridge,human_UBFC_device_HR,35.0,35,-11.36363636363636,-11.36363636363636,-25.0,1.114903873852589,1.2587798787275033,2.235317674633082,2.324564551047932,1.3826653305818657,1.2571428571428571,-18.92857142857143,-17.14285714285714,,,,,,
ubfc,waveform_H1_SNR,old/pos,new/pos,new/pos minus old/pos,human_UBFC_device_HR,,40,,,,,,,,,,,,-1.5862311464331924e-15,-2.5202062658991053e-14,0.0,0.0,100.0,37.5
ubfc,waveform_H1_SNR,old/chrom,new/chrom,new/chrom minus old/chrom,human_UBFC_device_HR,,40,,,,,,,,,,,,-5.646247358548351e-14,-5.875855357828641e-14,0.0,0.0,100.0,35.0
ubfc,waveform_H1_SNR,old/pos,new/fusion,new/fusion minus old/pos,human_UBFC_device_HR,,35,,,,,,,,,,,,1.0079277401880853,1.118193780394213,80.0,20.0,0.0,80.0
ubfc,waveform_H1_SNR,old/chrom,new/fusion,new/fusion minus old/chrom,human_UBFC_device_HR,,35,,,,,,,,,,,,0.5260839873419917,0.7866098853228365,71.42857142857143,28.57142857142857,0.0,71.42857142857143
ubfc,waveform_H1_SNR,new/pos,new/fusion,new/fusion minus new/pos,human_UBFC_device_HR,,35,,,,,,,,,,,,1.0079277401881057,1.1181937803942565,80.0,20.0,0.0,80.0
ubfc,waveform_H1_SNR,new/chrom,new/fusion,new/fusion minus new/chrom,human_UBFC_device_HR,,35,,,,,,,,,,,,0.5260839873420629,0.7866098853228292,71.42857142857143,28.57142857142857,0.0,71.42857142857143
kaggle_full,HR,old/pos/local_peak,new/pos/local_peak,new/pos/local_peak minus old/pos/local_peak,none,416.0,0,0.0,,,,,,,,,,,,,,,,
kaggle_full,HR,old/pos/offline_ridge,new/pos/offline_ridge,new/pos/offline_ridge minus old/pos/offline_ridge,none,416.0,0,0.0,,,,,,,,,,,,,,,,
kaggle_full,HR,old/chrom/local_peak,new/chrom/local_peak,new/chrom/local_peak minus old/chrom/local_peak,none,416.0,0,0.0,,,,,,,,,,,,,,,,
kaggle_full,HR,old/chrom/offline_ridge,new/chrom/offline_ridge,new/chrom/offline_ridge minus old/chrom/offline_ridge,none,416.0,0,0.0,,,,,,,,,,,,,,,,
kaggle_full,HR,old/pos/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus old/pos/offline_ridge,none,246.0,0,-40.572792362768496,,,,,,,,,,,,,,,,
kaggle_full,HR,old/chrom/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus old/chrom/offline_ridge,none,246.0,0,-40.572792362768496,,,,,,,,,,,,,,,,
kaggle_full,HR,new/pos/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus new/pos/offline_ridge,none,246.0,0,-40.572792362768496,,,,,,,,,,,,,,,,
kaggle_full,HR,new/chrom/offline_ridge,new/fusion/forward_ridge,new/fusion/forward_ridge minus new/chrom/offline_ridge,none,246.0,0,-40.572792362768496,,,,,,,,,,,,,,,,
kaggle_full,waveform_H1_SNR,old/pos,new/pos,new/pos minus old/pos,none,,0,,,,,,,,,,,,,,,,,
kaggle_full,waveform_H1_SNR,old/chrom,new/chrom,new/chrom minus old/chrom,none,,0,,,,,,,,,,,,,,,,,
kaggle_full,waveform_H1_SNR,old/pos,new/fusion,new/fusion minus old/pos,none,,0,,,,,,,,,,,,,,,,,
kaggle_full,waveform_H1_SNR,old/chrom,new/fusion,new/fusion minus old/chrom,none,,0,,,,,,,,,,,,,,,,,
kaggle_full,waveform_H1_SNR,new/pos,new/fusion,new/fusion minus new/pos,none,,0,,,,,,,,,,,,,,,,,
kaggle_full,waveform_H1_SNR,new/chrom,new/fusion,new/fusion minus new/chrom,none,,0,,,,,,,,,,,,,,,,,
synthetic72,HR,old/pos/local_peak,new/pos/local_peak,new/pos/local_peak minus old/pos/local_peak,synthetic_72bpm_modulation,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
