case,method,estimator,n_planned,n_valid,C_out_pct,MAE_bpm,RMSE_bpm,P5_pct,R5_pct,SNR_ref_H1_median_db
clean,pos,local_peak,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,9.616886131041225
clean,pos,offline_dp,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,9.616886131041225
clean,chrom,local_peak,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,9.615804402440432
clean,chrom,offline_dp,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,9.615804402440432
clean,fusion,forward,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,9.613377459884179
one_patch_motion,pos,local_peak,51,47,92.15686274509804,36.0,36.0,0.0,0.0,-4.143401315183871
one_patch_motion,pos,offline_dp,51,47,92.15686274509804,36.0,36.0,0.0,0.0,-4.143401315183871
one_patch_motion,chrom,local_peak,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,7.118556399637919
one_patch_motion,chrom,offline_dp,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,7.118556399637919
one_patch_motion,fusion,forward,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,9.568760988444751
unequal_shared_motion,pos,local_peak,51,47,92.15686274509804,36.0,36.0,0.0,0.0,-5.701100422411494
unequal_shared_motion,pos,offline_dp,51,47,92.15686274509804,36.0,36.0,0.0,0.0,-5.701100422411494
unequal_shared_motion,chrom,local_peak,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,7.623310712569298
unequal_shared_motion,chrom,offline_dp,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,7.623310712569298
unequal_shared_motion,fusion,forward,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,6.302085264367994
global_motion,pos,local_peak,51,47,92.15686274509804,36.0,36.0,0.0,0.0,-9.443093027102448
global_motion,pos,offline_dp,51,47,92.15686274509804,36.0,36.0,0.0,0.0,-9.443093027102448
global_motion,chrom,local_peak,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,8.546735426257984
global_motion,chrom,offline_dp,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,8.546735426257984
global_motion,fusion,forward,51,0,0.0,,,,0.0,
pulse_motion_frequency_overlap,pos,local_peak,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,9.597155070791265
pulse_motion_frequency_overlap,pos,offline_dp,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,9.597155070791265
pulse_motion_frequency_overlap,chrom,local_peak,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,8.538648384063166
pulse_motion_frequency_overlap,chrom,offline_dp,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,8.538648384063166
pulse_motion_frequency_overlap,fusion,forward,51,47,92.15686274509804,0.0,0.0,100.0,92.15686274509804,8.526323481497746
