case,branch,version,estimator,Nplanned,Noutput,output_runs,internal_breaks,output_state_transitions,longest_run_windows,longest_run_center_span_s,longest_run_support_union_s,output_support_union_s,longest_rejected_run_windows,longest_run_first_window_index,longest_run_last_window_index
user0904,v21/fusion/local_peak,v21,local_peak,39,36,1,0,2,36,34.999964999999996,44.999955,44.999955,2,2,37
user0904,v21/fusion/offline_ridge,v21,offline_ridge,39,36,1,0,2,36,34.999964999999996,44.999955,44.999955,2,2,37
user0904,trimmed_gap10/fusion/local_peak,trimmed_gap10,local_peak,39,36,1,0,2,36,34.999964999999996,44.999955,44.999955,2,2,37
user0904,trimmed_gap10/fusion/offline_ridge,trimmed_gap10,offline_ridge,39,36,1,0,2,36,34.999964999999996,44.999955,44.999955,2,2,37
user0904,trimmed_gap15/fusion/local_peak,trimmed_gap15,local_peak,39,36,1,0,2,36,34.999964999999996,44.999955,44.999955,2,2,37
user0904,trimmed_gap15/fusion/offline_ridge,trimmed_gap15,offline_ridge,39,36,1,0,2,36,34.999964999999996,44.999955,44.999955,2,2,37
user0907,v21/fusion/local_peak,v21,local_peak,42,12,2,1,4,10,8.999991,18.999981,29.999969999999998,16,25,34
user0907,v21/fusion/offline_ridge,v21,offline_ridge,42,12,2,1,4,10,8.999991,18.999981,29.999969999999998,16,25,34
user0907,trimmed_gap10/fusion/local_peak,trimmed_gap10,local_peak,42,13,2,1,4,10,8.999991,18.999981,30.999969,16,25,34
user0907,trimmed_gap10/fusion/offline_ridge,trimmed_gap10,offline_ridge,42,13,2,1,4,10,8.999991,18.999981,30.999969,16,25,34
user0907,trimmed_gap15/fusion/local_peak,trimmed_gap15,local_peak,42,25,4,3,8,12,10.999989,20.999979,41.999958,7,23,34
user0907,trimmed_gap15/fusion/offline_ridge,trimmed_gap15,offline_ridge,42,25,4,3,8,12,10.999989,20.999979,41.999958,7,23,34
ubfc,v21/fusion/local_peak,v21,local_peak,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,v21/fusion/offline_ridge,v21,offline_ridge,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,trimmed_gap10/fusion/local_peak,trimmed_gap10,local_peak,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,trimmed_gap10/fusion/offline_ridge,trimmed_gap10,offline_ridge,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,trimmed_gap15/fusion/local_peak,trimmed_gap15,local_peak,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,trimmed_gap15/fusion/offline_ridge,trimmed_gap15,offline_ridge,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
kaggle_full,v21/fusion/local_peak,v21,local_peak,419,323,8,7,16,105,104.104,114.114,395.395,16,184,288
kaggle_full,v21/fusion/offline_ridge,v21,offline_ridge,419,323,8,7,16,105,104.104,114.114,395.395,16,184,288
kaggle_full,trimmed_gap10/fusion/local_peak,trimmed_gap10,local_peak,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,trimmed_gap10/fusion/offline_ridge,trimmed_gap10,offline_ridge,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,trimmed_gap15/fusion/local_peak,trimmed_gap15,local_peak,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,trimmed_gap15/fusion/offline_ridge,trimmed_gap15,offline_ridge,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
synthetic72,v21/fusion/local_peak,v21,local_peak,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,v21/fusion/offline_ridge,v21,offline_ridge,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,trimmed_gap10/fusion/local_peak,trimmed_gap10,local_peak,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,trimmed_gap10/fusion/offline_ridge,trimmed_gap10,offline_ridge,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,trimmed_gap15/fusion/local_peak,trimmed_gap15,local_peak,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,trimmed_gap15/fusion/offline_ridge,trimmed_gap15,offline_ridge,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
data1,v21/fusion/local_peak,v21,local_peak,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40
data1,v21/fusion/offline_ridge,v21,offline_ridge,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40
data1,trimmed_gap10/fusion/local_peak,trimmed_gap10,local_peak,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40
data1,trimmed_gap10/fusion/offline_ridge,trimmed_gap10,offline_ridge,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40
data1,trimmed_gap15/fusion/local_peak,trimmed_gap15,local_peak,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40
data1,trimmed_gap15/fusion/offline_ridge,trimmed_gap15,offline_ridge,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40
