case,before,after,comparison,frames,trace_bytes_equal,face_detected_before_count,face_detected_after_count,face_detected_different_frames,face_detected_before_pct,face_detected_after_pct,flow_available_before_count,flow_available_after_count,flow_available_different_frames,flow_available_before_pct,flow_available_after_pct,rgb_valid_before_count,rgb_valid_after_count,rgb_valid_different_frames,rgb_valid_before_pct,rgb_valid_after_pct,forehead_valid_before_count,forehead_valid_after_count,forehead_valid_different_frames,forehead_valid_before_pct,forehead_valid_after_pct,left_cheek_valid_before_count,left_cheek_valid_after_count,left_cheek_valid_different_frames,left_cheek_valid_before_pct,left_cheek_valid_after_pct,right_cheek_valid_before_count,right_cheek_valid_after_count,right_cheek_valid_different_frames,right_cheek_valid_before_pct,right_cheek_valid_after_pct,source_different_frames,bbox_finite_mask_differences,bbox_max_abs_difference,motion_finite_mask_differences,motion_max_abs_difference,merged_RGB_finite_mask_differences,merged_RGB_max_abs_difference,same_new_trace_numeric_and_flags_verified
user0904,v21,trimmed_gap10,v21->trimmed_gap10,1461,False,1461,1461,0,100.0,100.0,1460,1460,0,99.9315537303217,99.9315537303217,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,0,0,0.0,0,3.3881317890172014e-21,0,5.532830457950638,
user0904,v21,trimmed_gap15,v21->trimmed_gap15,1461,False,1461,1461,0,100.0,100.0,1460,1460,0,99.9315537303217,99.9315537303217,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,0,0,0.0,0,0.0,0,5.532830457950638,
user0904,trimmed_gap10,trimmed_gap15,trimmed_gap10->trimmed_gap15,1461,False,1461,1461,0,100.0,100.0,1460,1460,0,99.9315537303217,99.9315537303217,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,1461,1461,0,100.0,100.0,0,0,0.0,0,3.3881317890172014e-21,0,0.0,True
user0907,v21,trimmed_gap10,v21->trimmed_gap10,1557,False,1058,1058,0,67.95118818240205,67.95118818240205,1256,1256,0,80.66795118818241,80.66795118818241,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,0,0,0.0,0,0.0,0,4.320531908443826,
user0907,v21,trimmed_gap15,v21->trimmed_gap15,1557,False,1058,1058,0,67.95118818240205,67.95118818240205,1256,1256,0,80.66795118818241,80.66795118818241,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,0,0,0.0,0,0.0,0,4.320531908443826,
user0907,trimmed_gap10,trimmed_gap15,trimmed_gap10->trimmed_gap15,1557,False,1058,1058,0,67.95118818240205,67.95118818240205,1256,1256,0,80.66795118818241,80.66795118818241,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,1415,1415,0,90.87989723827874,90.87989723827874,0,0,0.0,0,0.0,0,5.684341886080802e-14,True
ubfc,v21,trimmed_gap10,v21->trimmed_gap10,1547,False,1547,1547,0,100.0,100.0,1546,1546,0,99.93535875888817,99.93535875888817,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,0,0,0.0,0,3.3881317890172014e-21,0,3.777271065922406,
ubfc,v21,trimmed_gap15,v21->trimmed_gap15,1547,False,1547,1547,0,100.0,100.0,1546,1546,0,99.93535875888817,99.93535875888817,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,0,0,0.0,0,0.0,0,3.777271065922406,
ubfc,trimmed_gap10,trimmed_gap15,trimmed_gap10->trimmed_gap15,1547,False,1547,1547,0,100.0,100.0,1546,1546,0,99.93535875888817,99.93535875888817,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,1547,1547,0,100.0,100.0,0,0,0.0,0,3.3881317890172014e-21,0,5.684341886080802e-14,True
kaggle_full,v21,trimmed_gap10,v21->trimmed_gap10,12867,False,12867,12867,0,100.0,100.0,12857,12857,0,99.92228180617082,99.92228180617082,12867,12867,0,100.0,100.0,12867,12867,0,100.0,100.0,12867,12867,0,100.0,100.0,12867,12867,0,100.0,100.0,0,0,0.0,0,3.3881317890172014e-21,0,7.3437658355991005,
