case,version,variant,scope,shift_s,reference_kind,Nref,Nplanned,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_s,longest_missing_run_s,longest_internal_missing_run_s,finite_runs,observed_finite_samples,observed_all_samples_pct,interpolated_samples,interpolated_all_samples_pct,interpolated_covered_samples_pct,snr_mean_db,snr_median_db,peak_concentration_median_accepted,r_wave,morphology_reference_status,waveform_generated_count,waveform_generated_but_HR_rejected_count,neighbor_covered_count,accepted_neighbor_covered_count
data1,trimmed_gap10,fusion,own,-5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,44.999955,4.999995,0.0,1,1337,85.98070739549838,13,0.8360128617363344,0.9629629629629629,-11.320265631592783,-11.576154032029397,0.5698093386404177,,no_qualified_synchronized_waveform_truth,34.0,0.0,2.0,2.0
data1,trimmed_gap10,fusion,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,44.999955,4.999995,0.0,1,1337,85.98070739549838,13,0.8360128617363344,0.9629629629629629,-11.320265631592783,-11.576154032029397,0.5698093386404177,,no_qualified_synchronized_waveform_truth,34.0,0.0,2.0,2.0
data1,trimmed_gap15,fusion,own,-5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,44.999955,4.999995,0.0,1,1337,85.98070739549838,13,0.8360128617363344,0.9629629629629629,-11.320265631592735,-11.576154032029352,0.5698093386404178,,no_qualified_synchronized_waveform_truth,34.0,0.0,2.0,2.0
data1,trimmed_gap15,fusion,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,44.999955,4.999995,0.0,1,1337,85.98070739549838,13,0.8360128617363344,0.9629629629629629,-11.320265631592735,-11.576154032029352,0.5698093386404178,,no_qualified_synchronized_waveform_truth,34.0,0.0,2.0,2.0
data1,tracking_only_gap10,fusion,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,46.999953,2.999997,0.0,1,1397,89.83922829581994,13,0.8360128617363344,0.9219858156028369,-11.940188172736013,-12.517078060063564,0.3835071132532013,,no_qualified_synchronized_waveform_truth,23.0,0.0,15.0,15.0
data1,tracking_only_gap10,fusion,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,36,1410,90.67524115755627,46.999953,46.999953,2.999997,0.0,1,1397,89.83922829581994,13,0.8360128617363344,0.9219858156028369,-11.669802746251644,-12.445202565403463,0.3835071132532013,,no_qualified_synchronized_waveform_truth,23.0,0.0,15.0,15.0
data1,tracking_only_gap15,fusion,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,46.999953,2.999997,0.0,1,1397,89.83922829581994,13,0.8360128617363344,0.9219858156028369,-11.940188172736008,-12.517078060063504,0.3835071132532014,,no_qualified_synchronized_waveform_truth,23.0,0.0,15.0,15.0
data1,tracking_only_gap15,fusion,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,36,1410,90.67524115755627,46.999953,46.999953,2.999997,0.0,1,1397,89.83922829581994,13,0.8360128617363344,0.9219858156028369,-11.669802746251634,-12.445202565403402,0.3835071132532014,,no_qualified_synchronized_waveform_truth,23.0,0.0,15.0,15.0
data1,tracking_screened_gap10,fusion,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,46.999953,2.999997,0.0,1,1397,89.83922829581994,13,0.8360128617363344,0.9219858156028369,-12.174932327426273,-12.448498925102378,0.3814152662906814,,no_qualified_synchronized_waveform_truth,29.0,0.0,9.0,9.0
data1,tracking_screened_gap10,fusion,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,36,1410,90.67524115755627,46.999953,46.999953,2.999997,0.0,1,1397,89.83922829581994,13,0.8360128617363344,0.9219858156028369,-11.995025991274195,-12.32599374782821,0.3814152662906814,,no_qualified_synchronized_waveform_truth,29.0,0.0,9.0,9.0
