frame,time_s,source,rgb_valid,r,g,b,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,roi_status,roi_valid_regions,forehead_r,forehead_g,forehead_b,forehead_valid,forehead_quality,forehead_valid_pixel_fraction,forehead_visible_fraction,forehead_pixel_count,forehead_valid_pixels,forehead_brightness,forehead_laplacian_var,forehead_status,forehead_rgb_aggregation,left_cheek_r,left_cheek_g,left_cheek_b,left_cheek_valid,left_cheek_quality,left_cheek_valid_pixel_fraction,left_cheek_visible_fraction,left_cheek_pixel_count,left_cheek_valid_pixels,left_cheek_brightness,left_cheek_laplacian_var,left_cheek_status,left_cheek_rgb_aggregation,right_cheek_r,right_cheek_g,right_cheek_b,right_cheek_valid,right_cheek_quality,right_cheek_valid_pixel_fraction,right_cheek_visible_fraction,right_cheek_pixel_count,right_cheek_valid_pixels,right_cheek_brightness,right_cheek_laplacian_var,right_cheek_status,right_cheek_rgb_aggregation,face_detected,flow_available,bridge_age_frames,baseline_forehead_r,baseline_forehead_g,baseline_forehead_b,forehead_pixel_source,forehead_pixel_tracks,forehead_pixel_seeds,forehead_pixel_screen_rejected,forehead_pixel_color_rejected,forehead_pixel_fb_rejected,forehead_pixel_geometry_rejected,forehead_pixel_fb_error_median,forehead_pixel_reset,forehead_pixel_log_delta_r,forehead_pixel_log_delta_g,forehead_pixel_log_delta_b,baseline_left_cheek_r,baseline_left_cheek_g,baseline_left_cheek_b,left_cheek_pixel_source,left_cheek_pixel_tracks,left_cheek_pixel_seeds,left_cheek_pixel_screen_rejected,left_cheek_pixel_color_rejected,left_cheek_pixel_fb_rejected,left_cheek_pixel_geometry_rejected,left_cheek_pixel_fb_error_median,left_cheek_pixel_reset,left_cheek_pixel_log_delta_r,left_cheek_pixel_log_delta_g,left_cheek_pixel_log_delta_b,baseline_right_cheek_r,baseline_right_cheek_g,baseline_right_cheek_b,right_cheek_pixel_source,right_cheek_pixel_tracks,right_cheek_pixel_seeds,right_cheek_pixel_screen_rejected,right_cheek_pixel_color_rejected,right_cheek_pixel_fb_rejected,right_cheek_pixel_geometry_rejected,right_cheek_pixel_fb_error_median,right_cheek_pixel_reset,right_cheek_pixel_log_delta_r,right_cheek_pixel_log_delta_g,right_cheek_pixel_log_delta_b,baseline_r,baseline_g,baseline_b,pixel_mode,pixel_rgb_kind
0,0.0,mesh,True,202.42127276734732,167.1698923689075,140.69265585380452,,,0.35256915271282196,0.15730110973119735,0.5236381113529205,0.32987784802913667,sampled,3,206.65552699228792,174.80976863753213,148.5064267352185,True,0.947265625,0.947265625,1.0,512,485,0.7102188725490195,774.644297159912,sampled,trimmed_mean,212.04863221884497,174.40729483282675,148.9209726443769,True,0.927437641723356,0.927437641723356,1.0,441,409,0.7133723444933531,759.9223196891214,sampled,trimmed_mean,188.5596590909091,152.29261363636363,124.65056818181819,True,0.9931972789115646,0.9931972789115646,1.0,441,438,0.6220274420879465,554.9526714117061,sampled,trimmed_mean,True,False,0,206.65552699228792,174.80976863753213,148.5064267352185,baseline_reset,0,0,0,0,0,0,,True,,,,212.04863221884497,174.40729483282675,148.9209726443769,baseline_reset,0,0,0,0,0,0,,True,,,,188.5596590909091,152.29261363636363,124.65056818181819,baseline_reset,0,0,0,0,0,0,,True,,,,202.42127276734732,167.1698923689075,140.69265585380452,tracking_screened,paired_relative_color_reconstruction
1,0.03333333333333333,mesh,True,203.2781929016156,167.35331130707675,140.64362738163356,1.3172626495361328e-05,-1.430511474609375e-06,0.3537614989280701,0.15464463889598845,0.524908241033554,0.33181058585643763,sampled,3,207.4592216121546,175.37310622020954,149.68677832699413,True,0.9495967741935484,0.9495967741935484,1.0,496,471,0.7222225648323845,853.6711082629422,sampled,trimmed_mean,212.93686906237465,174.23103231355609,147.6815524668819,True,0.9199134199134199,0.9199134199134199,1.0,462,425,0.7181124522536287,833.0988128467277,sampled,trimmed_mean,189.43848803031747,152.45579538746458,124.5625513510247,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6287016212545623,636.7656141895578,sampled,trimmed_mean,True,True,0,210.29177718832892,178.44827586206895,152.88594164456234,tracked_ratio,20,24,2,2,0,0,0.0013307187473401427,False,0.0038815117385817203,0.003217393591054198,0.007916731411536725,214.02052785923755,174.9208211143695,148.5542521994135,tracked_ratio,23,25,1,1,0,0,0.0007202406995929778,False,0.004180086775702536,-0.0010111483480961657,-0.008357497234715744,190.65040650406505,153.9430894308943,125.95663956639567,tracked_ratio,23,25,2,0,0,0,0.0011126367608085275,False,0.004649919739480454,0.001070927767725125,-0.0007063579527280843,204.98757051721051,169.10406213577758,142.4656111367905,tracking_screened,paired_relative_color_reconstruction
2,0.06666666666666667,mesh,True,203.6896880988041,168.13894423522657,141.03063298663525,8.344650268554688e-06,8.918344974517822e-06,0.3518927353620529,0.15422499686479568,0.5242824375629425,0.33170257568359374,sampled,3,207.76849721920328,176.04272404473352,149.6104660590038,True,0.9283088235294118,0.9283088235294118,1.0,544,505,0.7318853589965397,874.0346800107287,sampled,trimmed_mean,213.28524348882812,175.3417983592615,148.34547619133215,True,0.9155844155844156,0.9155844155844156,1.0,462,423,0.7233953314659197,779.6136033314591,sampled,trimmed_mean,190.01532358838097,153.03231030168473,125.13595670956984,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6310717765894236,650.7783224786454,sampled,trimmed_mean,True,True,0,211.38765432098765,180.37777777777777,154.0,tracked_ratio,24,24,0,0,0,0,0.0007637698436155915,False,0.001489667718292753,0.0038109759281698117,-0.0005099430153496494,214.72566371681415,176.40117994100294,149.3598820058997,tracked_ratio,23,25,1,1,0,0,0.00026074229390360415,False,0.0016347087294345086,0.006355012097849124,0.004485569041828715,191.3360433604336,154.6341463414634,126.65040650406505,tracked_ratio,25,25,0,0,0,0,0.0003814697265625,False,0.0030403489686664266,0.003774389823391746,0.0045927896881399425,205.8164537994118,170.47103468674803,143.3367628366549,tracking_screened,paired_relative_color_reconstruction
3,0.1,mesh,True,204.03833491856378,168.6204492085752,140.3946721504658,2.0042061805725098e-05,-5.044043064117432e-06,0.3525570166110992,0.15417789429426193,0.5247448670864104,0.33207881391048427,sampled,3,208.19202945860025,176.53585269938966,149.3837382359845,True,0.9080882352941176,0.9080882352941176,1.0,544,494,0.7340616637831603,872.4652280342643,sampled,trimmed_mean,213.69210050317884,176.08003266209434,147.96728068786584,True,0.9134199134199135,0.9134199134199135,1.0,462,422,0.725517273576097,779.2910344500476,sampled,trimmed_mean,190.2308747939122,153.24546226424155,123.83299752754705,True,0.9913419913419913,0.9913419913419913,1.0,462,458,0.6319104320516085,651.2538266309476,sampled,trimmed_mean,True,True,0,211.08838383838383,180.13888888888889,152.92929292929293,tracked_ratio,22,24,0,2,0,0,0.0005641057214234024,False,0.002036406623213016,0.002797271353010911,-0.0015166037549907657,215.05029585798817,177.07988165680473,148.99112426035504,tracked_ratio,23,25,1,1,0,0,0.00036173308035358787,False,0.0019057551564005478,0.004201420194217387,-0.002552679221880605,191.8179347826087,155.13858695652175,125.78260869565217,tracked_ratio,24,25,1,0,0,0,0.00043427274795249104,False,0.0011337456076458109,0.0013918868168823332,-0.010466936182130501,205.98553815966025,170.7857858340718,142.56767529510006,tracking_screened,paired_relative_color_reconstruction
4,0.13333333333333333,mesh,True,204.40278709960532,169.52548410673614,140.40876352160416,-1.9669532775878906e-06,4.023313522338867e-06,0.35244220912456514,0.15407508552074434,0.524474835395813,0.3315849882364273,sampled,3,208.15140480680915,177.9422005329229,149.3315856761564,True,0.9191176470588235,0.9191176470588235,1.0,544,500,0.7369811130334487,878.1289948916524,sampled,trimmed_mean,214.4253187488745,176.9909020054987,147.6754713077845,True,0.9090909090909091,0.9090909090909091,1.0,462,420,0.728472540531364,779.7703932986824,sampled,trimmed_mean,190.63163774313227,153.64334978178684,124.21923358087155,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6339277310924369,652.804930452109,sampled,trimmed_mean,True,True,0,211.4975,182.0675,153.6275,tracked_ratio,22,24,0,2,0,0,0.00040500133763998747,False,-0.00019514971812483397,0.007934794266964957,-0.0003491790087965863,215.66369047619048,177.97619047619048,148.51785714285714,tracked_ratio,24,25,0,1,0,0,0.00040313246427103877,False,0.003425317119159657,0.005159707439915571,-0.0019740681811093084,192.2249322493225,155.5230352303523,126.17615176151762,tracked_ratio,25,25,0,0,0,0,0.000342898623785004,False,0.002104502721798954,0.00259304168071617,0.0031141535291991642,206.46204090850435,171.85557523551427,142.77383630145826,tracking_screened,paired_relative_color_reconstruction
5,0.16666666666666666,mesh,True,204.43428621357108,170.0026663832624,140.53166452262477,1.405179500579834e-05,5.155801773071289e-06,0.3524624192714691,0.1539284372329712,0.5242714393138885,0.3319896107912063,sampled,3,208.25227552849782,178.1411214848573,148.9517339005037,True,0.9117647058823529,0.9117647058823529,1.0,544,496,0.7379761606113034,881.6666618547221,sampled,trimmed_mean,213.96065680539914,177.77826736188734,148.0180295391258,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7299477039300568,779.8900338877645,sampled,trimmed_mean,191.0899263068163,154.08861030304257,124.62523012824475,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6360602495543672,657.5321305796181,sampled,trimmed_mean,True,True,0,211.40201005025125,182.0603015075377,152.80904522613065,tracked_ratio,21,24,0,3,0,0,0.00023829126439522952,False,0.00048448526478209604,0.0011172720558767775,-0.0025469207029554333,215.21364985163206,178.5845697329377,148.79821958456972,tracked_ratio,24,25,0,1,0,0,0.00014395112521015108,False,-0.002169361987652107,0.004438754644607546,0.002316982846153416,192.79674796747966,156.09756097560975,126.47154471544715,tracked_ratio,24,25,1,0,0,0,0.0001983642578125,False,0.002401167903716847,0.002893822480176041,0.0032630575867390412,206.470802623121,172.2474774053617,142.69293650871586,tracking_screened,paired_relative_color_reconstruction
6,0.2,mesh,True,204.07545197258068,170.4947553109517,140.60533338768792,-2.980232238769531e-07,3.293156623840332e-06,0.35258896768093106,0.15383523613214492,0.5243687617778777,0.3319170653820038,sampled,3,208.1263428739585,178.80605494405913,149.15637701302305,True,0.9209558823529411,0.9209558823529411,1.0,544,501,0.7392539431949251,885.8178360148651,sampled,trimmed_mean,214.0293869148852,177.85055815514633,148.09175273357525,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7304824632883457,780.4710415900189,sampled,trimmed_mean,190.07062612889828,154.8276528336496,124.56787041646551,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6366122740005092,666.4629843186971,sampled,trimmed_mean,True,True,0,211.9351620947631,183.00249376558602,153.54862842892769,tracked_ratio,20,24,1,3,0,0,0.0002108546395902522,False,-0.0006048949336657066,0.003725672997308809,0.0013729458352401973,215.3946587537092,178.76557863501483,148.9792284866469,tracked_ratio,24,25,0,1,0,0,0.0001739769650157541,False,0.0003211762099859463,0.0004065519388064249,0.0004979450216532728,191.8509485094851,156.91869918699186,126.49322493224932,tracked_ratio,25,25,0,0,0,0,0.0004071552830282599,False,-0.005348416047815586,0.004784752560862442,-0.0004603635707964053,206.3935897859858,172.89559052919756,143.00702728260796,tracking_screened,paired_relative_color_reconstruction
7,0.23333333333333334,mesh,True,204.0551508109786,170.50983891918028,140.60530679592082,2.682209014892578e-07,1.691281795501709e-06,0.3526185435056686,0.15364399939775467,0.5244136643409728,0.3320194637775421,sampled,3,208.1263428739585,178.80605494405913,149.15637701302305,True,0.9209558823529411,0.9209558823529411,1.0,544,501,0.7392539431949251,885.8178360148651,sampled,trimmed_mean,213.97010804312202,177.895674503093,148.09175273357525,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7305482981071215,780.4615738757334,sampled,trimmed_mean,190.06900151585535,154.82778731038866,124.56779064116422,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6365952975129445,669.9975384312512,sampled,trimmed_mean,True,True,0,211.9351620947631,183.00249376558602,153.54862842892769,tracked_ratio,24,24,0,0,0,0,0.0001767967187333852,False,0.0,0.0,0.0,215.1513353115727,178.92581602373886,148.9792284866469,tracked_ratio,24,25,0,1,0,0,0.0001911920844577253,False,-0.00027700440229752615,0.00025364343482392823,0.0,191.83468834688347,156.89972899728997,126.47425474254743,tracked_ratio,25,25,0,0,0,0,0.00015334892668761313,False,-8.547454276324177e-06,8.685572516537948e-07,-6.404165581618834e-07,206.30706191773973,172.94267959553827,143.00070388604067,tracking_screened,paired_relative_color_reconstruction
8,0.26666666666666666,mesh,True,204.01743393907964,170.54014870859268,140.61066259911368,-8.642673492431641e-07,-4.76837158203125e-07,0.35265662968158723,0.15346166908740996,0.5242735040187835,0.33211318314075466,sampled,3,208.01319225826154,178.89698431229635,149.1724444226016,True,0.9356617647058824,0.9356617647058824,1.0,544,509,0.739327357266436,889.9516439036516,sampled,trimmed_mean,213.97010804312202,177.895674503093,148.09175273357525,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7305482981071215,780.4615738757334,sampled,trimmed_mean,190.06900151585535,154.82778731038866,124.56779064116422,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6365952975129445,669.9975384312512,sampled,trimmed_mean,True,True,0,212.21760391198043,183.82151589242054,154.2713936430318,tracked_ratio,24,24,0,0,0,0,0.00016366320778615773,False,-0.0005438109524945208,0.0005084070316251889,0.0001077161067894801,215.1513353115727,178.92581602373886,148.9792284866469,tracked_ratio,24,25,0,1,0,0,0.00013059419870842248,False,0.0,0.0,0.0,191.83468834688347,156.89972899728997,126.47425474254743,tracked_ratio,25,25,0,0,0,0,0.00015709885337855667,False,0.0,0.0,0.0,206.40120919014552,173.2156869711498,143.24162562407537,tracking_screened,paired_relative_color_reconstruction
9,0.3,mesh,True,204.0160138594972,170.5387425974724,140.60925111994146,-2.086162567138672e-07,4.470348358154297e-07,0.35274762034416196,0.15326751679182052,0.5241624605655669,0.33219847500324245,sampled,3,208.00893201951428,178.89276597893553,149.16820998508493,True,0.931640625,0.931640625,1.0,512,477,0.7424381050857844,1004.1732391180077,sampled,trimmed_mean,213.97010804312202,177.895674503093,148.09175273357525,True,0.9069264069264069,0.9069264069264069,1.0,462,419,0.7305482981071215,780.4615738757334,sampled,trimmed_mean,190.06900151585535,154.82778731038866,124.56779064116422,True,0.9935064935064936,0.9935064935064936,1.0,462,459,0.6365952975129445,669.9975384312512,sampled,trimmed_mean,True,True,0,213.088772845953,184.72584856396867,155.27937336814622,tracked_ratio,24,24,0,0,0,0,0.00018625725351739675,False,-2.0480827815671674e-05,-2.3579956427412372e-05,-2.8386594011860884e-05,215.1513353115727,178.92581602373886,148.9792284866469,tracked_ratio,24,25,0,1,0,0,0.00017059844685718417,False,0.0,0.0,0.0,191.83468834688347,156.89972899728997,126.47425474254743,tracked_ratio,25,25,0,0,0,0,0.00013817421859130263,False,0.0,0.0,0.0,206.69159883480305,173.51713119499914,143.57761886578018,tracking_screened,paired_relative_color_reconstruction
