window_index,time_s,channel,roi,method,channel_status,observed_fraction,roi_quality,signal_std,candidate_rank,candidate_bpm,relative_power,peak_concentration,prominence_ratio,candidate_weight,motion_overlap,motion_weight,selected_consensus,proposal_accepted,waveform_weight
0,5.0,forehead_pos,forehead,pos,gap_or_filter_edge,1.0,0.9662658127767236,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
0,5.0,forehead_chrom,forehead,chrom,gap_or_filter_edge,1.0,0.9662658127767236,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
0,5.0,left_cheek_pos,left_cheek,pos,gap_or_filter_edge,1.0,0.9387047344190201,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
0,5.0,left_cheek_chrom,left_cheek,chrom,gap_or_filter_edge,1.0,0.9387047344190201,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
0,5.0,right_cheek_pos,right_cheek,pos,gap_or_filter_edge,1.0,0.9916295609152752,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
0,5.0,right_cheek_chrom,right_cheek,chrom,gap_or_filter_edge,1.0,0.9916295609152752,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
1,6.0,forehead_pos,forehead,pos,gap_or_filter_edge,1.0,0.9668271292892157,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
1,6.0,forehead_chrom,forehead,chrom,gap_or_filter_edge,1.0,0.9668271292892157,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
1,6.0,left_cheek_pos,left_cheek,pos,gap_or_filter_edge,1.0,0.9393722943722944,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
1,6.0,left_cheek_chrom,left_cheek,chrom,gap_or_filter_edge,1.0,0.9393722943722944,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
1,6.0,right_cheek_pos,right_cheek,pos,gap_or_filter_edge,1.0,0.9915656565656564,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
1,6.0,right_cheek_chrom,right_cheek,chrom,gap_or_filter_edge,1.0,0.9915656565656564,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0
2,7.0,forehead_pos,forehead,pos,usable,1.0,0.966827512254902,1.0413464884404386,1,72.0,1.0,0.9035126051444202,1.0,0.9190012629858498,1.0,0.75,True,True,0.4613785628074132
2,7.0,forehead_chrom,forehead,chrom,usable,1.0,0.966827512254902,1.0055910434024122,1,72.0,1.0,0.9184043266253641,1.0,0.9265438138651766,1.0,0.75,True,True,0.4651652510577634
2,7.0,left_cheek_pos,left_cheek,pos,usable,1.0,0.9393722943722942,1.0438870961103632,1,72.0,1.0,0.8975512519218432,1.0,0.889953623319151,1.0,0.75,True,True,0.44604509200361164
2,7.0,left_cheek_chrom,left_cheek,chrom,usable,1.0,0.9393722943722942,0.9934277270931047,1,72.0,1.0,0.9062119895588189,1.0,0.894237028101114,1.0,0.75,True,True,0.4481919360975024
2,7.0,right_cheek_pos,right_cheek,pos,usable,1.0,0.9915656565656563,1.032433429690753,1,72.0,1.0,0.8453797670990144,1.0,0.9116904404866123,1.0,0.75,True,True,0.45906626158959957
2,7.0,right_cheek_chrom,right_cheek,chrom,usable,1.0,0.9915656565656563,1.0105598667343887,1,72.0,1.0,0.8696151589360522,1.0,0.9246662943660224,1.0,0.75,True,True,0.4656000327764229
3,8.0,forehead_pos,forehead,pos,usable,1.0,0.966827512254902,1.0388507046416557,1,72.0,1.0,0.9041278735150706,1.0,0.9193141176035321,1.0,0.75,True,True,0.46271239660889113
3,8.0,forehead_chrom,forehead,chrom,usable,1.0,0.966827512254902,1.0058328447648799,1,72.0,1.0,0.9284895925138272,1.0,0.9316172476662894,1.0,0.75,True,True,0.4689048510573982
3,8.0,left_cheek_pos,left_cheek,pos,usable,1.0,0.9393722943722944,1.0452441152536605,1,72.0,1.0,0.8955077194283053,1.0,0.8889399288409121,1.0,0.75,True,True,0.44834510615900064
3,8.0,left_cheek_chrom,left_cheek,chrom,usable,1.0,0.9393722943722944,0.9971822920676604,1,72.0,1.0,0.9272896706284806,1.0,0.904576827160969,1.0,0.75,True,True,0.4562317210019684
3,8.0,right_cheek_pos,right_cheek,pos,usable,1.0,0.9915656565656567,1.0318789529948067,1,72.0,1.0,0.8479722189496324,1.0,0.9130872709051572,1.0,0.75,True,True,0.46139836977286897
3,8.0,right_cheek_chrom,right_cheek,chrom,usable,1.0,0.9915656565656567,1.0084112553400437,1,72.0,1.0,0.8848199319172142,1.0,0.9327149221508327,1.0,0.75,True,True,0.4713165523779638
4,9.0,forehead_pos,forehead,pos,usable,1.0,0.9668225337009805,1.0385969943396494,1,72.0,1.0,0.910160017755438,1.0,0.9223710015759351,1.0,0.75,True,True,0.46467354413583184
4,9.0,forehead_chrom,forehead,chrom,usable,1.0,0.9668225337009805,1.0039517672663298,1,72.0,1.0,0.9381162257959548,1.0,0.9364295023782075,1.0,0.75,True,True,0.4717559582423757
4,9.0,left_cheek_pos,left_cheek,pos,usable,1.0,0.9393722943722942,1.0456070383367233,1,72.0,1.0,0.8931030868200039,1.0,0.8877456282304079,1.0,0.75,True,True,0.4503549858196968
4,9.0,left_cheek_chrom,left_cheek,chrom,usable,1.0,0.9393722943722942,0.9994695734929188,1,72.0,1.0,0.9468312117383253,1.0,0.9140585806995597,1.0,0.75,True,True,0.46370359487986285
4,9.0,right_cheek_pos,right_cheek,pos,usable,1.0,0.9915656565656567,1.03289617308847,1,72.0,1.0,0.8670754190323583,1.0,0.9233150477695388,1.0,0.75,True,True,0.46915789246984985
4,9.0,right_cheek_chrom,right_cheek,chrom,usable,1.0,0.9915656565656567,1.0068918044655784,1,72.0,1.0,0.9253000933446568,1.0,0.9538119940253033,1.0,0.75,True,True,0.48465410155545335
5,10.0,forehead_pos,forehead,pos,usable,1.0,0.9667838541666667,1.038184744452305,1,72.0,1.0,0.9269746848565258,1.0,0.9308148982675977,1.0,0.75,True,True,0.4685665709286176
5,10.0,forehead_chrom,forehead,chrom,usable,1.0,0.9667838541666667,0.9994255678372105,1,72.0,1.0,0.9524885860051513,1.0,0.9435377463911897,1.0,0.75,True,True,0.47497117546257217
5,10.0,left_cheek_pos,left_cheek,pos,usable,1.0,0.9393722943722944,1.0453888613112585,1,72.0,1.0,0.8934136955787327,1.0,0.8878999875653628,1.0,0.75,True,True,0.4501413519132095
5,10.0,left_cheek_chrom,left_cheek,chrom,usable,1.0,0.9393722943722944,0.9993634805546927,1,72.0,1.0,0.9446718697990247,1.0,0.9130156853924037,1.0,0.75,True,True,0.4628743334791942
