case,shift_s,window_index,time_s,reference_bpm,reference_kind,reference_eligible,N_reference_values,reference_status,video_window_center_utc_ns,max_internal_reference_gap_s,reference_window_start_s,reference_window_end_s
user0904,0,0,4.999995,,none,False,0.0,no_reference,,,,
user0904,0,1,5.999994,,none,False,0.0,no_reference,,,,
user0904,0,2,6.999993,,none,False,0.0,no_reference,,,,
user0904,0,3,7.999992,,none,False,0.0,no_reference,,,,
user0904,0,4,8.999991,,none,False,0.0,no_reference,,,,
user0904,0,5,9.99999,,none,False,0.0,no_reference,,,,
user0904,0,6,10.999989,,none,False,0.0,no_reference,,,,
user0904,0,7,11.999988,,none,False,0.0,no_reference,,,,
user0904,0,8,12.999986999999999,,none,False,0.0,no_reference,,,,
user0904,0,9,13.999986,,none,False,0.0,no_reference,,,,
user0904,0,10,14.999984999999999,,none,False,0.0,no_reference,,,,
user0904,0,11,15.999984,,none,False,0.0,no_reference,,,,
user0904,0,12,16.999983,,none,False,0.0,no_reference,,,,
user0904,0,13,17.999982,,none,False,0.0,no_reference,,,,
user0904,0,14,18.999981,,none,False,0.0,no_reference,,,,
user0904,0,15,19.99998,,none,False,0.0,no_reference,,,,
user0904,0,16,20.999979,,none,False,0.0,no_reference,,,,
user0904,0,17,21.999978,,none,False,0.0,no_reference,,,,
user0904,0,18,22.999976999999998,,none,False,0.0,no_reference,,,,
user0904,0,19,23.999976,,none,False,0.0,no_reference,,,,
user0904,0,20,24.999975,,none,False,0.0,no_reference,,,,
user0904,0,21,25.999973999999998,,none,False,0.0,no_reference,,,,
user0904,0,22,26.999972999999997,,none,False,0.0,no_reference,,,,
user0904,0,23,27.999972,,none,False,0.0,no_reference,,,,
user0904,0,24,28.999971,,none,False,0.0,no_reference,,,,
user0904,0,25,29.999969999999998,,none,False,0.0,no_reference,,,,
user0904,0,26,30.999969,,none,False,0.0,no_reference,,,,
user0904,0,27,31.999968,,none,False,0.0,no_reference,,,,
user0904,0,28,32.999967,,none,False,0.0,no_reference,,,,
user0904,0,29,33.999966,,none,False,0.0,no_reference,,,,
user0904,0,30,34.999964999999996,,none,False,0.0,no_reference,,,,
user0904,0,31,35.999964,,none,False,0.0,no_reference,,,,
user0904,0,32,36.999963,,none,False,0.0,no_reference,,,,
user0904,0,33,37.999962,,none,False,0.0,no_reference,,,,
user0904,0,34,38.999961,,none,False,0.0,no_reference,,,,
user0904,0,35,39.99996,,none,False,0.0,no_reference,,,,
user0904,0,36,40.999959,,none,False,0.0,no_reference,,,,
user0904,0,37,41.999958,,none,False,0.0,no_reference,,,,
user0904,0,38,42.999956999999995,,none,False,0.0,no_reference,,,,
user0907,0,0,4.999995,,none,False,0.0,no_reference,,,,
user0907,0,1,5.999994,,none,False,0.0,no_reference,,,,
user0907,0,2,6.999993,,none,False,0.0,no_reference,,,,
user0907,0,3,7.999992,,none,False,0.0,no_reference,,,,
user0907,0,4,8.999991,,none,False,0.0,no_reference,,,,
user0907,0,5,9.99999,,none,False,0.0,no_reference,,,,
user0907,0,6,10.999989,,none,False,0.0,no_reference,,,,
user0907,0,7,11.999988,,none,False,0.0,no_reference,,,,
user0907,0,8,12.999986999999999,,none,False,0.0,no_reference,,,,
user0907,0,9,13.999986,,none,False,0.0,no_reference,,,,
user0907,0,10,14.999984999999999,,none,False,0.0,no_reference,,,,
user0907,0,11,15.999984,,none,False,0.0,no_reference,,,,
user0907,0,12,16.999983,,none,False,0.0,no_reference,,,,
user0907,0,13,17.999982,,none,False,0.0,no_reference,,,,
user0907,0,14,18.999981,,none,False,0.0,no_reference,,,,
user0907,0,15,19.99998,,none,False,0.0,no_reference,,,,
user0907,0,16,20.999979,,none,False,0.0,no_reference,,,,
user0907,0,17,21.999978,,none,False,0.0,no_reference,,,,
user0907,0,18,22.999976999999998,,none,False,0.0,no_reference,,,,
user0907,0,19,23.999976,,none,False,0.0,no_reference,,,,
user0907,0,20,24.999975,,none,False,0.0,no_reference,,,,
user0907,0,21,25.999973999999998,,none,False,0.0,no_reference,,,,
user0907,0,22,26.999972999999997,,none,False,0.0,no_reference,,,,
user0907,0,23,27.999972,,none,False,0.0,no_reference,,,,
user0907,0,24,28.999971,,none,False,0.0,no_reference,,,,
user0907,0,25,29.999969999999998,,none,False,0.0,no_reference,,,,
user0907,0,26,30.999969,,none,False,0.0,no_reference,,,,
user0907,0,27,31.999968,,none,False,0.0,no_reference,,,,
user0907,0,28,32.999967,,none,False,0.0,no_reference,,,,
user0907,0,29,33.999966,,none,False,0.0,no_reference,,,,
user0907,0,30,34.999964999999996,,none,False,0.0,no_reference,,,,
user0907,0,31,35.999964,,none,False,0.0,no_reference,,,,
user0907,0,32,36.999963,,none,False,0.0,no_reference,,,,
user0907,0,33,37.999962,,none,False,0.0,no_reference,,,,
user0907,0,34,38.999961,,none,False,0.0,no_reference,,,,
user0907,0,35,39.99996,,none,False,0.0,no_reference,,,,
user0907,0,36,40.999959,,none,False,0.0,no_reference,,,,
user0907,0,37,41.999958,,none,False,0.0,no_reference,,,,
user0907,0,38,42.999956999999995,,none,False,0.0,no_reference,,,,
user0907,0,39,43.999956,,none,False,0.0,no_reference,,,,
user0907,0,40,44.999955,,none,False,0.0,no_reference,,,,
user0907,0,41,45.999953999999995,,none,False,0.0,no_reference,,,,
