case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
data1,fusion,trimmed_gap10,trimmed_gap15,-5,36,4.877579821519854e-14,3.907985046680551e-14,0.0
data1,fusion,trimmed_gap10,bounded_tracking_gap10,-5,36,-1.7502772805595344,-1.4388546176622743,30.555555555555557
data1,fusion,trimmed_gap10,bounded_tracking_gap15,-5,36,-1.7502772805595106,-1.4388546176622965,30.555555555555557
data1,fusion,trimmed_gap10,guarded_fusion_gap10,-5,36,-0.04683081113690604,9.681144774731365e-14,27.77777777777778
data1,fusion,trimmed_gap10,guarded_fusion_gap15,-5,36,-0.04683081113690604,9.681144774731365e-14,27.77777777777778
data1,fusion,trimmed_gap15,bounded_tracking_gap10,-5,36,-1.7502772805595836,-1.4388546176622983,30.555555555555557
data1,fusion,trimmed_gap15,bounded_tracking_gap15,-5,36,-1.7502772805595592,-1.4388546176623205,30.555555555555557
data1,fusion,trimmed_gap15,guarded_fusion_gap10,-5,36,-0.046830811136954816,2.4868995751603507e-14,27.77777777777778
data1,fusion,trimmed_gap15,guarded_fusion_gap15,-5,36,-0.046830811136954816,2.4868995751603507e-14,27.77777777777778
data1,fusion,bounded_tracking_gap10,bounded_tracking_gap15,-5,37,2.1772373693730096e-14,1.2434497875801753e-14,0.0
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap10,-5,37,1.662347912014261,1.5387011485952407,70.27027027027027
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap15,-5,37,1.662347912014261,1.5387011485952407,70.27027027027027
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap10,-5,37,1.662347912014239,1.5387011485952868,70.27027027027027
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap15,-5,37,1.662347912014239,1.5387011485952868,70.27027027027027
data1,fusion,guarded_fusion_gap10,guarded_fusion_gap15,-5,37,0.0,0.0,0.0
data1,pos,trimmed_gap10,trimmed_gap15,-5,38,-1.8932224209397405e-14,-3.9968028886505635e-15,0.0
data1,pos,trimmed_gap10,bounded_tracking_gap10,-5,38,-0.9509685174403351,-1.1023284069424055,36.84210526315789
data1,pos,trimmed_gap10,bounded_tracking_gap15,-5,38,-0.9509685174402827,-1.1023284069423505,36.84210526315789
data1,pos,trimmed_gap10,guarded_fusion_gap10,-5,38,-0.9509685174402827,-1.1023284069423505,36.84210526315789
data1,pos,trimmed_gap10,guarded_fusion_gap15,-5,38,-0.9509685174402827,-1.1023284069423505,36.84210526315789
data1,pos,trimmed_gap15,bounded_tracking_gap10,-5,38,-0.9509685174403156,-1.10232840694239,36.84210526315789
data1,pos,trimmed_gap15,bounded_tracking_gap15,-5,38,-0.950968517440264,-1.102328406942335,36.84210526315789
data1,pos,trimmed_gap15,guarded_fusion_gap10,-5,38,-0.950968517440264,-1.102328406942335,36.84210526315789
data1,pos,trimmed_gap15,guarded_fusion_gap15,-5,38,-0.950968517440264,-1.102328406942335,36.84210526315789
data1,pos,bounded_tracking_gap10,bounded_tracking_gap15,-5,38,5.186494508722573e-14,4.3520742565306136e-14,0.0
data1,pos,bounded_tracking_gap10,guarded_fusion_gap10,-5,38,5.186494508722573e-14,4.3520742565306136e-14,0.0
