window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap
0,5.006132768928598,none,no_qualified_branch,,,0.0,0.0,False,False,False,0.9965870307167235,0.9965870307167235,0.0034129692832764505,0.0,0.0
1,5.997107856293304,none,no_qualified_branch,,,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0
2,6.988082943658008,baseline,baseline_evidence_retained,99.0,99.0,0.6569767517924037,0.6598703553312514,True,True,True,1.0,1.0,0.0,0.6839089922067397,0.6986352666945009
3,7.9790580310227135,baseline,baseline_evidence_retained,101.0,101.0,0.6582136411838807,0.6597998024905082,True,True,True,1.0,1.0,0.0,0.6718482235256111,0.6616541176326229
4,8.97003311838742,baseline,baseline_evidence_retained,103.0,104.0,0.6984984518901801,0.7020071148265713,True,True,True,1.0,1.0,0.0,0.494516480978585,0.5187025617075165
5,9.961008205752124,baseline,baseline_evidence_retained,106.0,106.0,0.6832160514539032,0.690126026325347,True,True,True,1.0,1.0,0.0,0.5449748310468263,0.5892117984001399
6,10.95198329311683,baseline,baseline_evidence_retained,108.0,108.0,0.6763103862641777,0.6949403475339441,True,True,True,1.0,1.0,0.0,0.4771515987272906,0.48476424572185534
7,11.942958380481535,baseline,baseline_evidence_retained,108.0,108.0,0.652066567836361,0.6750636225066391,True,True,True,1.0,1.0,0.0,0.4008826176264911,0.40171426202875093
8,12.933933467846241,baseline,baseline_evidence_retained,107.0,107.0,0.5984329957379493,0.6480973951625713,True,True,True,1.0,1.0,0.0,0.3511197432158124,0.3593602718125247
9,13.924908555210946,baseline,baseline_evidence_retained,106.0,105.0,0.5892420016844105,0.626255264654206,True,True,True,1.0,1.0,0.0,0.4622520881849683,0.5443216906197098
10,14.91588364257565,baseline,baseline_evidence_retained,105.0,104.0,0.6145980440661148,0.6439631146975626,True,True,True,1.0,1.0,0.0,0.6042934776725549,0.6102706197214066
11,15.906858729940357,baseline,baseline_evidence_retained,105.0,105.0,0.6318037167465559,0.6491957377899318,True,True,True,1.0,1.0,0.0,0.6538791028101691,0.6260992410049128
12,16.897833817305063,baseline,baseline_evidence_retained,106.0,107.0,0.5922560346957544,0.6230032033416391,True,True,True,1.0,1.0,0.0,0.9119145602793467,0.8475523681721667
