frame,time_s,source,rgb_valid,r,g,b,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,roi_status,roi_valid_regions,forehead_r,forehead_g,forehead_b,forehead_valid,forehead_quality,forehead_valid_pixel_fraction,forehead_visible_fraction,forehead_pixel_count,forehead_valid_pixels,forehead_brightness,forehead_laplacian_var,forehead_status,forehead_rgb_aggregation,left_cheek_r,left_cheek_g,left_cheek_b,left_cheek_valid,left_cheek_quality,left_cheek_valid_pixel_fraction,left_cheek_visible_fraction,left_cheek_pixel_count,left_cheek_valid_pixels,left_cheek_brightness,left_cheek_laplacian_var,left_cheek_status,left_cheek_rgb_aggregation,right_cheek_r,right_cheek_g,right_cheek_b,right_cheek_valid,right_cheek_quality,right_cheek_valid_pixel_fraction,right_cheek_visible_fraction,right_cheek_pixel_count,right_cheek_valid_pixels,right_cheek_brightness,right_cheek_laplacian_var,right_cheek_status,right_cheek_rgb_aggregation,face_detected,flow_available,bridge_age_frames,baseline_forehead_r,baseline_forehead_g,baseline_forehead_b,forehead_pixel_source,forehead_pixel_tracks,forehead_pixel_seeds,forehead_pixel_screen_rejected,forehead_pixel_color_rejected,forehead_pixel_fb_rejected,forehead_pixel_geometry_rejected,forehead_pixel_fb_error_median,forehead_pixel_reset,forehead_pixel_log_delta_r,forehead_pixel_log_delta_g,forehead_pixel_log_delta_b,baseline_left_cheek_r,baseline_left_cheek_g,baseline_left_cheek_b,left_cheek_pixel_source,left_cheek_pixel_tracks,left_cheek_pixel_seeds,left_cheek_pixel_screen_rejected,left_cheek_pixel_color_rejected,left_cheek_pixel_fb_rejected,left_cheek_pixel_geometry_rejected,left_cheek_pixel_fb_error_median,left_cheek_pixel_reset,left_cheek_pixel_log_delta_r,left_cheek_pixel_log_delta_g,left_cheek_pixel_log_delta_b,baseline_right_cheek_r,baseline_right_cheek_g,baseline_right_cheek_b,right_cheek_pixel_source,right_cheek_pixel_tracks,right_cheek_pixel_seeds,right_cheek_pixel_screen_rejected,right_cheek_pixel_color_rejected,right_cheek_pixel_fb_rejected,right_cheek_pixel_geometry_rejected,right_cheek_pixel_fb_error_median,right_cheek_pixel_reset,right_cheek_pixel_log_delta_r,right_cheek_pixel_log_delta_g,right_cheek_pixel_log_delta_b,baseline_r,baseline_g,baseline_b,pixel_mode,pixel_rgb_kind,unanchored_forehead_r,unanchored_forehead_g,unanchored_forehead_b,forehead_unanchored_pixel_source,forehead_anchor_correction_log,unanchored_left_cheek_r,unanchored_left_cheek_g,unanchored_left_cheek_b,left_cheek_unanchored_pixel_source,left_cheek_anchor_correction_log,unanchored_right_cheek_r,unanchored_right_cheek_g,unanchored_right_cheek_b,right_cheek_unanchored_pixel_source,right_cheek_anchor_correction_log,unanchored_r,unanchored_g,unanchored_b,anchor_hz,anchor_order
0,0.0,mesh,True,186.75202877282763,142.27263633855105,138.36506308950433,,,0.4746465969085693,0.4263237863779068,0.6453020095825195,0.6801511919498444,sampled,3,168.43323863636363,128.27982954545453,122.61505681818181,True,1.0,1.0,1.0,880,880,0.5389539572192513,161.98722210214356,sampled,trimmed_mean,195.66225165562915,149.66390728476821,147.0794701986755,True,1.0,1.0,1.0,754,754,0.6395186196494513,15.594000261755152,sampled,trimmed_mean,196.16059602649005,148.87417218543047,145.40066225165563,True,1.0,1.0,1.0,754,754,0.6355422686846622,20.356079057511113,sampled,trimmed_mean,True,False,0,168.43323863636363,128.27982954545453,122.61505681818181,baseline_reset,0,0,0,0,0,0,,True,,,,195.66225165562915,149.66390728476821,147.0794701986755,baseline_reset,0,0,0,0,0,0,,True,,,,196.16059602649005,148.87417218543047,145.40066225165563,baseline_reset,0,0,0,0,0,0,,True,,,,186.75202877282763,142.27263633855105,138.36506308950433,tracking_screened,anchored_paired_relative_colour,168.43323863636363,128.27982954545453,122.61505681818181,baseline_reset,0.0,195.66225165562915,149.66390728476821,147.0794701986755,baseline_reset,0.0,196.16059602649005,148.87417218543047,145.40066225165563,baseline_reset,0.0,186.75202877282763,142.27263633855105,138.36506308950433,0.15,4
1,0.03417155473671398,mesh,True,186.76392697141216,142.21326182355367,138.41725351972377,-0.00011448065439860026,-2.6981035868326822e-06,0.4718061006069183,0.4275341421365738,0.6442885899543762,0.6797549974918364,sampled,3,168.49094285392655,128.1660651752212,122.6636153313559,True,1.0,1.0,1.0,880,880,0.5365792067736185,173.7457466345958,sampled,trimmed_mean,195.72139099216628,149.73711045375555,146.97594735506044,True,1.0,1.0,1.0,783,783,0.6398429168857837,12.891866913152862,sampled,trimmed_mean,196.0794470681436,148.7366098416842,145.61219787275493,True,1.0,1.0,1.0,754,754,0.6336958859936547,20.817590416600396,sampled,trimmed_mean,True,True,0,168.0255681818182,127.9247159090909,122.3721590909091,tracked_ratio,50,50,0,0,0,0,0.0007447398966178298,False,0.0003425355100402207,-0.0008872387076707801,0.0003959458211178138,195.688995215311,149.49441786283893,147.10207336523126,tracked_ratio,56,56,0,0,0,0,0.0015365199651569128,False,0.0003022064932311971,0.0004889975769564624,-0.0007041043956027539,195.67880794701986,148.57119205298014,144.98675496688742,tracked_ratio,56,56,0,0,0,0,0.001372323662508279,False,-0.00041377179644747655,-0.0009244446180825338,0.0014537893525284763,186.46445711471634,141.99677527497,138.1536624743426,tracking_screened,anchored_paired_relative_colour,168.4909428839804,128.16606519080077,122.66361535017461,tracked_ratio,2.6481884645554846e-10,195.72139099425567,149.73711046941955,146.97594734693007,tracked_ratio,1.1881731954049922e-10,196.07944709400752,148.7366098523581,145.6121979131771,tracked_ratio,3.1561350569850146e-10,186.76392699074788,142.21326183752615,138.4172535367606,0.15,4
2,0.06834310947342796,mesh,True,186.83210814172062,142.13362176571994,138.41876927320735,-0.00012928247451782227,-7.510582605997721e-05,0.4728783667087555,0.42750861346721647,0.6452160239219665,0.6792917931079864,sampled,3,168.46767116977426,128.12120934029826,122.53507795178679,True,1.0,1.0,1.0,880,880,0.5361998885918003,175.3130778257632,sampled,trimmed_mean,195.79254348717302,149.6076089322415,147.14554437548134,True,1.0,1.0,1.0,754,754,0.6404366879908462,14.726925450921325,sampled,trimmed_mean,196.2361097682146,148.67204702462004,145.57568549235395,True,1.0,1.0,1.0,783,783,0.6338205243783337,21.278984862406585,sampled,trimmed_mean,True,True,0,167.90767045454547,127.80681818181819,122.2159090909091,tracked_ratio,48,50,2,0,0,0,0.0005660456081386656,False,-0.00013812640015297477,-0.00035004240796197947,-0.0010484333250119766,196.0430463576159,149.58112582781456,147.3841059602649,tracked_ratio,56,56,0,0,0,0,0.0017032329924404621,False,0.00036347362295320655,-0.0008652326980473676,0.0011532443045508614,195.83094098883572,148.50558213716107,145.1866028708134,tracked_ratio,56,56,0,0,0,0,0.0010123814572580159,False,0.0007986576660415806,-0.00043416848865159295,-0.0002507801871615605,186.5938859336657,141.96450871559793,138.2622059739958,tracking_screened,anchored_paired_relative_colour,168.4676714438186,128.12120948388022,122.53507812120635,tracked_ratio,2.4111536631284972e-09,195.79254348757374,149.60760905783718,147.14554429567488,tracked_ratio,9.99462640246922e-10,196.23610999927013,148.67204711981753,145.5756858373754,tracked_ratio,2.7227740356366524e-09,186.83210831022083,142.1336218871783,138.41876941808553,0.15,4
3,0.10251466421014194,mesh,True,186.81168143055916,142.1494834295075,138.45249310049027,-1.9343694051106772e-05,-0.0001150210698445638,0.4716975915431976,0.42728757917881016,0.6445234501361847,0.6794437289237976,sampled,3,168.3623066270492,128.21834068460507,122.79715792388976,True,1.0,1.0,1.0,880,880,0.5359857664884136,176.51551556966814,sampled,trimmed_mean,195.83421757943665,149.56600922910962,147.31095402269466,True,1.0,1.0,1.0,783,783,0.6391359376956401,13.201822507772917,sampled,trimmed_mean,196.23852008519168,148.66410037480784,145.24936735488643,True,1.0,1.0,1.0,754,754,0.6337080043688563,21.32396953971391,sampled,trimmed_mean,True,True,0,167.79829545454547,127.68892045454545,122.3721590909091,tracked_ratio,50,50,0,0,0,0,0.000762939453125,False,-0.0006256186545539046,0.000757837696743598,0.0021365368479392102,195.6682615629984,149.2567783094099,147.23125996810208,tracked_ratio,56,56,0,0,0,0,0.0013673324137926102,False,0.00021282529373594893,-0.00027809475177616015,0.001123489372884798,195.79470198675497,148.6208609271523,144.73344370860926,tracked_ratio,56,56,0,0,0,0,0.0009589415276423097,False,1.2286809110986756e-05,-5.345010285696333e-05,-0.0022440785104658628,186.4204196680996,141.8555198970359,138.11228758920683,tracking_screened,anchored_paired_relative_colour,168.3623078880137,128.21834136663193,122.79715870349278,tracked_ratio,1.1166671208369578e-08,195.8342175276404,149.5660097514749,147.31095365138637,tracked_ratio,4.315216397494934e-09,196.2385211297069,148.66410079597483,145.24936884655608,tracked_ratio,1.1908986726927794e-08,186.811682181787,142.14948397136055,138.45249373381174,0.15,4
4,0.13668621894685593,mesh,True,186.83214376189062,142.20627109977184,138.46084713081757,3.871917724609375e-05,-0.00010842680931091308,0.4727675968408585,0.4274311864376068,0.645439327955246,0.6792265367507934,sampled,3,168.6924090864342,128.18709582211977,122.62848031515583,True,1.0,1.0,1.0,880,880,0.5358885249554367,169.95971947016525,sampled,trimmed_mean,195.75873973759906,149.6246911226035,147.19612674196833,True,1.0,1.0,1.0,754,754,0.6402164560253809,13.89894178736219,sampled,trimmed_mean,196.04528246163866,148.80702635459227,145.55793433532858,True,1.0,1.0,1.0,783,783,0.6337758896151052,20.97028457080128,sampled,trimmed_mean,True,True,0,167.8877840909091,127.59801136363636,122.19176136363636,tracked_ratio,49,50,1,0,0,0,0.0007982304668985307,False,0.0019587639714950685,-0.00024370218706978115,-0.0013745583615978893,195.74834437086093,149.63907284768212,147.2996688741722,tracked_ratio,56,56,0,0,0,0,0.002043175627477467,False,-0.0003854922916171035,0.00039227760692241555,-0.000779798236331842,195.62360446570972,148.6347687400319,145.14354066985646,tracked_ratio,56,56,0,0,0,0,0.0010568369179964066,False,-0.00098518176212875,0.000960945976839419,0.002122161929489617,186.41991097582658,141.95728431711677,138.21165696922168,tracking_screened,anchored_paired_relative_colour,168.69241310442044,128.18709808360126,122.62848279621399,tracked_ratio,3.5887393881434196e-08,195.75873949538314,149.6246926570995,147.1961256067088,tracked_ratio,1.2891571709425592e-08,196.0452857192931,148.80702762701839,145.5579388293341,tracked_ratio,3.6089632951974204e-08,186.83214610636557,142.2062727892397,138.46084907741894,0.15,4
5,0.17085777368356989,mesh,True,186.79045085751682,142.17677910760025,138.4721517004425,3.8894017537434894e-05,-1.5439589818318686e-05,0.4714572310447693,0.4270804452896118,0.6445911169052124,0.679352558851242,sampled,3,168.576834020496,128.08668214512542,122.58376457253794,True,1.0,1.0,1.0,880,880,0.5354794162210339,171.50125474441637,sampled,trimmed_mean,195.7913407850979,149.69642505863393,147.1811612467039,True,1.0,1.0,1.0,783,783,0.6395178524027746,15.763034680889733,sampled,trimmed_mean,196.00317776695655,148.74723011904135,145.65152928208568,True,1.0,1.0,1.0,754,754,0.6335303063400426,24.828897188321868,sampled,trimmed_mean,True,True,0,167.71164772727272,127.53551136363636,122.0596590909091,tracked_ratio,50,50,0,0,0,0,0.0007257322722580284,False,-0.0006853216800642057,-0.0007836150589865907,-0.0003646796266702967,195.67783094098883,149.4226475279107,147.14992025518342,tracked_ratio,56,56,0,0,0,0,0.0014638458960689604,False,0.0001665209739099871,0.0004793248222379749,-0.00010168602041904551,195.6225165562914,148.59271523178808,145.11920529801324,tracked_ratio,56,56,0,0,0,0,0.0010839843889698386,False,-0.00021476895571498483,-0.00040190638782491275,0.0006428444911027273,186.33733174151766,141.85029137444505,138.10959488136857,tracking_screened,anchored_paired_relative_colour,168.57684414193864,128.08668808970486,122.58377084015396,tracked_ratio,9.15041458941772e-08,195.79134014560597,149.6964286773639,147.18115857945637,tracked_ratio,3.0388395003566734e-08,196.00318579904612,148.7472331487581,145.65154003073175,tracked_ratio,8.683416055986111e-08,186.79045669553025,142.17678330527565,138.47215648344738,0.15,4
6,0.20502932842028387,mesh,True,186.84141081146086,142.17519158236698,138.41961081760226,1.1793772379557292e-05,1.3430913289388022e-06,0.47287781655788425,0.4273835450410843,0.6454415762424469,0.6791747522354126,sampled,3,168.6825385442973,128.06682123174272,122.4533865211416,True,1.0,1.0,1.0,880,880,0.5351585071301247,171.353501711259,sampled,trimmed_mean,195.76170956832408,149.7112916328626,147.2377246856298,True,1.0,1.0,1.0,754,754,0.640546117439018,14.254470339276306,sampled,trimmed_mean,196.0799843217613,148.7474618824956,145.5677212460354,True,1.0,1.0,1.0,783,783,0.63379234217314,23.19783935596953,sampled,trimmed_mean,True,True,0,167.69886363636363,127.40198863636364,121.64630681818181,tracked_ratio,49,50,1,0,0,0,0.0009081161406356841,False,0.0006269134667384647,-0.00015501313952535705,-0.001064090091819,195.88576158940398,149.70529801324503,147.43211920529802,tracked_ratio,56,56,0,0,0,0,0.0016681268461979926,False,-0.0001513553833525487,9.93313838558508e-05,0.0003842201299968548,195.67145135566187,148.62838915470493,145.04306220095694,tracked_ratio,56,56,0,0,0,0,0.0009786906302906573,False,0.0003918320788996128,1.5792787289541265e-06,-0.0005754892393436173,186.4186921938098,141.9118919347712,138.04049607481227,tracking_screened,anchored_paired_relative_colour,168.68256036971252,128.0668345088754,122.45340003962512,tracked_ratio,1.9919038013766255e-07,195.76170831478623,149.71129896931382,147.23771940854758,tracked_ratio,6.104867127181292e-08,196.08000118319174,148.7474680622849,145.56774325113543,tracked_ratio,1.7880813845224894e-07,186.84142328923016,142.17520051349138,138.41962089976937,0.15,4
7,0.23920088315699783,mesh,True,186.99096081028134,142.24043113690854,138.35503401872245,-4.2255719502766924e-05,7.408459981282552e-05,0.4718245339393616,0.4271868151426315,0.644688891172409,0.6790640628337861,sampled,3,168.68422566464437,128.07703956466386,122.79824167158722,True,1.0,1.0,1.0,880,880,0.5353963502673796,164.30533255962678,sampled,trimmed_mean,196.07515501926645,149.72155423034474,147.04290134383348,True,1.0,1.0,1.0,783,783,0.6397295369744321,13.164992287165477,sampled,trimmed_mean,196.21350174693328,148.92269961571694,145.22395904074668,True,1.0,1.0,1.0,754,754,0.634058293025433,23.311828268080383,sampled,trimmed_mean,True,True,0,167.71022727272728,127.39914772727273,122.1065340909091,tracked_ratio,48,50,2,0,0,0,0.0013296836987137794,False,1.0121540087531525e-05,7.988743122900562e-05,0.002812360451724518,195.85326953748006,149.4306220095694,147.03668261562999,tracked_ratio,56,56,0,0,0,0,0.0013699786504730582,False,0.0015998735461924597,6.858701551048103e-05,-0.0013240925408020388,195.8046357615894,148.8228476821192,144.7019867549669,tracked_ratio,56,56,0,0,0,0,0.0010178388911299407,False,0.0006807764327699814,0.0011774299650594757,-0.00236419410750515,186.45604419059887,141.88420580632044,137.94840115383533,tracking_screened,anchored_paired_relative_colour,168.68426770564977,128.07706584798217,122.79826785807533,tracked_ratio,3.8691468502065306e-07,196.07515296231878,149.7215675726407,147.04289205574094,tracked_ratio,1.0973283708266347e-07,196.21353327452798,148.92271093626812,145.22399934906272,tracked_ratio,3.2959961350058293e-07,186.99098464749886,142.24044811896366,138.35505308762632,0.15,4
8,0.27337243789371185,mesh,True,186.96859724503744,142.20294862990954,138.43442149045532,0.00011192162831624349,0.0001980602741241455,0.4731241285800934,0.4277579569816589,0.6450884222984314,0.678934473991394,sampled,3,168.7325359307955,128.0506648630574,122.61930094397492,True,1.0,1.0,1.0,858,858,0.5387137803373097,162.23572326900526,sampled,trimmed_mean,195.95814150501317,149.70283043998984,147.19926748655567,True,1.0,1.0,1.0,754,754,0.640906724918084,12.789348569932937,sampled,trimmed_mean,196.21511429930368,148.8553505866814,145.48469604083542,True,1.0,1.0,1.0,783,783,0.6339687526607067,20.348895896419616,sampled,trimmed_mean,True,True,0,168.7252906976744,128.03924418604652,122.56686046511628,tracked_ratio,47,50,3,0,0,0,0.003100911038927734,False,0.0002865452042507991,-0.00020578464869668578,-0.001458090008917369,196.12417218543047,149.72185430463577,147.48841059602648,tracked_ratio,56,56,0,0,0,0,0.001683445821981877,False,-0.0005969617807491131,-0.000125004908437441,0.001062800264525685,195.792663476874,148.7224880382775,145.06379585326954,tracked_ratio,56,56,0,0,0,0,0.0010469253174960613,False,8.332997501021623e-06,-0.0004522916025995982,0.0017939955612977462,186.88070878665962,142.16119550965325,138.3730223048041,tracking_screened,anchored_paired_relative_colour,168.73261029943183,128.05071226565488,122.61934740336196,tracked_ratio,6.890977219196844e-07,195.95813851989567,149.70285281153807,147.19925235548035,tracked_ratio,1.8201844402944774e-07,196.21516832822286,148.8553696747668,145.48476439501874,tracked_ratio,5.594743034852035e-07,186.96863904918345,142.20297825065325,138.43445471795368,0.15,4
9,0.3075439926304258,mesh,True,186.9945826920907,142.21416499607673,138.40290691492086,0.00014279683430989582,0.00012809236844380696,0.47177079260349275,0.42770193636417386,0.6449611926078797,0.6790396177768707,sampled,3,168.90425165273513,127.99423700363161,122.57970020685735,True,1.0,1.0,1.0,880,880,0.535496541889483,160.6444828245403,sampled,trimmed_mean,195.97758210014638,149.67774482706548,147.26772813557938,True,1.0,1.0,1.0,783,783,0.6400935266571507,13.586644041396934,sampled,trimmed_mean,196.10191432339056,148.97051315753313,145.36129240232583,True,1.0,1.0,1.0,783,783,0.6341017203816391,23.196548385079492,sampled,trimmed_mean,True,True,0,168.078125,127.47301136363636,122.10511363636364,tracked_ratio,48,50,2,0,0,0,0.0008404950494877994,False,0.0010174493072319163,-0.0004405156090441899,-0.0003227585647896065,195.92663476874003,149.52472089314193,147.33333333333334,tracked_ratio,49,49,0,0,0,0,0.0018067334312945604,False,9.919796149094244e-05,-0.00016749751776582318,0.0004649249178993443,195.74641148325358,148.79106858054226,145.0,tracked_ratio,49,49,0,0,0,0,0.0013545129913836718,False,-0.0005769180540356289,0.0007734299399266429,-0.0008483072382397396,186.58372375066452,141.92960027910684,138.146148989899,tracking_screened,anchored_paired_relative_colour,168.90437454277605,127.99431635070502,122.57977734490976,tracked_ratio,1.1444100878507057e-06,195.9775781319434,149.67778005516053,147.26770486720272,tracked_ratio,2.841976220155773e-07,196.10200090244302,148.97054340805758,145.361400948779,tracked_ratio,8.909382627020168e-07,186.99465119238752,142.2142132713077,138.4029610536305,0.15,4
