time_s,forehead_pos,forehead_chrom,forehead_observed,forehead_interpolated,left_cheek_pos,left_cheek_chrom,left_cheek_observed,left_cheek_interpolated,right_cheek_pos,right_cheek_chrom,right_cheek_observed,right_cheek_interpolated
0.0,,,True,False,,,True,False,,,True,False
0.0333332999999999,,,True,False,,,True,False,,,True,False
0.0666665999999999,,,True,False,,,True,False,,,True,False
0.0999998999999999,,,True,False,,,True,False,,,True,False
0.1333331999999999,,,True,False,,,True,False,,,True,False
0.1666665,,,True,False,,,True,False,,,True,False
0.1999997999999999,,,True,False,,,True,False,,,True,False
0.2333331,,,True,False,,,True,False,,,True,False
0.2666663999999999,,,True,False,,,True,False,,,True,False
0.2999997,,,True,False,,,True,False,,,True,False
0.333333,,,True,False,,,True,False,,,True,False
0.3666663,,,True,False,,,True,False,,,True,False
0.3999995999999999,,,True,False,,,True,False,,,True,False
0.4333328999999999,,,True,False,,,True,False,,,True,False
0.4666662,,,True,False,,,True,False,,,True,False
0.4999995,,,True,False,,,True,False,,,True,False
0.5333327999999999,,,True,False,,,True,False,,,True,False
0.5666661,,,True,False,,,True,False,,,True,False
0.5999994,,,True,False,,,True,False,,,True,False
0.6333327,,,True,False,,,True,False,,,True,False
0.666666,,,True,False,,,True,False,,,True,False
0.6999993,,,True,False,,,True,False,,,True,False
0.7333326,,,True,False,,,True,False,,,True,False
0.7666659,,,True,False,,,True,False,,,True,False
0.7999991999999999,,,True,False,,,True,False,,,True,False
0.8333324999999999,,,True,False,,,True,False,,,True,False
0.8666657999999999,,,True,False,,,True,False,,,True,False
0.8999990999999999,,,True,False,,,True,False,,,True,False
0.9333324,,,True,False,,,True,False,,,True,False
0.9666657,,,True,False,,,True,False,,,True,False
0.999999,,,True,False,,,True,False,,,True,False
1.0333323,,,True,False,,,True,False,,,True,False
1.0666656,,,True,False,,,True,False,,,True,False
1.0999989,,,True,False,,,True,False,,,True,False
1.1333322,,,True,False,,,True,False,,,True,False
1.1666655,,,True,False,,,True,False,,,True,False
1.1999988,,,True,False,,,True,False,,,True,False
1.2333321,,,True,False,,,True,False,,,True,False
1.2666654,,,True,False,,,True,False,,,True,False
1.2999987,,,True,False,,,True,False,,,True,False
1.333332,,,True,False,,,True,False,,,True,False
1.3666653,,,True,False,,,True,False,,,True,False
1.3999986,,,True,False,,,True,False,,,True,False
1.4333319,,,True,False,,,True,False,,,True,False
1.4666652,,,True,False,,,True,False,,,True,False
1.4999985,,,True,False,,,True,False,,,True,False
1.5333318,,,True,False,,,True,False,,,True,False
1.5666650999999998,,,True,False,,,True,False,,,True,False
1.5999983999999998,0.09898779662839406,0.12069822212161554,True,False,0.19441792596168098,-0.41162630498955866,True,False,1.6370399567821021,-0.4546692401194857,True,False
1.6333316999999998,0.009056630691125195,0.2543011603972033,True,False,0.06394884786361701,-0.33778559371848327,True,False,0.6801567035767412,0.21062350601126598,True,False
1.6666649999999998,-0.08978646962465767,0.2472744648650503,True,False,-0.10515627795443847,-0.22052856516094807,True,False,-0.6535692814163382,0.9830781445265226,True,False
1.6999983,-0.18350865655637028,0.16246147592760585,True,False,-0.23663269177358892,-0.15090383955479741,True,False,-1.904195451440744,1.5968286470032458,True,False
1.7333316,-0.2723919146395207,0.09393551190422349,True,False,-0.2605409268580305,-0.19350216696523317,True,False,-2.6621330436506794,1.8634971079492155,True,False
1.7666649,-0.3622056449947574,0.11476930678065426,True,False,-0.14994039658770578,-0.350483642746281,True,False,-2.719061966356379,1.7294999781639713,True,False
1.7999982,-0.4532227791884432,0.23949123991189747,True,False,0.060000978816649946,-0.5565539848912764,True,False,-2.132173471845266,1.27847977319915,True,False
1.8333315,-0.525754056167435,0.4148334674048482,True,False,0.2832885846834523,-0.7078903772162392,True,False,-1.1824896364980437,0.6892282204167764,True,False
1.8666648,-0.5382511807577839,0.5444936291710297,True,False,0.424223165102756,-0.7143188018399418,True,False,-0.25168498112877685,0.16975489009956796,True,False
1.8999981,-0.45284051172166784,0.5409610242883645,True,False,0.4288539375173795,-0.5510646055353084,True,False,0.3332645158086818,-0.11585617076445127,True,False
1.9333314,-0.27000754461746007,0.37638598162307124,True,False,0.31494308478657124,-0.27869105552885676,True,False,0.42974449033848994,-0.11028714019804915,True,False
1.9666647,-0.03533323740594492,0.09774169494579714,True,False,0.15953469037829113,-0.013567274840723073,True,False,0.1303754197722489,0.11006977765939918,True,False
1.999998,0.19045192687898374,-0.2024804832516876,True,False,0.053463771250158026,0.13465619852373617,True,False,-0.28975891597070497,0.364927393684657,True,False
2.0333313,0.3676154803610757,-0.43497717089532206,True,False,0.05331429150518481,0.11827924815761202,True,False,-0.5079474893869362,0.45204215943648446,True,False
2.0666646,0.4917335785483351,-0.5524444351074523,True,False,0.15475935525276976,-0.02974216020598115,True,False,-0.31113666325811845,0.24749544339694146,True,False
2.0999979,0.5910026858134383,-0.5681137878059023,True,False,0.29325041757000614,-0.21452829330349843,True,False,0.2958899278414343,-0.22451131925203244,True,False
2.1333312,0.720011173880221,-0.5520762392022244,True,False,0.3693826614228605,-0.32096853598316855,True,False,1.0846847518105829,-0.7936975352047146,True,False
